onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.5573,0.0,465.43,465.59,0.997,True
correct,0.8359,0.8359,0.0,415.47,415.5,0.999,True
correct,1.1146,1.1146,0.0,369.59,369.57,1.0,True
correct,1.37,1.37,0.0,349.26,363.76,0.703,True
correct,1.6486,1.6486,0.0,311.26,311.22,0.999,True
correct,2.2059,2.2059,0.0,311.31,311.3,1.0,True
early,2.74,2.4613,278.64,369.77,372.99,0.928,True
correct,3.0186,3.0186,0.0,465.74,465.74,1.0,True
correct,3.2972,3.2972,0.0,415.56,415.56,1.0,True
correct,3.8313,3.8313,0.0,415.42,414.95,0.99,True
late,4.1099,4.3886,-278.64,369.64,348.76,0.605,True
correct,4.644,4.644,0.0,277.27,277.26,0.999,True
correct,4.9226,4.9226,0.0,309.51,310.11,0.983,True
correct,5.4799,5.4799,0.0,311.32,311.31,1.0,True
correct,5.7353,5.7353,0.0,348.88,348.69,0.995,True
correct,6.2926,6.2926,0.0,465.74,465.74,1.0,True
correct,6.5712,6.5712,0.0,415.57,415.54,0.999,True
correct,6.8267,6.8267,0.0,413.93,414.13,0.996,True
correct,7.1053,7.1053,0.0,414.88,414.97,0.998,True
correct,7.3839,7.3839,0.0,369.63,369.61,1.0,True
correct,7.6626,7.6626,0.0,348.96,348.91,0.999,True
correct,7.918,7.918,0.0,277.3,277.3,1.0,True
correct,8.1966,8.1966,0.0,309.51,310.02,0.986,True
