onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.5573,0.0,465.43,465.88,0.992,True
early,0.8359,0.8127,23.22,415.47,415.41,0.999,True
correct,1.1146,1.0913,23.22,369.59,369.6,1.0,True
correct,1.37,1.3468,23.22,349.26,348.49,0.981,True
correct,1.6486,1.6254,23.22,311.26,311.14,0.997,True
early,2.2059,2.1595,46.44,311.31,311.17,0.996,True
correct,2.4613,2.4149,46.44,324.09,349.18,0.524,True
correct,2.74,2.6935,46.44,369.77,369.05,0.983,True
early,3.0186,2.9489,69.66,465.74,465.77,1.0,True
correct,3.2972,3.2276,69.66,415.56,415.39,0.996,True
correct,3.8313,3.7616,69.66,415.42,415.32,0.998,True
correct,4.1099,4.0403,69.66,369.64,369.53,0.997,True
early,4.3886,4.2957,92.88,348.98,348.54,0.989,True
early,4.644,4.5743,69.66,277.27,276.99,0.991,True
early,4.9226,4.8298,92.88,309.51,311.41,0.948,True
early,5.4799,5.3638,116.1,311.32,311.24,0.998,True
early,5.7353,5.6424,92.88,348.88,349.33,0.989,True
early,6.014,5.8979,116.1,369.72,369.75,0.999,True
correct,6.2926,6.1765,116.1,465.74,465.75,1.0,True
early,6.5712,6.4319,139.32,415.57,415.16,0.991,True
early,6.8267,6.7106,116.1,413.93,416.04,0.957,True
correct,7.1053,6.9892,116.1,414.88,415.15,0.994,True
early,7.3839,7.2446,139.32,369.63,369.41,0.995,True
correct,7.6626,7.5233,139.32,348.96,348.91,0.999,True
correct,7.918,7.7787,139.32,277.3,277.26,0.999,True
correct,8.1966,8.0573,139.32,309.51,311.01,0.959,True
