onset_type,ref_timestamp,live_timestamp,time_difference_ms,ref_pitch_hz,live_pitch_hz,pitch_similarity,is_matched
correct,0.5573,0.5573,0.0,465.43,465.69,0.995,True
early,0.8359,0.8127,23.22,415.47,415.45,1.0,True
correct,1.1146,1.0913,23.22,369.59,369.54,0.999,True
correct,1.37,1.3468,23.22,349.26,349.27,1.0,True
correct,1.6486,1.6254,23.22,311.26,311.34,0.998,True
early,2.2059,2.1362,69.66,311.31,315.05,0.902,True
early,2.4613,2.4149,46.44,324.09,348.86,0.529,True
correct,2.74,2.6703,69.66,369.77,369.01,0.982,True
correct,3.0186,2.9489,69.66,465.74,465.73,1.0,True
early,3.2972,3.2044,92.88,415.56,415.47,0.998,True
late,3.8313,4.0171,-185.76,415.42,415.52,0.998,True
late,4.1099,4.2725,-162.54,369.64,370.8,0.973,True
correct,4.3886,4.5511,-162.54,348.98,349.01,0.999,True
correct,4.644,4.8065,-162.54,277.27,277.4,0.996,True
correct,4.9226,5.0852,-162.54,309.51,311.34,0.95,True
late,5.4799,5.6192,-139.32,311.32,311.33,1.0,True
correct,5.7353,5.8746,-139.32,348.88,347.95,0.977,True
late,6.014,6.1301,-116.1,369.72,370.46,0.983,True
correct,6.2926,6.4087,-116.1,465.74,465.74,1.0,True
late,6.5712,6.6641,-92.88,415.57,415.29,0.994,True
late,6.8267,6.9428,-116.1,413.93,415.46,0.969,True
late,7.1053,7.1982,-92.88,414.88,414.99,0.998,True
correct,7.3839,7.4768,-92.88,369.63,369.56,0.998,True
late,7.6626,7.7322,-69.66,348.96,348.76,0.995,True
late,7.918,8.0109,-92.88,277.3,277.58,0.991,True
late,8.1966,8.2663,-69.66,309.51,311.19,0.954,True
