title,composer,duration,fileVersion,hasHarmonies,hasLyrics,keysig,lyrics,measures,mscoreVersion,pageFormatHeight,pageFormatTwosided,pageFormatWidth,pages,poet,previousSource,subtitle,tempo,tempoText,timesig,partName,instrumentId,hasPitchedStaff,program,titles,subtitles,composers,poets,yt_id,syncpoint_count,cropped_duration,gpx_name,ss_artist,scorehash,video_title,video_description,channel_name,view_count,thumbnail_path,,ComposerName,WorkName,ComposerName,,f-measure,f-measure-static,composer_name_normalized,composer_url,composer_nationality,composer_born,composer_died,performer_name,performer_gender,performer_nationality,performer_social_media
La Vida Breve,Music by Transcription: Edson Lopes,217,420,FALSE,FALSE,0,,235,,297,TRUE,210,7,,,"www.classclef.com
Manuel de Falla (1876-1946)
Danza Espanola No. 1",150,<sym>metNoteQuarterUp</sym> = 150,3/8,Nylon Guitar,cavaquinho,TRUE,24,La Vida Breve,"www.classclef.com
Manuel de Falla (1876-1946)
Danza Espanola No. 1",Music by Transcription: Edson Lopes,,n81mh19We9E,239,228,falla-la-vida-breve,,mvswc,La Vida Breve (Manuel de Falla),"Work: La Vida Breve (Danza Española No. 1)
Composer: Manuel de Falla (1876-1946) (Spain)
Performer: Edson Lopes

Level: Advanced

Transcribed by Edson Lopes

Sheet Music available in: 
https://drive.google.com/file/d/16U5MOCAXkUbSpJdvUZD95EU94NyY0k8O/view?usp=sharing

Patreon support:
https://www.patreon.com/edsonlopes

Strings: D'Addario Classical Strings - Pro-Arté
http://www.daddario.com",Edson Lopes,331185,yt_thumbnails/n81mh19We9E.jpg,,Manuel de Falla (1876-1946),,Manuel de Falla (1876-1946),#VALUE!,0.92,0.92,Manuel de Falla,https://imslp.org/wiki/Category%3AFalla%2C%20Manuel%20de,Spanish,1876,1946,Edson Lopes,male,unknown,{'patreon': 'https://www.patreon.com/edsonlopes'}
Lección No.4,,59,420,FALSE,FALSE,1,,32,,297,TRUE,210,4,,,"www.classclef.com
Julio Salvador Sagreras (1879-1942)
Tremolo Study",130,Larghetto <sym>metNoteQuarterUp</sym> = 130,4/4,Track 1,cavaquinho,TRUE,24,Lección No.4,"www.classclef.com
Julio Salvador Sagreras (1879-1942)
Tremolo Study",,,sM2gaNcW6Ss,33,230,sagreras-tremolo,,XSswc,Leccion 4 (Tremolo Etude) by Julio S. Sagreras | Guitar Etudes with Gohar Vardanyan,"For lessons with Gohar visit: http://www.goharvardanyan.com/
Thank you for supporting me on Patreon:
https://www.patreon.com/goharguitar

Sheet music available at: 
https://www.stringsbymail.com/guitar-studies-books-1-through-3-1101.html

Welcome to the new Guitar Etudes with Gohar Vardanyan. This series going to cover various etudes by different composers concentrating on different technical elements. 

Guitar: 2012 Jean Rompré

Strings: RC Strings Recital
https://www.stringsbymail.com/royal-classics-rl50-recital-mt-classical-guitar-strings-full-set-3438.html

Tremolo Lessonettes: 
Part 1: https://www.youtube.com/watch?v=nsAs-rsKaZg
Part 2: https://www.youtube.com/watch?v=MgXqu30_mOY

Lección 4, Book 3 by Julio S. Sagreras

Gohar Vardanyan is sponsored by Strings By Mail (http://www.StringsByMail.com), a complete source for strings. accessories, & sheet music.

WEBSITE: http://www.GoharVardanyan.com

Follow me on Social Media: 

PATREON: https://www.patreon.com/goharguitar
FACEBOOK: https://www.facebook.com/GoharGuitar
INSTAGRAM: https://www.instagram.com/goharguitar/
INSTAGRAM: https://www.instagram.com/gohartravels/
GOOGLE +: https://plus.google.com/+GoharVardanyan
TWITTER: https://twitter.com/FollowGohar",Gohar Vardanyan,120323,yt_thumbnails/sM2gaNcW6Ss.jpg,,Julio Salvador Sagreras (1879-1942),,Julio Salvador Sagreras (1879-1942),#REF!,0.89,0.89,Julio Salvador Sagreras,https://imslp.org/wiki/Category%3ASagreras%2C%20Julio%20Salvador,Argentine,1879,1942,Gohar Vardanyan,female,unknown,"{'patreon': 'https://www.patreon.com/goharguitar', 'facebook': 'https://www.facebook.com/GoharGuitar', 'instagram': ['https://www.instagram.com/goharguitar/', 'https://www.instagram.com/gohartravels/'], 'google_plus': 'https://plus.google.com/+GoharVardanyan', 'twitter': 'https://twitter.com/FollowGohar'}"
La Catedral (Andante Religioso),,67,420,FALSE,FALSE,2,,25,,297,TRUE,210,2,,,"www.classclef.com
Augustin Barrios Mangore (1885-1944)",90,<sym>metNoteQuarterUp</sym> = 90,4/4,Steel Guitar,cavaquinho,TRUE,25,La Catedral (Andante Religioso),"www.classclef.com
Augustin Barrios Mangore (1885-1944)",,,W1UkM82I00Y,25,113,La Catedral (Andante Religioso) by Augustin Barrios Mangore,,HSswc,"Barrios: La Catedral, Movement II: Andante Religioso, solo guitar by Da Vynci","La Catedral, composed by the great guitarist Agustin Barrios Mangoré in 1921, inspired by his visit to Cathedral of San José in Montevideo. This 3-movement suite is arguably the composer's best known work. The original 1921 composition consisted of the 2nd and 3rd Movements only, and the 1st Movement was added by the composer years later. The premiere of the Suite (w/ all 3 movements) took place in San Salvador, 1938, performed by the composer himself.

This is the 2nd Movement in the 3 Movements suite. Moderately paced, its sound resembles the sound of bells of the Catedral tower. 

クラシックギターの名曲、バリオスの「大聖堂」です

See also: La Catedral, Movement I: Preludio Saudade ( http://www.youtube.com/watch?v=pG0vtuN--7s )
La Catedral, Movement III: Allegro Solemne ( http://www.youtube.com/watch?v=DNKGCK9CMak )

--------------------------------
About Watercolour Guitar
I have a passion for acoustic, fingerstyle and classical guitar, I make most of my guitar arrangements / transcriptions,  from jpop, anime songs to classical; from Studio Ghibli, Final Fantasy to Vivaldi, from solo, duet to collaboration; wherever there is a nice melody, I am all for it.   -  Da Vynci

Follow me Facebook: http://www.facebook.com/da.vynci
Google+ : https://plus.google.com/+DaVynci/
Ask.fm : http://ask.fm/watercolourguitar

Youtube channel: 
http://www.youtube.com/watercolour",Watercolour Guitar,13709,yt_thumbnails/W1UkM82I00Y.jpg,,Augustin Barrios Mangore (1885-1944),,Augustin Barrios Mangore (1885-1944),Augustin Barrios Mangore,0.92,0.92,Augustin Barrios Mangore,https://imslp.org/wiki/Category%3ABarrios%20Mangor%C3%A9%2C%20Agust%C3%ADn,Paraguayan,1885,1944,Da Vynci,male,,"{'facebook': 'http://www.facebook.com/da.vynci', 'google+': 'https://plus.google.com/+DaVynci/', 'ask.fm': 'http://ask.fm/watercolourguitar', 'youtube': 'http://www.youtube.com/watercolour'}"
Adios Muchachos,Music by Arr. Roland Dyens,101,420,FALSE,FALSE,3,,51,,297,TRUE,210,3,,,"www.classclef.com
Carlos Gardel (1890-1935)",120,Allegro <sym>metNoteQuarterUp</sym> = 120,2/4,Guitar Standard,cavaquinho,TRUE,24,Adios Muchachos,"www.classclef.com
Carlos Gardel (1890-1935)",Music by Arr. Roland Dyens,,_tfSGK-2pLI,58,105,dyens-adios,,JSswc,Tango Adiós Muchachos (guitar),"Concierto de guitarra a cargo de Isabel Gil Vera celebrado el 14 de noviembre de 2011.
Adiós Muchachos, de Carlos Gardel, en transcripción para guitarra de Roland Dyens.

www.isabelgilvera.com",Isabel Gil Vera,21488,yt_thumbnails/_tfSGK-2pLI.jpg,,Carlos Gardel (1890-1935),,Carlos Gardel (1890-1935),Carlos Gardel,0.87,0.87,Carlos Gardel,https://imslp.org/wiki/Category%3AGardel%2C%20Carlos,Argentine,1890,1935,Isabel Gil Vera,female,unknown,{'website': 'www.isabelgilvera.com'}
La Cubana,,135,420,FALSE,FALSE,2,,51,,297,TRUE,210,1,,,"www.classclef.com
Julian Arcas (1832-1882)
Danza Americana",72,Aire de Tango <sym>metNoteQuarterUp</sym> = 72,2/4,Nylon Guitar,cavaquinho,TRUE,24,La Cubana,"www.classclef.com
Julian Arcas (1832-1882)
Danza Americana",,,bHRRaRx3olo,114,220,arcas-la-cubana,,dSswc,"Julián Arcas - ""La Cubana"" | Classical Guitar | Played by Jonathan Richter","""La Cubana"" (""The Cuban Lady"") by Spanish composer Julián Arcas (1832-1882) is a beautiful guitar piece in the key of D major.

The liner notes include the text ""Danza Americana para guitarra"" and ""Aire de tango"". This implies that the rhythm should be relatively upbeat, in duple meter. 

The beginning La Cubana has a repeating syncopated bass line similar to the popular Spanish piece ""La Paloma"". Above the bouncing bass line is a clear and distinctive melody, which I think sounds best when not played on open strings. 

The piece has an opening theme section which repeats, and then evolves into a larger A section. 

After the 2nd repeat of the entire A section, the piece modulates to the key of G major for the B section. Following other brief modulations to the keys of A minor and D major, Arcas weaves the music back to the key of G major for a delightful conclusion.

Thanks for watching, listening, and subscribing! Let me know what you think of this piece in the comments below, or tell me about your own experiences with the music of Julián Arcas. Don't forget to hit the Like button if you enjoyed the performance and share it with others who might appreciate it!

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
• You can learn more about Julián Arcas here: https://richterguitar.com/classical-guitar/composers/julian-arcas/
• Learn more about classical guitar music on my website: https://richterguitar.com
• Subscribe to my Newsletter: https://richterguitar.com/subscribe/
• Follow me on Instagram: https://www.instagram.com/richterguitar/

Guitarist: Jonathan Richter
Composer: Julián Arcas
Piece: La Cubana
Guitar: 2022 German Vazquez Rubio ""Hauser Elite""
Mic: Neumann TLM 103
#classicalguitar #richterguitar #tango #julianarcas #spanishguitar",Jonathan Richter,873,yt_thumbnails/bHRRaRx3olo.jpg,,Julian Arcas (1832-1882),,Julian Arcas (1832-1882),Julian Arcas,0.03,0.03,Julian Arcas,https://imslp.org/wiki/Category%3AArcas%2C%20Juli%C3%A1n,Spanish,1832,1882,Jonathan Richter,,unknown,{'instagram': 'richterguitar'}
Sonata in D,,203,420,FALSE,FALSE,2,,100,,297,TRUE,210,5,Words by Arr. Thomas Viloteau,,"www.classclef.com
Domenico Scarlatti (1685-1757)
K53/L261",240,Presto <sym>metNoteQuarterUp</sym> = 240,4/4,Nylon Guitar,cavaquinho,TRUE,24,Sonata in D,"www.classclef.com
Domenico Scarlatti (1685-1757)
K53/L261",,Words by Arr. Thomas Viloteau,8KXJoZd_yMI,146,459,Sonata in D K53 L261 by Domenico Scarlatti,,ZSswc,"Thomas Viloteau plays ""Sonatas K380 and K53"" by Scarlatti","Thomas Viloteau uses Le Support®. Get yours at https://www.lesupport.co.

Check out Thomas' technique e-book :
https://www.tigadorecords.com/in-the-black-box

New CD 'A Song and Dance' out! http://apple.co/2hSv5D4 

GET THE SCORE HERE: http://lempreintemelodique.com/shop/fr/home/103-domenico-scarlatti-cinq-sonates-9790560340487.html

French Guitarist Thomas Viloteau plays his own arrangements of the Sonatas K380 and K53 by Scarlatti. The k53 was never arranged prior to this, as it presents very real challenges to the player. It is now published at l'Empreinte Mélodique along with K380 and other sonatas arranged by Thomas Viloteau and Gabriel Bianco.

Subscribe : http://www.youtube.com/suscribe_center?add_user=guitar2tom

http://www.thomasviloteau.com

Instagram: https://www.instagram.com/thomasviloteau/

https://www.facebook.com/thomasviloteauofficial",ThomasViloteauOfficial,60339,yt_thumbnails/8KXJoZd_yMI.jpg,,Domenico Scarlatti (1685-1757),,Domenico Scarlatti (1685-1757),Domenico Scarlatti,0.37,0.37,Domenico Scarlatti,https://imslp.org/wiki/Category%3AScarlatti%2C%20Domenico,Italian,1685,1757,Thomas Viloteau,male,French,"{'instagram': 'https://www.instagram.com/thomasviloteau/', 'facebook': 'https://www.facebook.com/thomasviloteauofficial'}"
Reboliço,,161,420,FALSE,FALSE,3,,85,,297,TRUE,210,3,Words by Fingered and revised by Turibio Santos,,"Joao Pernambuco (1883-1947)
www.classclef.com
Maxixe - Choro",96,<sym>metNoteQuarterUp</sym> = 96,2/4,Guitar,guitar-steel,TRUE,24,Reboliço,"Joao Pernambuco (1883-1947)
www.classclef.com
Maxixe - Choro",,Words by Fingered and revised by Turibio Santos,qztKqRCq1Wk,132,198,Rebolico by Joao Pernambuco,,LSswc,Rebolico (Choro) by Joao Pernambuco,"A lively Maxixe (Brazilian Tango) written by Joao Pernambuco (1883-1947).
Listen on Spotify: https://open.spotify.com/artist/51C5udjgmv3OrD0YEuK7bV",Jim Falbo,2584,yt_thumbnails/qztKqRCq1Wk.jpg,,Joao Pernambuco (1883-1947),,Joao Pernambuco (1883-1947),Joao Pernambuco,0.94,0.94,Joao Pernambuco,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Pernambuco,Brazilian,1883,1947,Jim Falbo,male,,
Nostalgia,,89,420,FALSE,FALSE,1,,27,,297,TRUE,210,1,Words by Tres Piezas Faciles Opus 19,,"www.classclef.com
Julio Sagreras (1879-1942)
(Petite Melodie)",100,<sym>metNoteQuarterUp</sym> = 100,4/4,Nylon Stringed Guitar,cavaquinho,TRUE,24,Nostalgia,"www.classclef.com
Julio Sagreras (1879-1942)
(Petite Melodie)",,Words by Tres Piezas Faciles Opus 19,pBbVvouWdfI,38,87,Nostalgia by Julio Sagreras,,PSswc,Julio Sagreras - Nostalgia,"David Tutmark performs Nostalgia by Julio Sagreras. This simple and beautiful piece by Argentinean guitarist/composer Julio Sagreras is a delight to play and is the 3rd piece from his Tres Piezas Faciles, Op. 19.

Guitar: 2020 Classical in Spruce / Madagascar Rosewood by Anders Sterner

Lessons available worldwide via Zoom. Contact David at www.davidtutmarkguitar.com",David Tutmark,43562,yt_thumbnails/pBbVvouWdfI.jpg,,Julio Sagreras (1879-1942),,Julio Sagreras (1879-1942),Julio Sagreras,0.91,0.91,Julio Sagreras,https://imslp.org/wiki/Category%3ASagreras%2C%20Julio%20Salvador,Argentine,1879,1942,David Tutmark,male,unknown,
BWV 1006a Bourree,Music by Arr. Vesa Kuokkanen,108,420,FALSE,FALSE,4,,39,,297,TRUE,210,2,,,"www.classclef.com
Johann Sebastian Bach (1685-1750)
from Suite No 4 for Lute",160,<sym>metNoteQuarterUp</sym> = 160,1/4,Nylon Guitar,cavaquinho,TRUE,24,BWV 1006a Bourree,"www.classclef.com
Johann Sebastian Bach (1685-1750)
from Suite No 4 for Lute",Music by Arr. Vesa Kuokkanen,,QGL7nIFfXsc,74,115,BWV 1006a Bourree by Johann Sebastian Bach,,xSswc,"Bourée (BWV 1006a) by J.S. Bach (Bráulio Bosi, guitar)","This is my solo classical guitar recording of Bach's Bourée from his Suite in E Major BWV 1006a. I hope you enjoy it!

--------------------------

About Bráulio Bosi:

Born in Colatina, Espirito Santo, Brazil he has been playing guitar for 15 years, starting at the age of 13. Bráulio has won multiple competitions and performed in many venues, theater productions, festivals and concerts throughout Brazil and the United States.
​
Like most young guitarists he started out playing Rock music on Electric Guitar with his high school band before falling in love with the art of Classical Guitar.
​
Beginning his formal musical study at the Federal University of Espirito Santo in Brazil with a Bachelors degree in Music Education
he continued on to complete a Masters degree at Oklahoma City University and a Doctor of Musical Arts at the University of Missouri - Kansas City, both in Guitar Performance while on a full scholarship.
 
Dr. Bosi researches in the field of performing arts medicine and has co-authored a book on musician’s health entitled “The Musician’s Health in Focus: Multiple Perspectives” as well as a published dissertation and multiple articles on the same topic of an injury free career. 
​
Bráulio is currently the guitar instructor at the Univeristy of Missouri-Kansas City.

Concerts, lessons and more, visit: http://brbosi.wixsite.com/brauliobosi

--------------------------

About the composer:

""Johann Sebastian Bach (31 March [O.S. 21 March] 1685 – 28 July 1750) was a German composer and musician of the Baroque period. He enriched established German styles through his mastery of counterpoint, harmonic and motivic organisation, and his adaptation of rhythms, forms, and textures from abroad, particularly from Italy and France. Bach's compositions include the Brandenburg Concertos, the Goldberg Variations, the Mass in B minor, two Passions, and over three hundred cantatas of which approximately two hundred survive. His music is revered for its technical command, artistic beauty, and intellectual depth."" (Wikipedia)

Check out my recordings of other Early Music works:

Prelude (BWV 1006a) by J.S. Bach: https://www.youtube.com/watch?v=lVTumXVt0S8
Loure (BWV 1006a) by J.S. Bach: https://www.youtube.com/watch?v=pmVfB_A2eq8
Gavotte en Roneau (BWV 1006a) by J.S. Bach: https://www.youtube.com/watch?v=lWTos2XIgVs
Menuet I (BWV 1006a) by J.S. Bach: https://www.youtube.com/watch?v=oE8quaKDNGA
Menuet II (BWV 1006a) by J.S. Bach: https://www.youtube.com/watch?v=Amsx2ZiIY88
Gigue (BWV 1006a) by J.S. Bach: https://www.youtube.com/watch?v=N5VkpcC6Z3E
Canarios by Gaspar Sanz: https://www.youtube.com/watch?v=EhF5uuZvcIE
Ricercare II by Francesco da Milano: https://www.youtube.com/watch?v=R1nLz1uk_yE
Ricercare XVI by Francesco da Milano: https://www.youtube.com/watch?v=OUgpMfOMg6w
The Frog Galliard by John Dowland: https://www.youtube.com/watch?v=0dbueqH7Q8k
Sir John Smith, His Almaine by John Dowland: https://www.youtube.com/watch?v=tPH20QF7338",Bráulio Bosi,593,yt_thumbnails/QGL7nIFfXsc.jpg,,Johann Sebastian Bach (1685-1750),,Johann Sebastian Bach (1685-1750),Johann Sebastian Bach,0.89,0.89,Johann Sebastian Bach,https://imslp.org/wiki/Category%3ABach%2C%20Johann%20Sebastian,German,1685,1750,Bráulio Bosi,male,Brazilian,{'website': 'http://brbosi.wixsite.com/brauliobosi'}
Pensamiento Espanol,Music by Arr: Stefan Apke,229,420,FALSE,FALSE,4,,84,,297,TRUE,210,5,,,"www.classclef.com
Jose Broca (1805-1882)
Fantasia",130,<sym>metNoteQuarterUp</sym> = 130,3/4,Nylon Guitar,cavaquinho,TRUE,24,Pensamiento Espanol,"www.classclef.com
Jose Broca (1805-1882)
Fantasia",Music by Arr: Stefan Apke,,OdpWohtuPFs,130,208,broca-pensamiento,,QSswc,"José Broca: Pensamiento Español - Tariq Harb, Guitar","Guitarist Tariq Harb plays exclusively for CBC Radio 2 in a live recording session at the Glenn Gould studios in Toronto, Canada.  This is a delightful piece called ""Spanish Thought"" by Spanish 19th century composer, José Broca. 

NEXT! is CBC Radio 2's showcase for promising young classical musicians and airs weekly on In Concert through February and March of 2013. Guitarist Tariq Harb is featured here.

You can find Tariq's complete interview plus live recording session here: http://music.cbc.ca/#/blogs/2013/2/Discover-Tariq-Harb-Canadas-next-classical-guitar-superstar

http://www.tariqharb.com
http://www.facebook.com/tariqharb",Tariq Harb,5192,yt_thumbnails/OdpWohtuPFs.jpg,,Jose Broca (1805-1882),,Jose Broca (1805-1882),Jose Broca,0.73,0.73,Jose Broca,https://imslp.org/wiki/Category%3ABroca%2C%20Jos%C3%A9,Spanish,1805,1882,Tariq Harb,male,Canadian,"{'website': 'http://www.tariqharb.com', 'facebook': 'http://www.facebook.com/tariqharb'}"
