onset_type,onset_time,pitch
no_change,0.136,59
no_change,0.273,59
no_change,0.409,59
no_change,0.545,60
no_change,0.682,59
no_change,0.818,57
no_change,0.955,59
no_change,1.091,59
no_change,1.227,59
no_change,1.364,55
no_change,1.5,59
no_change,1.636,52
no_change,1.773,59
no_change,1.909,59
no_change,2.045,59
no_change,2.182,60
no_change,2.318,59
no_change,2.455,57
no_change,2.591,59
no_change,2.727,59
no_change,2.864,59
no_change,3.0,55
no_change,3.136,59
no_change,3.273,52
no_change,3.409,59
no_change,3.545,59
no_change,3.682,59
no_change,3.818,60
no_change,3.955,59
no_change,4.091,57
no_change,4.227,59
no_change,4.364,59
no_change,4.5,59
no_change,4.636,55
no_change,4.773,59
no_change,4.909,57
no_change,5.045,59
no_change,5.182,54
no_change,5.318,59
no_change,5.455,55
no_change,5.591,59
no_change,5.727,57
no_change,5.864,59
no_change,6.0,54
no_change,6.136,59
no_change,6.273,55
no_change,6.409,59
no_change,6.545,52
no_change,6.682,59
no_change,6.818,59
no_change,6.955,59
no_change,7.091,60
no_change,7.227,59
no_change,7.364,57
no_change,7.5,59
no_change,7.636,59
no_change,7.773,59
no_change,7.909,55
no_change,8.045,59
no_change,8.182,52
no_change,8.318,59
no_change,8.455,59
no_change,8.591,59
no_change,8.727,60
no_change,8.864,59
no_change,9.0,57
no_change,9.136,59
no_change,9.273,59
no_change,9.409,59
no_change,9.545,55
no_change,9.682,59
no_change,9.818,52
no_change,9.955,59
no_change,10.091,59
no_change,10.227,59
no_change,10.364,60
no_change,10.5,59
no_change,10.636,57
no_change,10.773,59
no_change,10.909,59
no_change,11.045,59
no_change,11.182,55
no_change,11.318,59
no_change,11.455,57
no_change,11.591,59
no_change,11.727,54
no_change,11.864,59
no_change,12.0,55
no_change,12.136,59
no_change,12.273,52
no_change,12.409,59
no_change,12.545,50
no_change,12.682,59
no_change,12.818,48
no_change,12.955,59
no_change,13.091,47
no_change,13.227,59
no_change,13.364,59
no_change,13.5,59
no_change,13.636,60
no_change,13.773,59
no_change,13.909,57
no_change,14.045,59
no_change,14.182,59
no_change,14.318,59
no_change,14.455,54
no_change,14.591,59
no_change,14.727,47
no_change,14.864,59
no_change,15.0,59
no_change,15.136,59
no_change,15.273,60
no_change,15.409,59
no_change,15.545,57
no_change,15.682,59
no_change,15.818,59
no_change,15.955,59
no_change,16.091,54
no_change,16.227,59
no_change,16.364,47
no_change,16.5,59
no_change,16.636,54
no_change,16.773,59
no_change,16.909,57
no_change,17.045,59
no_change,17.182,59
no_change,17.318,59
no_change,17.455,60
no_change,17.591,59
no_change,17.727,62
no_change,17.864,59
no_change,18.0,59
no_change,18.136,59
no_change,18.273,60
no_change,18.409,59
no_change,18.545,57
no_change,18.682,59
no_change,18.818,59
no_change,18.955,59
no_change,19.091,55
no_change,19.227,59
no_change,19.364,54
no_change,19.5,59
no_change,19.636,47
no_change,19.773,59
no_change,19.909,59
no_change,20.045,59
no_change,20.182,60
no_change,20.318,59
no_change,20.455,57
no_change,20.591,59
no_change,20.727,59
no_change,20.864,59
no_change,21.0,54
missing,21.273,47
no_change,21.409,59
no_change,21.545,59
no_change,21.682,59
no_change,21.818,60
no_change,21.955,59
no_change,22.091,57
no_change,22.227,59
no_change,22.364,59
no_change,22.5,59
no_change,22.636,54
no_change,22.773,59
no_change,22.909,47
no_change,23.045,59
no_change,23.182,57
no_change,23.318,59
no_change,23.455,59
no_change,23.591,59
no_change,23.727,60
no_change,23.864,59
no_change,24.0,62
no_change,24.136,59
no_change,24.273,59
no_change,24.409,59
no_change,24.545,60
no_change,24.682,59
no_change,24.818,57
no_change,24.955,59
no_change,25.091,59
no_change,25.227,59
no_change,25.364,55
no_change,25.5,59
no_change,25.636,57
no_change,25.773,59
no_change,25.909,54
no_change,26.045,59
no_change,26.182,52
no_change,27.818,64
