onset_type,onset_time,pitch
no_change,0.562,57
no_change,0.75,62
no_change,0.938,64
no_change,1.125,66
no_change,1.5,66
no_change,1.875,64
no_change,2.625,62
no_change,2.812,61
no_change,3.0,62
no_change,4.125,64
no_change,4.312,62
no_change,4.5,66
no_change,6.562,57
no_change,6.75,62
no_change,6.938,64
no_change,7.125,66
no_change,7.5,66
no_change,7.875,64
no_change,8.625,62
no_change,8.812,61
no_change,9.0,59
no_change,10.5,61
no_change,12.562,57
no_change,12.75,62
no_change,12.938,64
no_change,13.125,66
no_change,13.5,66
no_change,13.875,64
no_change,14.625,62
no_change,14.812,61
no_change,15.0,62
no_change,16.125,71
no_change,16.312,71
no_change,16.5,69
no_change,16.688,64
no_change,16.725,89
no_change,16.875,66
no_change,17.625,67
no_change,18.0,66
no_change,18.188,64
no_change,18.375,62
no_change,18.75,62
no_change,19.125,66
no_change,19.5,57
no_change,20.625,59
no_change,20.812,62
no_change,21.0,62
no_change,24.0,67
no_change,25.5,70
no_change,27.0,63
no_change,29.25,65
no_change,29.625,67
no_change,30.0,68
no_change,30.75,67
no_change,31.5,65
no_change,32.25,63
no_change,33.0,67
no_change,34.5,65
no_change,36.0,70
no_change,37.5,74
no_change,39.0,75
no_change,39.375,70
no_change,40.875,68
no_change,41.25,70
no_change,41.625,72
no_change,42.0,67
no_change,43.125,65
no_change,43.312,63
no_change,43.5,65
no_change,44.625,63
no_change,45.0,63
