mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,86,86,86,0,0,0,0,74,120.00,117.00,3.00
tempo,faster_tempo,93,93,86,2,5,0,0,63,120.00,144.00,24.00
tempo,a_lot_faster_tempo,98,98,75,18,5,0,0,52,120.00,117.00,3.00
tempo,slower_tempo,90,90,84,0,6,0,0,61,120.00,188.00,68.00
tempo,a_lot_slower_tempo,87,87,85,0,2,0,0,55,120.00,117.00,3.00
progressive_tempo,accelerando,103,88,48,27,13,15,0,22,120.00,125.00,5.00
progressive_tempo,ritardando,87,108,45,10,32,0,21,22,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,105,100,54,25,21,5,0,24,120.00,125.00,5.00
timing,note_too_soon,88,87,54,17,16,1,0,38,120.00,117.00,3.00
timing,note_too_late,88,88,84,3,1,0,0,76,120.00,117.00,3.00
duration,note_held_too_long,86,86,86,0,0,0,0,73,120.00,117.00,3.00
duration,note_cut_too_soon,87,87,86,0,1,0,0,74,120.00,117.00,3.00
note,note_missing,86,85,76,5,4,1,0,63,120.00,117.00,3.00
note,note_not_expected,86,87,74,6,6,0,1,62,120.00,117.00,3.00
articulation,articulated_legato,86,84,81,2,1,2,0,58,120.00,117.00,3.00
articulation,articulated_staccato,86,86,86,0,0,0,0,74,120.00,117.00,3.00
articulation,articulated_accentuated,86,86,86,0,0,0,0,74,120.00,117.00,3.00
