onset_type,onset_time,pitch
no_change,0.0,70
no_change,0.857,70
no_change,1.286,68
no_change,1.429,67
no_change,1.714,65
no_change,2.286,62
no_change,2.571,58
no_change,3.0,60
no_change,3.143,62
no_change,3.429,63
no_change,4.0,60
no_change,4.286,60
no_change,4.714,59
no_change,4.857,60
no_change,5.143,62
no_change,5.714,59
no_change,6.0,55
no_change,6.857,70
no_change,7.714,70
no_change,8.143,68
no_change,8.286,67
no_change,8.445,81
no_change,8.571,65
no_change,9.143,62
no_change,9.429,58
no_change,9.857,60
no_change,10.0,62
no_change,10.286,63
no_change,10.714,62
no_change,10.857,60
no_change,11.143,59
no_change,11.571,57
no_change,11.714,59
no_change,12.0,60
no_change,12.857,60
