mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,47,47,46,0,1,0,0,33,75.00,75.00,0.00
tempo,faster_tempo,46,46,46,0,0,0,0,27,75.00,89.00,14.00
tempo,a_lot_faster_tempo,50,51,40,5,5,0,1,15,75.00,57.00,18.00
tempo,slower_tempo,46,46,46,0,0,0,0,24,75.00,60.00,15.00
tempo,a_lot_slower_tempo,47,47,46,1,0,0,0,26,75.00,75.00,0.00
progressive_tempo,accelerando,56,46,18,21,7,10,0,9,75.00,94.00,19.00
progressive_tempo,ritardando,47,60,20,5,22,0,13,12,75.00,65.00,10.00
progressive_tempo,tempo_fluctuation,49,49,33,8,8,0,0,16,75.00,78.00,3.00
timing,note_too_soon,47,47,45,0,2,0,0,32,75.00,75.00,0.00
timing,note_too_late,47,47,45,1,1,0,0,33,75.00,75.00,0.00
duration,note_held_too_long,46,46,46,0,0,0,0,32,75.00,75.00,0.00
duration,note_cut_too_soon,47,47,46,0,1,0,0,33,75.00,75.00,0.00
note,note_missing,47,46,38,4,4,1,0,20,75.00,75.00,0.00
note,note_not_expected,46,47,39,2,5,0,1,26,75.00,75.00,0.00
articulation,articulated_legato,46,49,33,5,8,0,3,9,75.00,75.00,0.00
articulation,articulated_staccato,46,46,46,0,0,0,0,32,75.00,75.00,0.00
articulation,articulated_accentuated,47,47,46,0,1,0,0,33,75.00,75.00,0.00
