onset_type,onset_time,pitch
no_change,0.0,43
no_change,0.789,59
no_change,2.368,38
no_change,3.158,61
no_change,4.737,43
no_change,5.526,59
no_change,7.105,38
no_change,7.895,57
no_change,9.474,43
no_change,10.263,59
no_change,11.053,81
no_change,11.842,79
no_change,12.632,57
no_change,13.421,73
no_change,14.21,71
no_change,15.0,59
no_change,15.789,74
no_change,16.579,69
no_change,17.368,57
no_change,18.947,66
no_change,19.737,59
no_change,21.316,38
no_change,22.105,57
no_change,23.684,43
no_change,24.474,59
no_change,26.053,38
no_change,26.842,57
no_change,28.421,43
no_change,29.21,59
no_change,30.0,81
no_change,30.789,79
no_change,31.579,57
no_change,32.368,73
no_change,33.158,71
no_change,33.947,59
no_change,34.737,74
no_change,35.526,69
no_change,36.316,57
no_change,37.895,73
no_change,38.684,57
no_change,40.263,78
no_change,41.053,59
no_change,42.631,64
no_change,43.421,55
no_change,45.0,40
no_change,45.789,59
no_change,47.368,38
no_change,48.158,53
no_change,49.737,69
no_change,50.526,71
no_change,51.316,72
no_change,52.105,76
no_change,52.895,74
no_change,53.684,71
no_change,54.474,74
no_change,55.263,72
no_change,56.053,71
no_change,56.842,74
no_change,57.631,48
no_change,59.21,38
no_change,60.0,48
no_change,60.789,74
no_change,61.579,76
no_change,62.368,77
no_change,63.158,79
no_change,63.947,81
no_change,64.737,72
no_change,65.526,74
no_change,66.316,76
no_change,67.105,74
no_change,67.895,71
no_change,68.684,74
no_change,69.474,48
no_change,71.052,38
no_change,71.842,48
no_change,72.631,74
no_change,73.421,79
no_change,74.21,59
no_change,75.789,78
no_change,76.579,57
no_change,78.158,71
no_change,78.947,59
no_change,79.737,71
no_change,80.526,73
no_change,81.316,61
no_change,82.105,76
no_change,82.895,73
no_change,83.684,57
no_change,84.474,76
no_change,85.263,66
no_change,86.052,57
no_change,86.842,59
no_change,87.631,60
no_change,90.0,62
no_change,92.368,43
no_change,93.158,59
no_change,94.737,38
no_change,95.526,57
no_change,97.105,43
no_change,97.895,59
no_change,99.473,38
no_change,100.263,57
no_change,101.842,43
no_change,102.631,59
no_change,103.421,81
no_change,104.21,79
no_change,105.0,57
no_change,105.789,73
no_change,106.579,71
no_change,107.368,59
no_change,108.158,74
no_change,108.947,69
no_change,109.737,57
no_change,111.316,66
no_change,112.105,59
no_change,113.684,38
no_change,114.473,57
no_change,116.052,43
no_change,116.842,59
no_change,118.421,38
no_change,119.21,57
no_change,120.789,43
no_change,121.579,59
no_change,122.368,81
no_change,123.158,79
no_change,123.947,57
no_change,124.737,73
no_change,125.526,71
no_change,126.316,59
no_change,127.105,74
no_change,127.894,69
no_change,128.684,57
no_change,130.263,73
no_change,131.052,57
no_change,132.631,78
no_change,133.421,59
no_change,135.0,64
no_change,135.789,55
no_change,137.368,40
no_change,138.158,59
no_change,139.737,38
no_change,140.526,53
no_change,142.105,69
no_change,142.894,71
no_change,143.684,72
no_change,144.473,76
no_change,145.263,74
no_change,146.052,71
no_change,146.842,74
no_change,147.631,72
no_change,148.421,71
no_change,149.21,74
no_change,150.0,48
no_change,151.579,38
no_change,152.368,48
no_change,153.158,74
no_change,153.947,76
no_change,154.737,77
no_change,155.526,79
no_change,156.315,81
no_change,157.105,72
no_change,157.894,74
no_change,158.684,76
no_change,159.473,74
no_change,160.263,71
no_change,161.052,74
no_change,161.842,48
no_change,163.421,38
no_change,164.21,48
no_change,165.0,74
no_change,165.789,79
no_change,166.579,59
no_change,168.158,77
no_change,168.947,57
no_change,170.526,71
no_change,171.315,57
no_change,172.105,77
no_change,172.894,76
no_change,173.684,60
no_change,174.473,72
no_change,175.263,76
no_change,176.052,57
no_change,176.842,72
no_change,177.631,65
no_change,178.421,57
no_change,179.21,59
no_change,180.0,60
no_change,182.368,62
