mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,32,32,32,0,0,0,0,24,120.00,117.00,3.00
tempo,faster_tempo,35,35,30,3,2,0,0,20,120.00,144.00,24.00
tempo,a_lot_faster_tempo,37,37,30,5,2,0,0,19,120.00,89.00,31.00
tempo,slower_tempo,37,37,28,4,5,0,0,21,120.00,94.00,26.00
tempo,a_lot_slower_tempo,35,35,31,1,3,0,0,19,120.00,120.00,0.00
progressive_tempo,accelerando,40,33,15,12,6,7,0,6,120.00,125.00,5.00
progressive_tempo,ritardando,34,42,9,9,16,0,8,6,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,32,46,5,5,22,0,14,5,120.00,117.00,3.00
timing,note_too_soon,32,32,31,0,1,0,0,25,120.00,117.00,3.00
timing,note_too_late,32,32,31,1,0,0,0,25,120.00,117.00,3.00
duration,note_held_too_long,32,32,32,0,0,0,0,25,120.00,117.00,3.00
duration,note_cut_too_soon,32,32,32,0,0,0,0,25,120.00,117.00,3.00
note,note_missing,32,31,28,2,1,1,0,20,120.00,117.00,3.00
note,note_not_expected,32,33,27,2,3,0,1,16,120.00,117.00,3.00
articulation,articulated_legato,32,31,29,1,1,1,0,22,120.00,117.00,3.00
articulation,articulated_staccato,32,32,32,0,0,0,0,25,120.00,117.00,3.00
articulation,articulated_accentuated,32,32,32,0,0,0,0,25,120.00,117.00,3.00
