onset_type,onset_time,pitch
no_change,0.0,69
no_change,0.171,72
no_change,0.343,71
no_change,0.514,69
no_change,0.686,74
no_change,1.029,74
no_change,1.371,74
no_change,1.543,76
no_change,1.714,71
no_change,1.886,72
no_change,2.057,69
no_change,2.4,69
no_change,2.743,69
no_change,2.914,72
no_change,3.086,71
no_change,3.257,69
no_change,3.429,67
no_change,3.6,79
no_change,3.771,78
no_change,3.943,76
no_change,4.114,74
no_change,4.286,72
no_change,4.457,71
no_change,4.629,69
no_change,4.8,67
no_change,5.486,69
no_change,5.657,72
no_change,5.829,71
no_change,6.0,69
no_change,6.171,74
no_change,6.514,74
no_change,6.857,74
no_change,7.029,76
no_change,7.2,71
no_change,7.371,72
no_change,7.543,69
no_change,7.886,69
no_change,8.229,69
no_change,8.4,72
no_change,8.571,71
no_change,8.743,69
no_change,8.914,67
no_change,9.086,74
no_change,9.257,69
no_change,9.429,71
no_change,9.6,67
no_change,10.286,69
no_change,10.457,76
no_change,10.629,76
no_change,10.8,78
no_change,10.929,78
no_change,10.971,76
no_change,11.143,74
no_change,11.314,74
no_change,11.486,78
no_change,11.657,79
no_change,11.829,83
no_change,12.0,86
no_change,12.171,83
no_change,12.343,83
no_change,12.514,81
no_change,12.686,81
no_change,13.029,83
no_change,13.2,73
no_change,13.371,73
no_change,13.543,83
no_change,13.714,81
no_change,13.886,74
no_change,14.057,74
no_change,14.229,78
no_change,14.357,80
no_change,14.4,78
no_change,14.571,76
no_change,14.743,78
no_change,14.914,76
no_change,15.043,80
no_change,15.086,78
no_change,15.257,76
no_change,15.429,78
no_change,15.6,76
no_change,15.771,69
no_change,15.943,76
no_change,16.114,76
no_change,16.286,78
no_change,16.414,78
no_change,16.457,76
no_change,16.629,74
no_change,16.8,74
early,16.971,78
no_change,17.062,79
no_change,17.233,83
no_change,17.405,86
no_change,17.576,83
no_change,17.748,83
no_change,17.919,81
no_change,18.09,81
no_change,18.433,83
no_change,18.605,73
no_change,18.776,73
no_change,18.948,83
no_change,19.119,81
no_change,19.29,74
no_change,19.462,74
no_change,19.633,78
no_change,19.762,80
no_change,19.805,78
no_change,19.976,76
no_change,20.148,78
no_change,20.319,76
no_change,20.49,76
no_change,20.662,74
no_change,20.833,74
no_change,21.176,78
no_change,21.519,74
no_change,21.862,71
no_change,22.205,69
no_change,22.548,81
no_change,22.719,76
no_change,22.89,78
no_change,23.062,79
no_change,23.233,78
no_change,23.405,76
no_change,23.576,74
no_change,23.919,78
no_change,24.262,74
no_change,24.605,71
no_change,24.948,69
no_change,25.29,80
no_change,25.462,81
no_change,25.633,83
no_change,25.805,85
no_change,25.976,88
no_change,26.148,86
no_change,26.319,86
no_change,26.662,90
no_change,27.005,86
no_change,27.348,83
no_change,27.69,81
no_change,28.033,81
no_change,28.205,76
no_change,28.376,78
no_change,28.548,79
no_change,28.719,78
no_change,28.89,76
no_change,29.062,74
no_change,29.405,90
no_change,29.748,86
no_change,30.09,83
no_change,30.433,81
no_change,30.776,80
no_change,30.948,81
no_change,31.119,83
no_change,31.29,85
no_change,31.462,86
no_change,31.633,81
no_change,31.805,85
no_change,31.976,81
no_change,32.148,86
no_change,32.319,81
no_change,32.49,85
no_change,32.662,81
no_change,32.833,86
no_change,33.005,81
no_change,33.176,85
no_change,33.348,81
no_change,33.519,86
no_change,33.69,81
no_change,33.862,85
no_change,34.033,81
no_change,34.205,86
no_change,34.462,74
no_change,34.548,74
no_change,34.805,74
no_change,34.89,74
no_change,35.148,74
no_change,35.233,74
no_change,35.49,74
no_change,35.576,74
no_change,35.833,74
no_change,35.919,74
no_change,36.176,74
no_change,36.262,74
no_change,36.519,74
no_change,36.605,74
no_change,36.862,74
no_change,36.948,67
no_change,37.633,69
no_change,37.805,72
no_change,37.976,71
no_change,38.148,69
no_change,38.319,74
no_change,38.662,74
no_change,39.005,74
no_change,39.176,76
no_change,39.348,71
no_change,39.519,72
no_change,39.69,69
no_change,40.033,69
no_change,40.376,69
no_change,40.548,72
no_change,40.719,71
no_change,40.89,69
no_change,41.062,67
no_change,41.233,79
no_change,41.405,78
no_change,41.576,76
no_change,41.748,74
no_change,41.919,72
no_change,42.09,71
no_change,42.262,69
no_change,42.433,67
no_change,43.119,69
no_change,43.29,72
no_change,43.462,71
no_change,43.633,69
no_change,43.805,74
no_change,44.148,74
no_change,44.49,74
no_change,44.662,76
no_change,44.833,71
no_change,45.005,72
no_change,45.176,69
no_change,45.519,69
no_change,45.862,69
no_change,46.033,72
no_change,46.205,71
no_change,46.376,69
no_change,46.548,67
no_change,46.719,74
no_change,46.89,69
no_change,47.062,71
no_change,47.233,67
