onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,523.4,523.4,523.4,1.0,True
correct,0.162,0.186,-0.0,525.9,494.1,525.9,0.583,True
correct,0.348,0.348,0.0,440.0,439.8,440.0,0.997,True
correct,0.511,0.511,0.0,587.4,587.4,587.4,1.0,True
correct,0.859,0.859,0.0,587.4,587.4,587.4,1.0,True
correct,1.207,1.207,0.0,586.0,588.2,586.0,0.969,True
correct,1.37,1.37,0.0,658.9,658.9,658.9,1.0,True
correct,1.555,1.555,0.0,493.9,493.9,493.9,1.0,True
correct,1.718,1.718,0.0,522.2,524.8,522.2,0.958,True
correct,1.881,1.881,0.0,440.1,440.1,440.1,1.0,True
correct,2.229,2.229,0.0,440.1,440.1,440.1,1.0,True
correct,2.577,2.577,0.0,440.3,440.3,440.3,1.0,True
correct,2.74,2.74,0.0,523.4,523.4,523.4,1.0,True
correct,2.925,2.925,0.0,493.8,493.7,493.8,0.999,True
correct,3.088,3.088,0.0,439.9,439.8,439.9,0.997,True
correct,3.251,3.251,0.0,391.6,391.8,391.6,0.997,True
correct,3.436,3.436,0.0,784.0,784.0,784.0,1.0,True
correct,3.599,3.599,0.0,740.2,740.2,740.2,1.0,True
correct,3.785,3.785,0.0,658.8,658.8,658.8,1.0,True
correct,3.947,3.947,0.0,587.2,587.2,587.2,1.0,True
late,4.11,4.458,-0.3,523.3,523.4,523.3,0.999,True
correct,4.295,4.621,-0.3,493.8,493.9,493.8,0.998,True
correct,4.458,4.806,-0.3,440.1,439.9,440.1,0.995,True
correct,4.621,4.969,-0.3,391.6,391.7,391.6,1.0,True
correct,5.317,5.665,-0.3,439.9,439.9,439.9,0.998,True
correct,5.48,5.828,-0.3,523.4,523.4,523.4,0.999,True
correct,5.665,5.991,-0.3,493.7,493.8,493.7,0.998,True
correct,5.828,6.176,-0.3,440.1,439.8,440.1,0.994,True
correct,5.991,6.339,-0.3,587.3,587.4,587.3,0.999,True
correct,6.339,6.687,-0.3,587.3,585.7,587.3,0.976,True
correct,6.687,7.035,-0.3,584.6,586.7,584.6,0.969,True
correct,6.85,7.198,-0.3,659.0,658.9,659.0,0.999,True
correct,7.035,7.384,-0.3,493.8,494.1,493.8,0.995,True
correct,7.198,7.546,-0.3,523.2,521.5,523.2,0.972,True
correct,7.384,7.709,-0.3,440.3,440.1,440.3,0.997,True
correct,7.709,8.057,-0.3,440.1,440.7,440.1,0.989,True
correct,8.057,8.405,-0.3,440.8,440.3,440.8,0.991,True
correct,8.22,8.568,-0.3,523.3,523.4,523.3,0.999,True
correct,8.405,8.754,-0.3,493.6,494.1,493.6,0.991,True
correct,8.568,8.916,-0.3,440.1,439.9,440.1,0.996,True
correct,8.754,9.079,-0.3,391.6,391.6,391.6,0.998,True
correct,8.916,9.265,-0.3,587.2,587.5,587.2,0.995,True
correct,9.079,9.427,-0.3,440.1,439.8,440.1,0.994,True
correct,9.265,9.613,-0.3,494.1,494.1,494.1,0.999,True
correct,9.427,9.775,-0.3,391.4,391.6,391.4,0.997,True
