onset_type,onset_time,pitch
no_change,0.0,69
no_change,0.171,72
no_change,0.343,71
no_change,0.514,69
no_change,0.686,74
no_change,1.029,74
no_change,1.371,74
no_change,1.543,76
no_change,1.714,71
no_change,1.886,72
no_change,2.057,69
no_change,2.4,69
no_change,2.743,69
no_change,2.914,72
no_change,3.086,71
no_change,3.257,69
no_change,3.429,67
no_change,3.6,79
no_change,3.771,78
no_change,3.943,76
late,4.114,74
no_change,4.628,72
no_change,4.799,71
no_change,4.971,69
no_change,5.142,67
no_change,5.828,69
no_change,5.999,72
no_change,6.171,71
no_change,6.342,69
no_change,6.513,74
no_change,6.856,74
no_change,7.199,74
no_change,7.371,76
no_change,7.542,71
no_change,7.713,72
no_change,7.885,69
no_change,8.228,69
no_change,8.571,69
no_change,8.742,72
no_change,8.913,71
no_change,9.085,69
no_change,9.256,67
no_change,9.428,74
no_change,9.599,69
no_change,9.771,71
no_change,9.942,67
