onset_type,onset_time,pitch
no_change,0.0,78
no_change,1.2,76
no_change,2.4,74
no_change,3.6,73
no_change,4.8,71
no_change,6.0,69
no_change,7.2,71
no_change,8.4,73
no_change,9.6,62
no_change,10.2,66
no_change,10.8,69
no_change,11.4,67
no_change,12.0,66
no_change,12.6,62
no_change,13.2,66
no_change,13.8,64
no_change,14.4,62
no_change,15.0,59
no_change,15.6,62
no_change,16.2,69
no_change,16.8,67
no_change,17.4,71
no_change,18.0,69
no_change,18.6,67
no_change,19.2,66
no_change,19.8,62
no_change,20.4,64
no_change,21.0,73
no_change,21.6,74
no_change,22.2,78
no_change,22.8,81
no_change,23.4,69
no_change,24.0,71
no_change,24.6,67
no_change,25.2,69
no_change,25.8,66
no_change,26.4,62
no_change,27.0,74
no_change,27.6,74
no_change,27.75,76
no_change,27.9,74
no_change,28.05,76
no_change,28.2,74
no_change,28.5,73
no_change,28.8,74
no_change,29.1,73
no_change,29.4,74
no_change,29.7,62
no_change,30.0,61
no_change,30.3,69
no_change,30.6,64
no_change,30.9,66
no_change,31.2,62
no_change,31.5,74
no_change,31.8,73
no_change,32.1,71
no_change,32.4,73
no_change,32.7,78
no_change,33.0,81
no_change,33.3,83
no_change,33.6,79
no_change,33.9,78
no_change,34.2,76
no_change,34.5,79
no_change,34.8,78
no_change,35.1,76
no_change,35.4,74
no_change,35.7,73
no_change,36.0,71
no_change,36.3,69
no_change,36.6,67
no_change,36.9,66
no_change,37.2,64
no_change,37.5,67
no_change,37.8,66
no_change,38.1,64
no_change,38.4,62
no_change,38.7,64
no_change,39.0,66
no_change,39.3,67
no_change,39.6,69
no_change,39.9,64
no_change,40.2,69
no_change,40.5,67
no_change,40.8,66
no_change,41.1,71
no_change,41.4,69
no_change,41.7,67
no_change,42.0,69
no_change,42.3,67
no_change,42.6,66
no_change,42.9,64
no_change,43.2,62
no_change,43.5,59
no_change,43.8,71
no_change,44.1,73
no_change,44.4,74
no_change,44.7,73
no_change,45.0,71
no_change,45.3,69
no_change,45.6,67
no_change,45.9,66
no_change,46.2,64
no_change,46.5,71
no_change,46.8,69
no_change,47.1,71
no_change,47.4,69
no_change,47.7,67
no_change,48.0,66
no_change,48.6,78
no_change,49.2,76
no_change,51.0,74
no_change,51.6,78
no_change,52.8,83
no_change,54.0,81
no_change,55.2,83
no_change,56.4,85
no_change,57.6,86
no_change,58.2,74
no_change,58.8,73
no_change,60.6,71
no_change,61.2,74
no_change,62.4,74
no_change,64.2,74
no_change,64.8,74
no_change,65.4,79
no_change,66.0,76
no_change,66.6,81
no_change,67.2,81
no_change,67.5,78
no_change,67.65,79
no_change,67.8,81
no_change,68.1,78
no_change,68.25,79
late,68.4,81
no_change,69.15,69
no_change,69.3,71
no_change,69.45,73
no_change,69.6,74
no_change,69.75,76
no_change,69.9,78
no_change,70.05,79
no_change,70.2,78
no_change,70.5,74
no_change,70.65,76
no_change,70.8,78
no_change,71.1,66
no_change,71.25,67
no_change,71.4,69
no_change,71.55,71
no_change,71.7,69
no_change,71.85,67
no_change,72.0,69
no_change,72.15,66
no_change,72.3,67
no_change,72.45,69
no_change,72.6,67
no_change,72.9,71
no_change,73.05,69
no_change,73.2,67
no_change,73.5,66
no_change,73.65,64
no_change,73.8,66
no_change,73.95,64
no_change,74.1,62
no_change,74.25,64
no_change,74.4,66
no_change,74.55,67
no_change,74.7,69
no_change,74.85,71
no_change,75.0,67
no_change,75.3,71
no_change,75.45,69
no_change,75.6,71
no_change,75.9,73
no_change,76.05,74
no_change,76.2,69
no_change,76.35,71
no_change,76.5,73
no_change,76.65,74
no_change,76.8,76
no_change,76.95,78
no_change,77.1,79
no_change,77.25,81
no_change,77.4,78
no_change,77.7,74
no_change,77.85,76
no_change,78.0,78
no_change,78.3,76
no_change,78.45,74
no_change,78.6,76
no_change,78.75,73
no_change,78.9,74
no_change,79.05,76
no_change,79.2,78
no_change,79.35,76
no_change,79.5,74
no_change,79.65,73
no_change,79.8,74
no_change,80.1,71
no_change,80.25,73
no_change,80.4,74
no_change,80.7,62
no_change,80.85,64
no_change,81.0,66
no_change,81.15,67
no_change,81.3,66
no_change,81.45,64
no_change,81.6,66
no_change,81.75,74
no_change,81.9,73
no_change,82.05,74
no_change,82.2,71
no_change,82.5,74
no_change,82.65,73
no_change,82.8,71
no_change,83.1,69
no_change,83.25,67
no_change,83.4,69
no_change,83.55,67
no_change,83.7,66
no_change,83.85,67
no_change,84.0,69
no_change,84.15,71
no_change,84.3,73
no_change,84.45,74
no_change,84.6,71
no_change,84.9,74
no_change,85.05,73
no_change,85.2,74
no_change,85.5,73
no_change,85.65,71
no_change,85.8,69
no_change,85.95,71
no_change,86.1,73
no_change,86.25,74
no_change,86.4,76
no_change,86.55,78
no_change,86.7,79
no_change,86.85,81
no_change,87.0,74
no_change,88.2,69
no_change,89.4,71
no_change,90.6,66
no_change,91.8,67
no_change,93.0,62
no_change,94.2,67
no_change,95.4,69
no_change,96.6,78
no_change,97.8,76
no_change,99.0,74
no_change,100.2,73
no_change,101.4,71
no_change,102.6,69
no_change,103.8,71
no_change,105.0,73
no_change,106.2,74
