onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,219.3000030517578,219.4,219.3,0.9990000128746033,True
correct,0.186,0.186,0.0,293.20001220703125,293.1,293.2,0.9980000257492065,True
correct,0.372,0.372,0.0,329.20001220703125,328.9,329.2,0.9919999837875366,True
early,0.558,0.488,0.1,369.5,369.6,369.5,0.9980000257492065,True
correct,0.929,0.836,0.1,376.6000061035156,376.6,376.6,0.9990000128746033,True
correct,1.324,1.208,0.1,329.6000061035156,329.6,329.6,1.0,True
correct,2.067,1.974,0.1,293.20001220703125,293.2,293.2,1.0,True
correct,2.253,2.16,0.1,277.6000061035156,277.6,277.6,0.9990000128746033,True
correct,2.439,2.346,0.1,293.1000061035156,293.1,293.1,0.9990000128746033,True
correct,3.553,3.46,0.1,329.29998779296875,329.3,329.3,0.9990000128746033,True
correct,3.739,3.646,0.1,292.8999938964844,333.0,292.9,0.0,True
correct,3.948,3.855,0.1,369.5,369.6,369.5,0.9980000257492065,True
correct,5.991,5.898,0.1,218.89999389648438,219.0,218.9,0.9980000257492065,True
correct,6.177,6.084,0.1,292.70001220703125,292.6,292.7,0.9980000257492065,True
correct,6.386,6.293,0.1,330.0,329.9,330.0,0.9980000257492065,True
correct,6.572,6.479,0.1,369.5,369.5,369.5,1.0,True
correct,6.943,6.85,0.1,373.1000061035156,373.0,373.1,0.9980000257492065,True
correct,7.315,7.222,0.1,329.79998779296875,329.8,329.8,1.0,True
correct,8.058,7.965,0.1,293.29998779296875,293.3,293.3,1.0,True
correct,8.244,8.151,0.1,277.70001220703125,277.6,277.7,0.9980000257492065,True
correct,8.429,8.336,0.1,268.79998779296875,266.6,268.8,0.9319999814033508,True
correct,9.939,9.846,0.1,277.5,277.5,277.5,1.0,True
early,12.377,11.912,0.5,329.79998779296875,219.5,329.8,0.0,True
correct,12.562,12.098,0.5,369.29998779296875,293.1,369.3,0.0,True
early,12.934,12.284,0.6,375.79998779296875,329.9,375.8,0.0,True
early,13.306,12.47,0.8,329.70001220703125,369.5,329.7,0.3720000088214874,True
early,14.072,12.841,1.2,293.20001220703125,375.7,293.2,0.0,True
late,14.258,13.213,1.0,277.6000061035156,329.7,277.6,0.0,True
late,14.443,13.979,0.5,291.79998779296875,293.2,291.8,0.9580000042915344,True
early,15.558,14.165,1.4,494.0,277.6,494.0,0.0,True
correct,15.744,14.35,1.4,494.1000061035156,292.6,494.1,0.0,True
late,15.929,15.465,0.5,440.0,494.0,440.0,0.0,True
correct,16.115,15.651,0.5,329.0,493.6,329.0,0.0,True
correct,16.301,15.837,0.5,369.5,440.0,369.5,0.0,True
early,17.067,16.022,1.0,391.6000061035156,329.0,391.6,0.0,True
early,17.439,16.208,1.2,369.70001220703125,347.2,369.7,0.5799999833106995,True
late,17.624,16.974,0.7,329.8999938964844,391.6,329.9,0.0,True
late,17.81,17.346,0.5,293.20001220703125,369.7,293.2,0.0,True
early,18.182,17.532,0.7,292.8999938964844,329.8,292.9,0.0,True
early,18.553,17.717,0.8,369.29998779296875,293.5,369.3,0.0,True
early,18.948,18.089,0.9,219.6999969482422,292.9,219.7,0.0,True
early,20.063,18.46,1.6,247.0,369.3,247.0,0.0,True
late,20.248,18.855,1.4,293.0,219.5,293.0,0.0,True
late,20.434,19.97,0.5,291.5,247.0,291.5,0.0,True
early,23.429,20.155,3.3,391.3999938964844,293.2,391.4,0.0,True
early,24.939,20.341,4.6,465.70001220703125,290.0,465.7,0.0,True
late,26.448,23.337,3.1,311.1000061035156,391.7,311.1,0.0,True
early,28.677,24.846,3.8,348.79998779296875,465.7,348.8,0.0,True
late,29.072,26.355,2.7,391.6000061035156,311.1,391.6,0.0,True
late,29.443,28.584,0.9,415.0,348.8,415.0,0.0,True
early,30.186,28.979,1.2,393.29998779296875,391.7,393.3,0.9649999737739563,True
early,30.929,29.351,1.6,347.8999938964844,415.5,347.9,0.0,True
correct,31.696,30.094,1.6,311.29998779296875,391.5,311.3,0.0,True
correct,32.439,30.837,1.6,391.6000061035156,348.8,391.6,0.0,True
early,33.948,31.603,2.3,348.8999938964844,311.3,348.9,0.37299999594688416,True
early,35.434,32.346,3.1,465.70001220703125,391.6,465.7,0.0,True
correct,36.943,33.855,3.1,587.2999877929688,348.9,587.3,0.0,True
correct,38.43,35.341,3.1,622.4000244140625,465.7,622.4,0.0,True
late,38.801,36.851,2.0,465.5,587.5,465.5,0.0,True
correct,40.31,38.337,2.0,415.0,622.4,415.0,0.0,True
correct,40.682,38.708,2.0,465.70001220703125,465.5,465.7,0.9959999918937683,True
late,41.053,40.217,0.8,522.7999877929688,415.0,522.8,0.0,True
early,41.448,40.589,0.9,391.6000061035156,465.7,391.6,0.0,True
early,42.563,40.96,1.6,348.8999938964844,522.9,348.9,0.0,True
late,42.748,41.355,1.4,311.6000061035156,391.6,311.6,0.0,True
late,42.934,42.47,0.5,349.1000061035156,348.9,349.1,0.9959999918937683,True
early,44.072,42.656,1.4,311.29998779296875,311.3,311.3,0.9980000257492065,True
early,44.443,42.841,1.6,312.29998779296875,348.1,312.3,0.39100000262260437,True
extra,,43.979,,,311.0,311.0,,False
extra,,44.351,,,311.3,311.3,,False
