onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,658.9,658.9,658.9,1.0,True
correct,0.255,0.255,0.0,622.2,622.2,622.2,1.0,True
correct,0.487,0.487,0.0,657.2,657.2,657.2,1.0,True
correct,0.743,0.743,0.0,622.4,622.4,622.4,1.0,True
correct,0.998,0.998,0.0,658.5,658.5,658.5,1.0,True
correct,1.254,1.254,0.0,494.1,494.1,494.1,1.0,True
correct,1.486,1.486,0.0,587.3,587.3,587.3,1.0,True
correct,1.741,1.741,0.0,523.0,523.0,523.0,1.0,True
correct,1.997,1.997,0.0,440.2,440.2,440.2,1.0,True
correct,2.74,2.74,0.0,261.2,261.2,261.2,1.0,True
correct,2.995,2.995,0.0,329.3,329.3,329.3,1.0,True
correct,3.25,3.25,0.0,439.9,439.9,439.9,1.0,True
correct,3.506,3.506,0.0,494.1,494.1,494.1,1.0,True
correct,4.249,4.249,0.0,329.9,329.9,329.9,1.0,True
correct,4.504,4.504,0.0,415.2,415.2,415.2,1.0,True
correct,4.737,4.737,0.0,493.9,493.9,493.9,1.0,True
correct,4.992,4.992,0.0,523.6,523.6,523.6,1.0,True
correct,5.735,5.735,0.0,328.9,328.9,328.9,1.0,True
correct,5.99,5.99,0.0,658.9,658.9,658.9,1.0,True
correct,6.246,6.246,0.0,622.5,622.5,622.5,1.0,True
correct,6.501,6.501,0.0,658.7,658.7,658.7,1.0,True
correct,6.733,6.733,0.0,658.1,658.1,658.1,1.0,True
correct,6.989,6.989,0.0,658.9,658.9,658.9,1.0,True
correct,7.244,7.244,0.0,493.7,493.7,493.7,1.0,True
correct,7.5,7.5,0.0,587.5,587.5,587.5,1.0,True
correct,7.755,7.755,0.0,523.3,523.3,523.3,1.0,True
correct,7.987,7.987,0.0,439.5,439.5,439.5,1.0,True
correct,8.754,8.754,0.0,261.1,261.1,261.1,1.0,True
correct,8.986,8.986,0.0,329.7,329.7,329.7,1.0,True
correct,9.241,9.241,0.0,439.7,439.7,439.7,1.0,True
correct,9.497,9.497,0.0,494.1,494.1,494.1,1.0,True
correct,10.24,10.24,0.0,329.7,329.7,329.7,1.0,True
correct,10.495,10.495,0.0,523.1,523.1,523.1,1.0,True
correct,10.751,10.751,0.0,494.1,494.1,494.1,1.0,True
correct,11.006,11.006,0.0,440.3,440.3,440.3,1.0,True
correct,11.749,11.749,0.0,494.1,494.1,494.1,1.0,True
correct,12.004,12.004,0.0,523.1,523.1,523.1,1.0,True
correct,12.237,12.237,0.0,587.3,587.3,587.3,1.0,True
correct,12.492,12.492,0.0,658.9,658.9,658.9,1.0,True
correct,13.235,13.235,0.0,391.3,391.3,391.3,1.0,True
correct,13.49,13.49,0.0,698.3,698.3,698.3,1.0,True
correct,13.746,13.746,0.0,658.8,658.8,658.8,1.0,True
correct,14.001,14.001,0.0,587.2,587.2,587.2,1.0,True
correct,14.744,14.744,0.0,348.8,348.8,348.8,1.0,True
correct,15.0,15.0,0.0,658.9,658.9,658.9,1.0,True
correct,15.255,15.255,0.0,587.3,587.3,587.3,1.0,True
correct,15.487,15.487,0.0,522.9,522.9,522.9,1.0,True
correct,16.254,16.254,0.0,330.0,330.0,330.0,1.0,True
correct,16.486,16.486,0.0,587.4,587.4,587.4,1.0,True
correct,16.741,16.741,0.0,523.0,523.0,523.0,1.0,True
correct,16.997,16.997,0.0,494.1,494.1,494.1,1.0,True
correct,19.504,19.504,0.0,658.9,658.9,658.9,1.0,True
correct,19.737,19.737,0.0,622.3,622.3,622.3,1.0,True
correct,19.992,19.992,0.0,657.6,657.7,657.6,1.0,True
correct,20.247,20.247,0.0,621.8,621.8,621.8,1.0,True
correct,20.503,20.503,0.0,658.9,658.9,658.9,1.0,True
early,20.735,20.619,0.1,493.5,494.0,493.5,0.99,True
correct,20.991,20.874,0.1,587.4,587.2,587.4,0.997,True
correct,21.246,21.13,0.1,523.5,523.6,523.5,0.998,True
correct,21.501,21.362,0.1,439.9,439.5,439.9,0.991,True
correct,22.244,22.128,0.1,261.0,261.1,261.0,0.996,True
correct,22.5,22.36,0.1,329.9,329.0,329.9,0.976,True
correct,22.755,22.616,0.1,440.0,440.1,440.0,0.998,True
correct,22.987,22.871,0.1,493.6,493.9,493.6,0.994,True
correct,23.754,23.614,0.1,330.0,329.1,330.0,0.978,True
correct,23.986,23.87,0.1,415.3,415.4,415.3,0.998,True
correct,24.241,24.125,0.1,493.6,493.8,493.6,0.997,True
correct,24.497,24.381,0.1,523.6,523.6,523.6,1.0,True
correct,25.24,25.124,0.1,329.7,329.9,329.7,0.997,True
correct,25.495,25.379,0.1,658.9,658.9,658.9,1.0,True
correct,25.751,25.611,0.1,622.6,657.6,622.6,0.622,True
correct,26.006,25.867,0.1,658.9,658.9,658.9,0.999,True
correct,26.238,26.122,0.1,621.5,621.7,621.5,0.998,True
correct,26.494,26.378,0.1,658.9,658.9,658.9,1.0,True
correct,26.749,26.61,0.1,493.8,493.9,493.8,0.998,True
correct,27.004,26.865,0.1,587.3,587.0,587.3,0.995,True
correct,27.237,27.121,0.1,523.3,523.4,523.3,0.998,True
correct,27.492,27.376,0.1,439.7,439.9,439.7,0.997,True
correct,28.235,28.119,0.1,260.6,261.0,260.6,0.989,True
correct,28.491,28.374,0.1,329.8,329.5,329.8,0.992,True
correct,28.746,28.63,0.1,440.2,440.2,440.2,0.999,True
correct,29.001,28.862,0.1,493.9,493.5,493.9,0.993,True
correct,29.744,29.628,0.1,329.3,329.5,329.3,0.995,True
correct,30.0,29.861,0.1,523.5,523.3,523.5,0.997,True
correct,30.255,30.116,0.1,493.6,493.9,493.6,0.995,True
correct,30.487,30.371,0.1,440.0,440.0,440.0,1.0,True
