onset_timestamp,pitch,change_type
0.0,58,no_change
0.857,58,no_change
1.286,56,no_change
1.429,55,no_change
1.714,53,no_change
2.286,50,no_change
2.571,46,no_change
3.0,48,no_change
3.143,50,no_change
3.429,51,no_change
4.0,48,no_change
4.286,48,no_change
4.714,47,no_change
4.857,48,no_change
5.143,50,no_change
5.714,47,no_change
6.0,43,no_change
6.857,58,no_change
7.714,58,no_change
8.143,56,no_change
8.286,55,no_change
8.571,53,no_change
9.288,46,no_change
9.716,48,no_change
9.859,50,no_change
10.145,51,no_change
10.573,50,no_change
10.716,48,no_change
11.002,47,no_change
11.43,45,no_change
11.573,47,no_change
11.859,48,no_change
12.716,48,no_change
9.143,50,early
