onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,261.2,261.2,261.2,1.0,True
correct,0.301,0.301,0.0,311.1,311.1,311.1,0.999,True
correct,0.859,0.859,0.0,348.9,348.9,348.9,1.0,True
correct,1.137,1.137,0.0,392.1,393.0,392.1,0.982,True
correct,1.579,1.579,0.0,415.5,415.5,415.5,1.0,True
correct,1.718,1.718,0.0,391.7,391.7,391.7,0.999,True
correct,1.997,1.997,0.0,348.9,348.9,348.9,0.999,True
correct,2.577,2.577,0.0,293.1,293.1,293.1,0.998,True
correct,2.856,2.856,0.0,233.1,233.1,233.1,1.0,True
correct,3.297,3.297,0.0,261.2,261.2,261.2,1.0,True
late,3.436,3.715,-0.3,292.9,293.2,292.9,0.991,True
correct,3.715,4.017,-0.3,311.1,311.3,311.1,0.995,True
correct,4.295,4.574,-0.3,261.1,261.2,261.1,0.996,True
correct,4.574,4.876,-0.3,261.2,261.1,261.2,0.998,True
correct,5.015,5.294,-0.3,246.8,246.9,246.8,0.993,True
correct,5.154,5.433,-0.3,263.4,251.1,263.4,0.662,True
correct,5.433,5.712,-0.3,293.5,293.3,293.5,0.996,True
correct,6.014,6.292,-0.3,247.0,246.5,247.0,0.98,True
correct,6.292,6.571,-0.3,195.2,195.5,195.2,0.985,True
correct,6.873,7.151,-0.3,261.1,261.0,261.1,0.996,True
correct,7.151,7.43,-0.3,310.9,310.9,310.9,0.999,True
correct,7.709,8.011,-0.3,348.9,348.9,348.9,0.999,True
correct,8.011,8.289,-0.3,391.6,391.5,391.6,0.997,True
correct,8.428,8.73,-0.3,417.3,415.2,417.3,0.956,True
correct,8.568,8.87,-0.3,392.0,391.6,392.0,0.991,True
correct,8.87,9.148,-0.3,348.9,349.1,348.9,0.997,True
correct,9.427,9.729,-0.3,293.2,293.2,293.2,0.999,True
correct,9.729,10.007,-0.3,233.4,232.6,233.4,0.969,True
correct,10.147,10.425,-0.3,261.2,260.6,261.2,0.981,True
correct,10.286,10.588,-0.3,291.7,293.2,291.7,0.958,True
correct,10.588,10.867,-0.3,311.3,311.2,311.3,0.998,True
correct,11.006,11.285,-0.3,293.2,293.2,293.2,1.0,True
correct,11.145,11.447,-0.3,259.9,261.0,259.9,0.964,True
correct,11.424,11.726,-0.3,246.8,247.0,246.8,0.992,True
correct,11.865,12.144,-0.3,219.6,219.6,219.6,0.998,True
correct,12.004,12.306,-0.3,245.6,246.9,245.6,0.956,True
correct,12.283,12.585,-0.3,261.2,261.2,261.2,0.999,True
correct,12.863,13.142,-0.3,261.2,265.4,261.2,0.871,True
correct,13.142,13.444,-0.3,267.1,261.1,267.1,0.822,True
