onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,261.2,261.2,261.2,1.0,True
correct,0.301,0.301,0.0,311.1,311.1,311.1,0.999,True
correct,0.859,0.859,0.0,348.9,348.9,348.9,1.0,True
correct,1.137,1.137,0.0,392.1,393.0,392.1,0.982,True
correct,1.579,1.579,0.0,415.5,415.5,415.5,1.0,True
correct,1.718,1.718,0.0,391.7,391.7,391.7,0.999,True
correct,1.997,1.997,0.0,348.9,348.9,348.9,0.999,True
correct,2.577,2.577,0.0,293.1,293.1,293.1,0.998,True
correct,2.856,2.856,0.0,233.1,233.1,233.1,1.0,True
correct,3.297,3.297,0.0,261.2,261.2,261.2,1.0,True
correct,3.436,3.436,0.0,292.9,292.9,292.9,0.998,True
correct,3.715,3.715,0.0,311.1,311.1,311.1,1.0,True
correct,4.295,4.295,0.0,261.1,261.1,261.1,0.998,True
correct,4.574,4.574,0.0,261.2,261.2,261.2,1.0,True
correct,5.015,5.015,0.0,246.8,246.8,246.8,1.0,True
correct,5.154,5.154,0.0,263.4,260.5,263.4,0.909,True
correct,5.433,5.433,0.0,293.5,293.4,293.5,0.999,True
correct,6.014,6.014,0.0,247.0,247.0,247.0,1.0,True
correct,6.292,6.292,0.0,195.2,195.2,195.2,0.997,True
correct,6.873,6.873,0.0,261.1,261.1,261.1,1.0,True
correct,7.151,7.151,0.0,310.9,311.1,310.9,0.996,True
correct,7.709,7.709,0.0,348.9,348.9,348.9,1.0,True
correct,8.011,8.011,0.0,391.6,391.6,391.6,1.0,True
early,8.428,8.312,0.1,417.3,412.8,417.3,0.91,True
correct,8.568,8.452,0.1,392.0,391.8,392.0,0.994,True
correct,8.87,8.754,0.1,348.9,348.9,348.9,1.0,True
correct,9.427,9.311,0.1,293.2,293.2,293.2,1.0,True
correct,9.729,9.613,0.1,233.4,233.5,233.4,0.999,True
correct,10.147,10.031,0.1,261.2,261.2,261.2,1.0,True
correct,10.286,10.17,0.1,291.7,293.2,291.7,0.957,True
correct,10.588,10.449,0.1,311.3,311.0,311.3,0.991,True
correct,11.006,10.89,0.1,293.2,293.2,293.2,1.0,True
correct,11.145,11.029,0.1,259.9,262.3,259.9,0.923,True
correct,11.424,11.308,0.1,246.8,246.8,246.8,0.998,True
correct,11.865,11.749,0.1,219.6,219.6,219.6,0.999,True
correct,12.004,11.888,0.1,245.6,245.8,245.6,0.996,True
correct,12.283,12.167,0.1,261.2,261.2,261.2,0.998,True
correct,12.863,12.747,0.1,261.2,261.2,261.2,1.0,True
correct,13.142,13.026,0.1,267.1,266.7,267.1,0.987,True
