onset_type,onset_time,pitch
no_change,1.429,60
no_change,1.714,63
no_change,2.286,65
no_change,2.571,67
no_change,3.0,68
no_change,3.143,67
no_change,3.429,65
no_change,4.0,62
no_change,4.286,58
no_change,4.714,60
no_change,4.857,62
no_change,5.143,63
no_change,5.714,60
no_change,6.0,60
no_change,6.429,59
no_change,6.571,60
no_change,6.857,62
no_change,7.429,59
no_change,7.714,55
no_change,8.286,60
no_change,8.571,63
no_change,9.143,65
early,9.429,67
no_change,9.739,68
no_change,9.882,67
no_change,10.168,65
no_change,10.739,62
no_change,11.025,58
no_change,11.453,60
no_change,11.596,62
no_change,11.882,63
no_change,12.311,62
no_change,12.453,60
no_change,12.739,59
no_change,13.168,57
no_change,13.311,59
no_change,13.596,60
no_change,14.168,60
no_change,14.453,60
