onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,292.70001220703125,292.9,292.7,0.9950000047683716,True
correct,0.441,0.441,0.0,260.6000061035156,260.8,260.6,0.9940000176429749,True
correct,0.859,0.859,0.0,251.1999969482422,247.6,251.2,0.8809999823570251,True
correct,1.3,1.3,0.0,218.8000030517578,218.8,218.8,1.0,True
correct,1.718,1.718,0.0,199.8000030517578,199.1,199.8,0.972000002861023,True
correct,2.16,2.16,0.0,184.60000610351562,184.6,184.6,1.0,True
correct,2.578,2.578,0.0,247.0,247.0,247.0,1.0,True
correct,3.855,3.855,0.0,329.70001220703125,329.7,329.7,1.0,True
correct,4.296,4.296,0.0,391.6000061035156,391.6,391.6,1.0,True
correct,4.714,4.714,0.0,494.0,494.0,494.0,1.0,True
correct,5.364,5.364,0.0,465.70001220703125,465.7,465.7,1.0,True
correct,5.573,5.573,0.0,493.79998779296875,493.9,493.8,0.9980000257492065,True
correct,5.782,5.782,0.0,522.7999877929688,522.9,522.8,0.9990000128746033,True
correct,6.014,6.014,0.0,494.3999938964844,493.8,494.4,0.9900000095367432,True
correct,6.641,6.641,0.0,469.20001220703125,480.7,469.2,0.8119999766349792,True
correct,6.85,6.873,-0.0,474.1000061035156,494.4,474.1,0.6959999799728394,True
correct,7.082,7.082,0.0,522.5,521.9,522.5,0.9900000095367432,True
correct,7.291,7.291,0.0,496.5,493.1,496.5,0.9409999847412109,True
correct,7.5,7.5,0.0,462.5,470.1,462.5,0.8700000047683716,True
correct,7.709,7.709,0.0,475.5,477.2,475.5,0.968999981880188,True
correct,7.941,7.941,0.0,522.7000122070312,522.1,522.7,0.9909999966621399,True
correct,8.15,8.15,0.0,494.70001220703125,493.7,494.7,0.9819999933242798,True
correct,8.359,8.359,0.0,329.29998779296875,329.3,329.3,1.0,True
correct,8.568,8.568,0.0,368.70001220703125,368.3,368.7,0.9900000095367432,True
correct,9.427,9.427,0.0,366.3999938964844,367.1,366.4,0.9829999804496765,True
correct,9.869,9.869,0.0,440.20001220703125,440.2,440.2,1.0,True
correct,10.496,10.496,0.0,415.0,415.2,415.0,0.9959999918937683,True
correct,10.728,10.728,0.0,440.20001220703125,440.2,440.2,1.0,True
correct,10.937,10.937,0.0,494.1000061035156,494.1,494.1,1.0,True
correct,11.146,11.146,0.0,440.1000061035156,440.1,440.1,1.0,True
correct,11.796,11.796,0.0,415.6000061035156,415.6,415.6,1.0,True
correct,12.005,12.005,0.0,440.0,440.2,440.0,0.996999979019165,True
correct,12.214,12.214,0.0,494.0,494.0,494.0,1.0,True
correct,12.423,12.423,0.0,439.8999938964844,439.9,439.9,0.9990000128746033,True
early,12.655,12.516,0.1,416.20001220703125,440.1,416.2,0.6179999709129333,True
early,12.864,12.655,0.2,439.20001220703125,415.9,439.2,0.6240000128746033,True
correct,13.073,12.864,0.2,493.70001220703125,441.6,493.7,0.38100001215934753,True
correct,13.282,13.073,0.2,440.0,493.8,440.0,0.36899998784065247,True
correct,13.514,13.282,0.2,369.6000061035156,440.0,369.6,0.0,True
correct,13.723,13.514,0.2,440.0,369.6,440.0,0.0,True
early,14.141,13.723,0.4,391.70001220703125,440.0,391.7,0.0,True
correct,14.582,14.141,0.4,391.3999938964844,391.4,391.4,1.0,True
correct,15.0,14.582,0.4,493.70001220703125,389.7,493.7,0.0,True
early,15.65,15.0,0.7,466.3999938964844,493.7,466.4,0.6119999885559082,True
late,15.859,15.65,0.2,493.5,465.8,493.5,0.6060000061988831,True
correct,16.068,15.859,0.2,508.3999938964844,495.8,508.4,0.8050000071525574,True
correct,16.301,16.068,0.2,494.1000061035156,510.0,494.1,0.7599999904632568,True
early,16.928,16.301,0.6,465.6000061035156,494.1,465.6,0.5979999899864197,True
late,17.137,16.928,0.2,493.29998779296875,465.6,493.3,0.6060000061988831,True
correct,17.369,17.137,0.2,523.5,493.5,523.5,0.5989999771118164,True
correct,17.578,17.369,0.2,493.79998779296875,523.5,493.8,0.6029999852180481,True
correct,17.787,17.578,0.2,465.8999938964844,494.1,465.9,0.6010000109672546,True
correct,17.996,17.787,0.2,493.5,465.8,493.5,0.6060000061988831,True
correct,18.228,17.996,0.2,523.5999755859375,494.2,523.6,0.6069999933242798,True
correct,18.437,18.228,0.2,494.1000061035156,523.6,494.1,0.6060000061988831,True
correct,18.646,18.437,0.2,329.79998779296875,494.1,329.8,0.0,True
correct,18.855,18.646,0.2,658.9000244140625,329.8,658.9,0.0,True
early,19.296,18.855,0.4,440.20001220703125,658.9,440.2,0.0,True
correct,19.714,19.296,0.4,440.20001220703125,440.2,440.2,0.9990000128746033,True
