onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,658.3,658.3,658.3,1.0,True
correct,0.256,0.256,0.0,369.6,369.6,369.6,1.0,True
correct,0.767,0.767,0.0,415.5,415.5,415.5,1.0,True
correct,1.254,1.254,0.0,553.9,553.9,553.9,1.0,True
correct,1.51,1.51,0.0,494.0,494.0,494.0,1.0,True
correct,1.765,1.765,0.0,293.2,293.2,293.2,1.0,True
correct,2.253,2.253,0.0,329.6,329.6,329.6,1.0,True
correct,2.764,2.764,0.0,494.1,494.0,494.1,1.0,True
early,3.019,2.88,0.1,440.0,440.1,440.0,0.998,True
correct,3.251,3.135,0.1,276.3,276.8,276.3,0.985,True
correct,3.762,3.646,0.1,329.2,329.9,329.2,0.981,True
correct,4.273,4.134,0.1,440.3,440.1,440.3,0.997,True
