onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,219.5,219.5,219.5,1.0,True
correct,0.302,0.302,0.0,293.2,293.2,293.2,1.0,True
correct,0.581,0.581,0.0,440.0,440.0,440.0,1.0,True
correct,1.184,1.184,0.0,391.2,391.2,391.2,1.0,True
correct,1.788,1.788,0.0,369.4,369.4,369.4,1.0,True
correct,2.09,2.09,0.0,329.8,329.8,329.8,1.0,True
correct,2.392,2.392,0.0,277.4,277.4,277.4,1.0,True
correct,4.482,4.482,0.0,277.2,277.2,277.2,1.0,True
correct,4.783,4.783,0.0,218.8,218.8,218.8,0.999,True
correct,5.085,5.085,0.0,276.7,276.7,276.7,1.0,True
correct,5.387,5.387,0.0,369.5,369.5,369.5,1.0,True
correct,5.991,5.991,0.0,329.8,329.8,329.8,1.0,True
correct,6.595,6.595,0.0,277.5,277.5,277.5,1.0,True
early,6.896,6.734,0.2,294.1,292.8,294.1,0.962,True
correct,7.198,7.036,0.2,369.6,369.6,369.6,1.0,True
late,9.288,9.149,0.1,293.0,293.2,293.0,0.994,True
correct,9.59,9.451,0.1,219.6,219.7,219.6,0.999,True
correct,9.892,9.752,0.1,293.2,293.2,293.2,1.0,True
correct,10.194,10.054,0.1,440.2,440.0,440.2,0.997,True
early,10.797,10.635,0.2,391.6,391.6,391.6,0.998,True
correct,11.401,11.239,0.2,369.6,369.6,369.6,1.0,True
correct,11.703,11.54,0.2,330.0,328.8,330.0,0.968,True
late,11.982,11.842,0.1,277.2,276.7,277.2,0.987,True
early,14.095,13.932,0.2,277.5,276.3,277.5,0.964,True
correct,14.396,14.234,0.2,219.4,219.6,219.4,0.991,True
correct,14.698,14.536,0.2,277.2,277.3,277.2,0.996,True
correct,15.0,14.838,0.2,369.6,369.6,369.6,1.0,True
correct,15.604,15.441,0.2,330.0,329.0,330.0,0.974,True
late,16.184,16.045,0.1,276.5,277.0,276.5,0.987,True
correct,16.486,16.347,0.1,280.5,293.2,280.5,0.683,True
early,18.901,18.739,0.2,369.6,369.6,369.6,1.0,True
late,20.085,19.946,0.1,439.7,439.9,439.7,0.996,True
correct,21.293,21.153,0.1,391.6,391.6,391.6,1.0,True
early,21.595,21.432,0.2,440.2,439.2,440.2,0.981,True
correct,21.896,21.734,0.2,391.5,391.6,391.5,0.997,True
correct,22.198,22.036,0.2,368.3,369.1,368.3,0.982,True
correct,22.5,22.338,0.2,329.5,329.7,329.5,0.995,True
late,23.684,23.545,0.1,276.5,277.0,276.5,0.987,True
correct,23.986,23.847,0.1,184.0,184.6,184.0,0.971,True
correct,24.288,24.149,0.1,164.5,164.2,164.5,0.989,True
correct,24.892,24.753,0.1,329.8,330.0,329.8,0.996,True
early,26.099,25.937,0.2,369.6,369.6,369.6,1.0,True
correct,26.401,26.239,0.2,391.2,391.4,391.2,0.996,True
correct,26.703,26.54,0.2,368.7,368.2,368.7,0.989,True
late,26.982,26.842,0.1,329.6,329.0,329.6,0.985,True
correct,27.284,27.144,0.1,293.0,292.8,293.0,0.994,True
correct,28.491,28.352,0.1,369.6,369.6,369.6,0.999,True
early,29.095,28.932,0.2,247.0,245.9,247.0,0.964,True
correct,29.698,29.536,0.2,439.9,440.1,439.9,0.997,True
late,30.883,30.743,0.1,391.7,391.6,391.7,0.998,True
correct,31.184,31.045,0.1,371.9,368.0,371.9,0.912,True
correct,31.486,31.347,0.1,378.6,391.6,378.6,0.747,True
correct,31.788,31.649,0.1,439.2,440.2,439.2,0.981,True
correct,32.09,31.951,0.1,493.9,494.1,493.9,0.996,True
early,33.297,33.135,0.2,439.9,440.1,439.9,0.997,True
correct,33.901,33.739,0.2,391.6,391.7,391.6,1.0,True
correct,34.203,34.041,0.2,368.7,369.3,368.7,0.985,True
late,34.482,34.342,0.1,391.2,381.4,391.2,0.802,True
correct,35.689,35.55,0.1,369.5,369.6,369.5,0.998,True
correct,35.991,35.852,0.1,381.1,391.6,381.1,0.792,True
correct,36.293,36.154,0.1,369.4,369.5,369.4,0.998,True
early,36.595,36.432,0.2,329.9,364.9,329.9,0.418,True
correct,36.897,36.734,0.2,293.2,293.1,293.2,0.995,True
late,38.081,37.941,0.1,493.9,493.7,493.9,0.996,True
correct,38.685,38.545,0.1,493.6,488.5,493.6,0.915,True
correct,39.288,39.149,0.1,486.2,494.1,486.2,0.87,True
correct,39.59,39.451,0.1,415.0,415.5,415.0,0.989,True
correct,39.892,39.753,0.1,658.9,658.8,658.9,0.999,True
