onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,587.2,587.2,587.2,1.0,True
correct,0.209,0.209,0.0,585.8,586.8,585.8,0.985,True
correct,0.418,0.418,0.0,585.4,589.5,585.4,0.942,True
correct,0.627,0.627,0.0,584.1,589.9,584.1,0.918,True
correct,1.254,1.254,0.0,586.9,586.9,586.9,1.0,True
correct,1.486,1.486,0.0,523.3,523.4,523.3,0.999,True
correct,1.904,1.904,0.0,465.7,465.8,465.7,0.998,True
correct,2.113,2.113,0.0,348.9,348.8,348.9,1.0,True
correct,2.949,2.949,0.0,465.7,465.7,465.7,1.0,True
correct,3.158,3.158,0.0,587.0,586.9,587.0,1.0,True
correct,3.576,3.576,0.0,581.9,582.6,581.9,0.989,True
correct,4.017,4.017,0.0,523.2,523.2,523.2,0.999,True
correct,4.226,4.226,0.0,465.7,465.9,465.7,0.997,True
correct,4.435,4.435,0.0,523.3,523.1,523.3,0.997,True
late,6.757,7.175,-0.4,465.8,465.7,465.8,0.999,True
correct,6.966,7.384,-0.4,622.2,622.1,622.2,0.999,True
correct,7.175,7.593,-0.4,615.0,614.6,615.0,0.994,True
correct,7.384,7.802,-0.4,614.3,624.4,614.3,0.868,True
correct,7.802,8.243,-0.4,698.1,698.5,698.1,0.995,True
correct,8.034,8.452,-0.4,587.3,587.3,587.3,0.999,True
correct,8.452,8.87,-0.4,523.2,523.2,523.2,1.0,True
correct,8.87,9.288,-0.4,465.7,465.9,465.7,0.997,True
correct,9.706,10.147,-0.4,465.6,465.8,465.6,0.997,True
correct,9.915,10.356,-0.4,586.8,587.3,586.8,0.993,True
correct,10.356,10.774,-0.4,587.0,588.0,587.0,0.986,True
correct,10.565,10.983,-0.4,523.3,523.0,523.3,0.995,True
correct,10.983,11.401,-0.4,465.7,465.6,465.7,0.998,True
correct,11.192,11.61,-0.4,587.1,587.0,587.1,0.998,True
