onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,587.2,587.2,587.2,1.0,True
correct,0.209,0.209,0.0,585.8,586.8,585.8,0.985,True
correct,0.418,0.418,0.0,585.4,589.5,585.4,0.942,True
correct,0.627,0.627,0.0,584.1,589.9,584.1,0.918,True
correct,1.254,1.254,0.0,586.9,586.9,586.9,1.0,True
correct,1.486,1.486,0.0,523.3,523.4,523.3,0.999,True
correct,1.904,1.904,0.0,465.7,465.8,465.7,0.998,True
correct,2.113,2.113,0.0,348.9,348.8,348.9,1.0,True
correct,2.949,2.949,0.0,465.7,465.7,465.7,1.0,True
correct,3.158,3.158,0.0,587.0,586.9,587.0,1.0,True
correct,3.576,3.576,0.0,581.9,582.6,581.9,0.989,True
correct,4.017,4.017,0.0,523.2,523.2,523.2,0.999,True
correct,4.226,4.226,0.0,465.7,465.9,465.7,0.997,True
correct,4.435,4.435,0.0,523.3,523.1,523.3,0.997,True
correct,6.757,6.757,0.0,465.8,465.7,465.8,0.999,True
early,6.966,6.873,0.1,622.2,622.3,622.2,0.999,True
correct,7.175,7.082,0.1,615.0,618.7,615.0,0.949,True
correct,7.384,7.291,0.1,614.3,623.5,614.3,0.88,True
correct,7.802,7.709,0.1,698.1,698.4,698.1,0.997,True
correct,8.034,7.918,0.1,587.3,587.1,587.3,0.997,True
correct,8.452,8.336,0.1,523.2,522.9,523.2,0.995,True
correct,8.87,8.777,0.1,465.7,465.8,465.7,0.997,True
correct,9.706,9.613,0.1,465.6,465.7,465.6,0.998,True
correct,9.915,9.822,0.1,586.8,587.0,586.8,0.996,True
correct,10.356,10.24,0.1,587.0,590.8,587.0,0.945,True
correct,10.565,10.449,0.1,523.3,522.1,523.3,0.98,True
correct,10.983,10.89,0.1,465.7,465.7,465.7,0.999,True
correct,11.192,11.099,0.1,587.1,587.2,587.1,0.998,True
