onset_type,onset_time,pitch
no_change,0.211,74
no_change,0.423,74
no_change,0.634,74
no_change,0.845,74
no_change,1.479,74
no_change,1.69,72
no_change,2.113,70
no_change,2.324,65
no_change,3.169,70
no_change,3.38,74
no_change,3.803,74
no_change,4.225,72
no_change,4.437,70
late,4.648,72
no_change,7.394,70
no_change,7.605,75
no_change,7.816,75
no_change,8.028,75
no_change,8.45,77
no_change,8.661,74
no_change,9.084,72
no_change,9.507,70
no_change,10.352,70
no_change,10.563,74
no_change,10.985,74
no_change,11.197,72
no_change,11.619,70
no_change,11.83,74
