onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,293.2,293.2,293.2,1.0,True
correct,0.232,0.232,0.0,329.8,329.8,329.8,1.0,True
correct,0.487,0.487,0.0,350.7,350.7,350.7,1.0,True
correct,0.998,0.998,0.0,293.2,293.2,293.2,1.0,True
correct,1.37,1.37,0.0,348.9,348.9,348.9,1.0,True
correct,1.486,1.486,0.0,391.6,391.6,391.6,1.0,True
correct,2.484,2.484,0.0,329.1,329.1,329.1,1.0,True
correct,2.995,2.995,0.0,261.1,261.1,261.1,1.0,True
correct,3.738,3.738,0.0,329.4,329.4,329.4,1.0,True
correct,3.993,3.993,0.0,350.9,350.9,350.9,1.0,True
correct,4.249,4.249,0.0,330.0,330.0,330.0,1.0,True
correct,4.481,4.481,0.0,292.7,292.7,292.7,1.0,True
correct,5.735,5.735,0.0,293.2,293.2,293.2,1.0,True
correct,5.99,5.99,0.0,329.0,329.1,329.0,1.0,True
correct,6.478,6.478,0.0,337.9,337.9,337.9,1.0,True
correct,6.989,6.989,0.0,293.2,293.2,293.2,1.0,True
correct,7.732,7.732,0.0,233.2,233.2,233.2,1.0,True
correct,8.498,8.498,0.0,234.1,234.1,234.1,1.0,True
correct,8.73,8.73,0.0,226.0,226.0,226.0,1.0,True
correct,8.986,8.986,0.0,232.8,232.8,232.8,1.0,True
correct,9.241,9.241,0.0,228.2,228.2,228.2,1.0,True
correct,9.497,9.497,0.0,233.4,233.4,233.4,1.0,True
correct,9.984,9.984,0.0,242.9,242.9,242.9,0.999,True
correct,10.495,10.495,0.0,232.8,232.8,232.8,1.0,True
correct,10.75,10.75,0.0,231.1,231.1,231.1,1.0,True
correct,11.238,11.238,0.0,231.0,231.0,231.0,1.0,True
correct,11.749,11.749,0.0,219.6,219.6,219.6,1.0,True
correct,12.492,12.492,0.0,219.6,219.6,219.6,1.0,True
correct,12.98,12.98,0.0,195.9,195.9,195.9,1.0,True
correct,13.49,13.49,0.0,219.4,219.4,219.4,1.0,True
correct,15.743,15.743,0.0,219.6,219.6,219.6,1.0,True
correct,15.998,15.998,0.0,219.4,219.4,219.4,1.0,True
correct,16.23,16.23,0.0,218.8,218.8,218.8,1.0,True
correct,16.486,16.486,0.0,219.6,219.6,219.6,1.0,True
correct,17.229,17.229,0.0,219.6,219.6,219.6,1.0,True
correct,17.484,17.484,0.0,218.9,218.9,218.9,1.0,True
correct,17.74,17.74,0.0,219.6,219.6,219.6,1.0,True
correct,17.995,17.995,0.0,219.3,219.3,219.3,1.0,True
correct,18.738,18.738,0.0,219.3,219.3,219.3,1.0,True
correct,19.249,19.249,0.0,261.1,261.1,261.1,1.0,True
correct,19.737,19.737,0.0,293.2,293.2,293.2,1.0,True
correct,20.48,20.48,0.0,292.8,292.8,292.8,1.0,True
correct,21.989,21.989,0.0,293.2,293.2,293.2,1.0,True
correct,22.5,22.5,0.0,219.6,219.6,219.6,1.0,True
correct,22.987,22.987,0.0,219.0,219.0,219.0,1.0,True
correct,23.243,23.243,0.0,261.1,261.1,261.1,1.0,True
correct,23.986,23.986,0.0,293.2,293.2,293.2,1.0,True
correct,24.497,24.497,0.0,293.2,293.2,293.2,1.0,True
correct,24.984,24.984,0.0,298.1,298.1,298.1,1.0,True
correct,25.24,25.24,0.0,293.2,293.2,293.2,1.0,True
correct,26.749,26.749,0.0,219.5,219.5,219.5,1.0,True
correct,27.237,27.237,0.0,261.2,261.2,261.2,1.0,True
correct,27.747,27.747,0.0,293.0,293.0,293.0,1.0,True
correct,28.491,28.491,0.0,293.1,293.1,293.1,1.0,True
correct,29.744,29.744,0.0,292.6,292.6,292.6,1.0,True
correct,29.977,29.977,0.0,391.6,391.6,391.6,1.0,True
correct,30.232,30.232,0.0,440.2,440.2,440.2,1.0,True
correct,30.487,30.487,0.0,329.3,329.3,329.3,1.0,True
correct,30.998,30.998,0.0,219.5,219.5,219.5,1.0,True
correct,31.23,31.23,0.0,261.3,261.3,261.3,1.0,True
correct,31.741,31.741,0.0,292.6,292.6,292.6,1.0,True
correct,32.484,32.484,0.0,290.0,290.0,290.0,1.0,True
correct,35.735,35.735,0.0,288.1,288.1,288.1,1.0,True
late,35.874,36.107,-0.2,293.1,292.6,293.1,0.984,True
late,35.991,36.246,-0.3,329.6,330.0,329.6,0.988,True
correct,36.107,36.362,-0.3,292.7,292.0,292.7,0.982,True
correct,36.734,36.989,-0.3,329.8,330.0,329.8,0.996,True
early,36.873,37.105,-0.2,329.8,323.4,329.8,0.844,True
late,36.989,37.244,-0.3,324.6,326.1,324.6,0.961,True
correct,37.105,37.361,-0.3,323.4,329.3,323.4,0.857,True
correct,37.732,37.987,-0.3,330.4,330.1,330.4,0.993,True
early,37.871,38.104,-0.2,326.7,328.0,326.7,0.966,True
late,37.987,38.243,-0.3,324.6,329.7,324.6,0.872,True
correct,38.104,38.359,-0.3,328.1,323.9,328.1,0.894,True
correct,38.731,38.986,-0.3,293.2,293.3,293.2,0.998,True
