onset_type,onset_time,pitch
no_change,0.0,64
no_change,0.214,66
no_change,0.429,64
no_change,0.643,62
no_change,0.857,59
no_change,3.643,57
no_change,3.857,59
no_change,4.286,62
no_change,7.071,62
no_change,7.286,66
no_change,7.714,69
no_change,9.429,62
no_change,9.643,66
no_change,10.286,66
no_change,10.5,69
no_change,11.143,64
no_change,13.714,64
no_change,13.929,66
no_change,14.143,64
no_change,14.357,62
no_change,14.571,59
no_change,18.0,50
no_change,18.0,55
no_change,18.0,62
no_change,19.286,59
no_change,19.286,62
no_change,19.5,61
no_change,19.5,64
no_change,20.143,62
no_change,20.143,66
no_change,20.786,62
no_change,21.0,66
no_change,21.429,66
no_change,23.143,64
no_change,24.214,66
no_change,24.429,64
no_change,24.857,62
no_change,30.857,66
no_change,31.286,64
no_change,31.5,62
no_change,31.714,59
no_change,34.286,71
no_change,35.143,69
no_change,37.714,57
early,37.929,59
no_change,38.036,62
no_change,38.25,66
no_change,38.464,64
no_change,39.75,57
no_change,39.964,59
no_change,40.179,62
no_change,41.036,62
no_change,41.464,61
no_change,41.893,59
no_change,43.179,61
no_change,43.393,62
no_change,43.607,71
no_change,44.464,66
no_change,44.77,66
no_change,45.016,69
no_change,45.198,68
no_change,45.322,67
no_change,47.036,69
no_change,47.25,71
no_change,47.464,74
no_change,47.679,76
no_change,47.786,74
no_change,47.893,71
no_change,48.0,69
no_change,48.107,71
no_change,48.214,69
no_change,48.322,65
no_change,48.429,65
no_change,48.536,66
no_change,48.75,62
no_change,51.536,57
no_change,51.75,59
no_change,51.964,57
no_change,52.179,66
no_change,53.893,64
no_change,55.607,62
no_change,57.107,62
no_change,57.536,57
no_change,57.964,57
no_change,58.179,64
no_change,58.393,62
no_change,62.036,45
no_change,62.464,50
no_change,68.464,52
no_change,68.679,54
no_change,68.893,52
no_change,69.107,50
no_change,69.322,47
no_change,71.893,52
no_change,72.107,54
no_change,72.322,52
no_change,72.536,50
no_change,72.75,47
no_change,76.607,57
no_change,76.822,62
no_change,77.25,57
no_change,77.679,66
no_change,78.107,64
no_change,80.036,57
no_change,80.25,62
no_change,80.679,57
no_change,81.107,66
no_change,81.536,62
no_change,83.464,57
no_change,83.679,62
no_change,84.107,57
no_change,84.536,66
no_change,84.964,64
no_change,86.893,57
no_change,87.107,62
no_change,87.536,57
no_change,87.964,66
no_change,88.393,62
no_change,89.893,45
