onset_type,ref_onset_time,live_onset_time,adjustment_ms,ref_pitch_hz,live_pitch_hz,pitch,pitch_similarity,is_matched
correct,0.0,0.0,0.0,658.9,658.9000244140625,658.9,1.0,True
correct,0.278,0.278,0.0,658.9,658.9000244140625,658.9,1.0,True
correct,0.557,0.557,0.0,523.3,523.2999877929688,523.3,1.0,True
correct,0.719,0.719,0.0,659.0,659.0,659.0,1.0,True
correct,0.998,0.998,0.0,784.3,784.2000122070312,784.3,1.0,True
late,1.578,2.136,-0.6,391.6,391.70001220703125,391.6,1.0,True
correct,2.136,2.716,-0.6,523.4,523.0999755859375,523.4,0.9950000047683716,True
correct,2.577,3.134,-0.6,391.6,391.20001220703125,391.6,0.9909999966621399,True
correct,2.995,3.575,-0.6,329.8,329.3999938964844,329.8,0.9900000095367432,True
correct,3.436,3.993,-0.6,440.0,439.6000061035156,440.0,0.9919999837875366,True
correct,3.715,4.295,-0.6,494.0,493.79998779296875,494.0,0.9959999918937683,True
correct,3.993,4.574,-0.6,465.6,465.70001220703125,465.6,0.9980000257492065,True
correct,4.133,4.713,-0.6,440.1,439.79998779296875,440.1,0.9940000176429749,True
correct,4.435,4.992,-0.6,391.6,391.6000061035156,391.6,1.0,True
correct,4.62,5.201,-0.6,658.9,658.7999877929688,658.9,0.9990000128746033,True
correct,4.806,5.387,-0.6,783.9,784.2999877929688,783.9,0.9959999918937683,True
correct,4.992,5.572,-0.6,880.3,880.0,880.3,0.9980000257492065,True
correct,5.27,5.851,-0.6,698.1,698.5,698.1,0.9940000176429749,True
correct,5.433,5.99,-0.6,784.0,783.7000122070312,784.0,0.9959999918937683,True
correct,5.712,6.292,-0.6,658.9,659.0,658.9,0.9990000128746033,True
correct,5.99,6.571,-0.6,522.9,523.4000244140625,522.9,0.9919999837875366,True
correct,6.13,6.71,-0.6,587.3,587.0,587.3,0.9950000047683716,True
correct,6.292,6.849,-0.6,493.9,493.5,493.9,0.9929999709129333,True
correct,6.71,7.291,-0.6,523.1,523.5,523.1,0.9929999709129333,True
correct,7.128,7.709,-0.6,391.1,391.6000061035156,391.1,0.9890000224113464,True
correct,7.569,8.15,-0.6,329.4,329.8999938964844,329.4,0.9860000014305115,True
correct,7.987,8.568,-0.6,439.5,440.1000061035156,439.5,0.9890000224113464,True
correct,8.289,8.87,-0.6,493.8,494.1000061035156,493.8,0.9950000047683716,True
correct,8.568,9.148,-0.6,465.7,465.70001220703125,465.7,1.0,True
correct,8.707,9.288,-0.6,439.7,440.20001220703125,439.7,0.9909999966621399,True
correct,8.986,9.566,-0.6,391.6,391.29998779296875,391.6,0.9940000176429749,True
correct,9.195,9.752,-0.6,658.8,658.9000244140625,658.8,0.9990000128746033,True
correct,9.38,9.961,-0.6,784.0,784.2999877929688,784.0,0.996999979019165,True
late,9.38,10.147,-0.8,784.0,880.2999877929688,784.0,0.0,True
late,9.38,10.425,-1.0,784.0,698.2999877929688,784.0,0.0,True
late,9.38,10.565,-1.2,784.0,784.0999755859375,784.0,0.9980000257492065,True
late,9.38,10.866,-1.5,784.0,659.0,784.0,0.0,True
late,9.38,11.145,-1.8,784.0,523.0999755859375,784.0,0.0,True
late,9.38,11.284,-1.9,784.0,587.0999755859375,784.0,0.0,True
late,9.38,11.424,-2.0,784.0,494.0,784.0,0.0,True
late,9.38,12.144,-2.8,784.0,784.2000122070312,784.0,0.9980000257492065,True
late,9.38,12.283,-2.9,784.0,740.2000122070312,784.0,0.6079999804496765,True
late,9.38,12.422,-3.0,784.0,698.2000122070312,784.0,0.0,True
late,9.38,12.585,-3.2,784.0,622.5999755859375,784.0,0.0,True
late,9.38,12.863,-3.5,784.0,658.9000244140625,784.0,0.0,True
late,9.566,13.142,-3.6,880.0,414.8999938964844,880.0,0.0,True
early,9.845,13.281,-3.4,698.5,439.6000061035156,698.5,0.0,True
correct,10.007,13.421,-3.4,784.1,523.2999877929688,784.1,0.0,True
correct,10.286,13.723,-3.4,658.9,440.20001220703125,658.9,0.0,True
early,10.565,13.862,-3.3,523.4,523.4000244140625,523.4,0.9990000128746033,True
correct,10.704,14.001,-3.3,587.3,587.0999755859375,587.3,0.996999979019165,True
late,10.866,14.419,-3.6,493.9,783.7000122070312,493.9,0.0,True
early,11.563,14.582,-3.0,783.8,740.2999877929688,783.8,0.6100000143051147,True
correct,11.702,14.721,-3.0,739.7,698.5999755859375,739.7,0.6100000143051147,True
correct,11.865,14.86,-3.0,698.7,622.2000122070312,698.7,0.0,True
late,12.004,15.139,-3.1,622.3,658.9000244140625,622.3,0.6100000143051147,True
correct,12.283,15.418,-3.1,658.9,1046.199951171875,658.9,0.0,True
late,12.562,15.719,-3.2,415.3,1046.199951171875,415.3,0.0,True
early,12.724,15.859,-3.1,440.0,1046.199951171875,440.0,0.0,True
late,12.863,16.718,-3.9,523.2,784.2000122070312,523.2,0.0,True
early,13.142,16.857,-3.7,439.8,739.9000244140625,439.8,0.0,True
correct,13.281,16.997,-3.7,523.0,698.5999755859375,523.0,0.0,True
correct,13.421,17.136,-3.7,587.4,622.4000244140625,587.4,0.6050000190734863,True
early,13.862,17.438,-3.6,784.3,658.9000244140625,784.3,0.0,True
late,14.001,17.716,-3.7,740.0,415.0,740.0,0.0,True
correct,14.14,17.856,-3.7,698.4,440.1000061035156,698.4,0.0,True
correct,14.28,17.995,-3.7,622.5,522.9000244140625,622.5,0.0,True
correct,14.558,18.297,-3.7,658.8,440.20001220703125,658.8,0.0,True
early,14.86,18.436,-3.6,1046.3,523.2000122070312,1046.3,0.0,True
early,15.139,18.576,-3.4,1046.2,587.4000244140625,1046.2,0.0,True
late,15.278,18.993,-3.7,1046.3,622.0,1046.3,0.0,True
early,16.137,19.435,-3.3,783.9,587.5,783.9,0.0,True
late,16.277,19.853,-3.6,740.2,523.4000244140625,740.2,0.0,True
late,16.416,21.292,-4.9,698.1,784.0,698.1,0.0,True
correct,16.579,21.432,-4.9,622.6,740.2999877929688,622.6,0.0,True
early,16.857,21.571,-4.7,658.9,698.5999755859375,658.9,0.6029999852180481,True
early,17.136,21.71,-4.6,415.3,622.0999755859375,415.3,0.0,True
late,17.275,21.989,-4.7,439.5,658.9000244140625,439.5,0.0,True
late,17.438,22.291,-4.9,523.5,415.3999938964844,523.5,0.0,True
early,17.716,22.43,-4.7,439.9,439.79998779296875,439.9,0.9980000257492065,True
correct,17.856,22.569,-4.7,523.4,523.0,523.4,0.9919999837875366,True
late,17.995,22.848,-4.9,587.1,440.0,587.1,0.0,True
early,18.413,23.011,-4.6,622.4,523.5,622.4,0.0,True
early,18.854,23.15,-4.3,587.2,587.4000244140625,587.2,0.9959999918937683,True
correct,19.272,23.568,-4.3,522.8,784.2000122070312,522.8,0.0,True
early,20.712,23.707,-3.0,784.2,739.7000122070312,784.2,0.6029999852180481,True
correct,20.851,23.87,-3.0,739.9,698.7000122070312,739.9,0.609000027179718,True
late,20.851,24.009,-3.2,739.9,622.5999755859375,739.9,0.0,True
late,20.99,24.288,-3.3,698.2,658.9000244140625,698.2,0.6050000190734863,True
early,21.432,24.566,-3.1,658.9,1046.199951171875,658.9,0.0,True
late,21.71,24.868,-3.2,415.0,1046.199951171875,415.0,0.0,True
correct,21.85,25.007,-3.2,440.1,1046.300048828125,440.1,0.0,True
late,21.989,25.867,-3.9,523.3,784.2999877929688,523.3,0.0,True
early,22.291,26.006,-3.7,440.2,740.2999877929688,440.2,0.0,True
correct,22.43,26.145,-3.7,523.1,698.4000244140625,523.1,0.0,True
correct,22.569,26.285,-3.7,587.1,622.5,587.1,0.6029999852180481,True
early,22.987,26.563,-3.6,783.7,658.7999877929688,783.7,0.0,True
late,22.987,26.865,-3.9,783.7,415.1000061035156,783.7,0.0,True
correct,23.15,27.004,-3.9,740.3,439.79998779296875,740.3,0.0,True
early,23.428,27.144,-3.7,622.2,523.4000244140625,622.2,0.0,True
correct,23.707,27.422,-3.7,658.9,439.5,658.9,0.0,True
early,23.986,27.585,-3.6,1046.2,523.5,1046.2,0.0,True
early,24.288,27.724,-3.4,1046.2,587.2000122070312,1046.2,0.0,True
late,24.288,28.142,-3.9,1046.2,622.2000122070312,1046.2,0.0,True
late,24.427,28.583,-4.2,1046.2,587.2999877929688,1046.2,0.0,True
early,25.286,29.001,-3.7,784.0,523.0999755859375,784.0,0.0,True
missing,25.425,,,739.9,,739.9,,False
missing,25.565,,,698.6,,698.6,,False
missing,25.704,,,622.0,,622.0,,False
missing,26.006,,,658.9,,658.9,,False
missing,26.285,,,415.4,,415.4,,False
missing,26.424,,,440.1,,440.1,,False
missing,26.563,,,522.9,,522.9,,False
missing,26.842,,,440.0,,440.0,,False
missing,27.004,,,523.2,,523.2,,False
missing,27.144,,,587.4,,587.4,,False
missing,27.562,,,622.4,,622.4,,False
missing,28.003,,,587.5,,587.5,,False
missing,28.421,,,523.4,,523.4,,False
