onset_type,onset_time,pitch
no_change,0.0,76
no_change,0.143,76
no_change,0.429,76
no_change,0.714,72
no_change,0.857,76
late,1.143,79
no_change,2.29,67
no_change,2.862,72
no_change,3.29,67
no_change,3.719,64
no_change,4.147,69
no_change,4.433,71
no_change,4.719,70
no_change,4.862,69
no_change,5.147,67
no_change,5.338,76
no_change,5.528,79
no_change,5.719,81
no_change,6.005,77
no_change,6.147,79
no_change,6.433,76
no_change,6.719,72
no_change,6.862,74
no_change,7.005,71
no_change,7.433,72
no_change,7.862,67
no_change,8.29,64
no_change,8.719,69
no_change,9.005,71
no_change,9.29,70
no_change,9.433,69
no_change,9.719,67
no_change,9.909,76
no_change,10.1,79
no_change,10.29,81
no_change,10.576,77
no_change,10.719,79
no_change,11.005,76
no_change,11.29,72
no_change,11.433,74
no_change,11.576,71
no_change,12.29,79
no_change,12.433,78
no_change,12.576,77
no_change,12.719,75
no_change,13.005,76
no_change,13.29,68
no_change,13.433,69
no_change,13.576,72
no_change,13.862,69
no_change,14.005,72
no_change,14.147,74
no_change,14.576,79
no_change,14.719,78
no_change,14.862,77
no_change,15.005,75
no_change,15.29,76
no_change,15.576,84
no_change,15.862,84
no_change,16.005,84
no_change,16.862,79
no_change,17.005,78
no_change,17.147,77
no_change,17.29,75
no_change,17.576,76
no_change,17.862,68
no_change,18.005,69
no_change,18.147,72
no_change,18.433,69
no_change,18.576,72
no_change,18.719,74
no_change,19.147,75
no_change,19.576,74
no_change,20.005,72
no_change,21.433,79
no_change,21.576,78
no_change,21.719,77
no_change,21.862,75
no_change,22.147,76
no_change,22.433,68
no_change,22.576,69
no_change,22.719,72
no_change,23.005,69
no_change,23.147,72
no_change,23.29,74
no_change,23.719,79
no_change,23.862,78
no_change,24.005,77
no_change,24.147,75
no_change,24.433,76
no_change,24.719,84
no_change,25.005,84
no_change,25.147,84
no_change,26.005,79
no_change,26.147,78
no_change,26.29,77
no_change,26.433,75
no_change,26.719,76
no_change,27.005,68
no_change,27.147,69
no_change,27.29,72
no_change,27.576,69
no_change,27.719,72
no_change,27.862,74
no_change,28.29,75
no_change,28.719,74
no_change,29.147,72
