onset_type,onset_time,pitch
no_change,0.001,76
no_change,0.342,48
no_change,0.514,77
no_change,0.599,79
late,0.685,52
no_change,0.924,72
no_change,1.027,71
no_change,1.37,71
no_change,1.627,77
no_change,1.712,72
no_change,2.055,71
no_change,2.404,43
no_change,2.789,76
no_change,3.131,48
no_change,3.303,77
no_change,3.388,79
no_change,3.474,72
no_change,3.816,71
no_change,4.159,74
no_change,4.501,72
no_change,4.57,77
no_change,4.64,76
no_change,4.709,77
no_change,4.778,76
no_change,4.847,71
no_change,5.197,43
no_change,5.572,77
no_change,5.914,60
no_change,6.086,79
no_change,6.171,77
no_change,6.257,76
no_change,6.599,76
no_change,6.949,81
no_change,7.292,60
no_change,7.463,83
no_change,7.548,84
no_change,7.634,79
no_change,7.976,79
no_change,8.319,79
no_change,8.49,77
no_change,8.661,77
no_change,8.833,74
no_change,9.004,77
no_change,9.175,76
no_change,9.346,76
no_change,9.518,72
no_change,9.689,73
no_change,9.86,74
no_change,10.032,76
no_change,10.204,74
no_change,10.377,72
no_change,10.551,71
no_change,10.726,69
no_change,10.901,67
no_change,11.087,76
no_change,11.259,40
no_change,11.43,43
no_change,11.601,77
no_change,11.687,79
no_change,11.772,72
no_change,11.943,52
no_change,12.115,71
no_change,12.286,55
no_change,12.457,71
no_change,12.628,52
no_change,12.714,77
no_change,12.8,72
no_change,12.971,60
no_change,13.142,71
no_change,13.315,47
no_change,13.488,50
no_change,13.671,55
no_change,13.854,76
no_change,14.025,40
no_change,14.197,43
no_change,14.368,77
no_change,14.453,79
no_change,14.539,72
no_change,14.71,52
no_change,14.881,71
no_change,15.053,55
no_change,15.224,74
no_change,15.395,52
no_change,15.566,72
no_change,15.636,77
no_change,15.705,76
no_change,15.739,60
no_change,15.774,77
no_change,15.843,76
no_change,15.913,71
no_change,16.086,47
no_change,16.259,50
no_change,16.432,55
no_change,16.624,77
no_change,16.795,60
no_change,16.966,57
no_change,17.138,79
no_change,17.223,77
no_change,17.309,76
no_change,17.48,60
no_change,17.651,76
no_change,17.826,60
no_change,18.001,81
no_change,18.172,60
no_change,18.344,53
no_change,18.515,83
no_change,18.601,84
no_change,18.686,79
no_change,18.857,60
no_change,19.029,79
no_change,19.2,60
no_change,19.371,80
no_change,19.545,81
no_change,19.719,77
no_change,19.89,74
no_change,20.062,72
no_change,20.421,71
no_change,20.801,72
no_change,20.917,67
no_change,21.033,76
no_change,21.149,72
no_change,21.265,79
no_change,21.381,76
no_change,21.497,84
no_change,21.611,83
no_change,21.725,81
no_change,21.839,79
no_change,21.953,77
no_change,22.068,76
no_change,22.182,73
no_change,22.298,74
no_change,22.415,77
no_change,22.532,81
no_change,22.645,77
no_change,22.759,74
no_change,22.873,79
no_change,22.986,76
no_change,23.1,72
no_change,23.214,77
no_change,23.33,74
no_change,23.445,71
no_change,23.584,72
no_change,23.701,67
no_change,23.817,76
no_change,23.933,72
no_change,24.049,79
no_change,24.166,76
no_change,24.282,84
no_change,24.396,83
no_change,24.51,81
no_change,24.624,79
no_change,24.739,77
no_change,24.853,76
no_change,24.967,73
no_change,25.084,74
no_change,25.2,77
no_change,25.317,81
no_change,25.43,77
no_change,25.543,74
no_change,25.656,79
no_change,25.769,76
no_change,25.882,72
no_change,25.995,77
no_change,26.111,74
no_change,26.226,71
no_change,26.341,72
no_change,26.721,67
no_change,27.162,60
no_change,28.12,76
no_change,28.295,67
no_change,28.469,66
no_change,28.644,67
no_change,28.818,77
no_change,28.905,76
no_change,28.992,74
no_change,29.079,76
no_change,29.165,79
no_change,29.337,77
no_change,29.507,76
no_change,29.678,74
no_change,29.848,72
no_change,30.018,71
no_change,30.21,72
no_change,30.391,67
no_change,30.57,73
no_change,30.747,67
no_change,30.923,74
no_change,31.097,67
no_change,31.269,75
no_change,31.44,67
no_change,31.61,76
no_change,31.781,67
no_change,31.961,79
no_change,32.134,77
no_change,32.308,76
no_change,32.481,67
no_change,32.654,66
no_change,32.83,77
no_change,32.917,76
no_change,33.003,74
no_change,33.177,67
no_change,33.35,66
no_change,33.53,67
no_change,33.711,77
no_change,33.882,67
no_change,34.054,66
no_change,34.225,67
no_change,34.41,79
no_change,34.494,77
no_change,34.579,76
no_change,34.663,77
no_change,34.747,81
no_change,34.916,79
no_change,35.084,77
no_change,35.253,76
no_change,35.421,74
no_change,35.59,72
no_change,35.768,71
no_change,35.939,72
no_change,36.11,74
no_change,36.281,76
no_change,36.453,77
no_change,36.623,79
no_change,36.794,81
no_change,36.965,83
no_change,37.137,84
no_change,37.309,86
no_change,37.482,88
no_change,37.655,89
no_change,37.855,87
no_change,38.034,67
no_change,38.212,65
no_change,38.391,67
no_change,38.57,88
no_change,38.749,67
no_change,38.927,64
no_change,39.117,67
no_change,39.328,76
no_change,39.447,64
no_change,39.566,67
no_change,39.684,72
no_change,39.798,81
no_change,39.912,84
no_change,40.025,88
no_change,40.139,84
no_change,40.253,81
no_change,40.366,84
no_change,40.48,81
no_change,40.595,76
no_change,40.71,74
no_change,40.828,62
no_change,40.947,67
no_change,41.066,71
no_change,41.179,79
no_change,41.293,83
no_change,41.407,86
no_change,41.52,83
no_change,41.634,79
no_change,41.748,83
no_change,41.861,79
no_change,41.975,74
no_change,42.096,54
no_change,42.21,74
no_change,42.323,81
no_change,42.437,84
no_change,42.551,81
no_change,42.665,74
no_change,42.789,55
no_change,42.903,74
no_change,43.017,79
no_change,43.131,83
no_change,43.244,79
no_change,43.378,74
no_change,43.511,81
no_change,43.685,62
no_change,43.771,78
no_change,43.858,74
no_change,44.032,62
no_change,44.206,61
no_change,44.379,62
no_change,44.553,60
no_change,44.732,62
no_change,44.831,67
no_change,44.929,79
no_change,45.1,62
no_change,45.27,55
no_change,45.441,62
no_change,45.612,59
no_change,45.782,78
no_change,45.953,76
no_change,46.123,74
no_change,46.294,74
no_change,46.464,72
no_change,46.635,71
no_change,46.805,69
no_change,46.976,74
no_change,47.144,62
no_change,47.313,72
no_change,47.482,62
no_change,47.687,70
no_change,47.86,62
no_change,48.032,71
no_change,48.205,62
no_change,48.378,61
no_change,48.548,62
no_change,48.719,64
no_change,48.889,62
no_change,49.06,60
no_change,49.23,62
no_change,49.401,59
no_change,49.571,62
no_change,49.742,60
no_change,49.912,62
no_change,50.083,57
no_change,50.254,62
no_change,50.354,67
no_change,50.454,79
no_change,50.624,62
no_change,50.795,55
no_change,50.965,62
no_change,51.135,59
no_change,51.306,78
no_change,51.476,76
no_change,51.647,74
no_change,51.817,74
no_change,51.988,72
no_change,52.158,71
no_change,52.329,69
no_change,52.499,74
no_change,52.672,62
no_change,52.844,72
no_change,53.017,62
no_change,53.209,71
no_change,53.38,62
no_change,53.55,59
no_change,53.721,62
no_change,53.891,76
no_change,53.977,78
no_change,54.062,76
no_change,54.147,78
no_change,54.233,79
no_change,54.403,79
no_change,54.574,79
no_change,54.744,62
no_change,54.915,59
no_change,55.085,62
no_change,55.28,81
no_change,55.365,83
no_change,55.451,81
no_change,55.536,83
no_change,55.621,84
no_change,55.792,84
no_change,55.962,84
no_change,56.133,60
no_change,56.303,55
no_change,56.473,60
no_change,56.653,84
no_change,56.738,86
no_change,56.823,84
no_change,56.908,86
no_change,56.994,88
no_change,57.164,88
no_change,57.335,88
no_change,57.505,86
no_change,57.676,84
no_change,57.846,83
no_change,58.017,81
no_change,58.185,60
no_change,58.354,86
no_change,58.523,60
no_change,58.723,84
no_change,58.896,62
no_change,59.07,83
no_change,59.244,62
no_change,59.431,76
no_change,59.516,78
no_change,59.602,76
no_change,59.687,78
no_change,59.772,79
no_change,59.943,79
no_change,60.113,79
no_change,60.284,62
no_change,60.454,59
no_change,60.625,62
no_change,60.812,81
no_change,60.898,83
no_change,60.983,81
no_change,61.068,83
no_change,61.153,84
no_change,61.324,84
no_change,61.494,84
no_change,61.665,60
no_change,61.835,55
no_change,62.006,60
no_change,62.185,84
no_change,62.27,86
no_change,62.355,84
no_change,62.441,86
no_change,62.526,88
no_change,62.697,88
no_change,62.867,88
no_change,63.038,86
no_change,63.208,84
no_change,63.379,83
no_change,63.549,83
no_change,63.72,81
no_change,63.89,79
no_change,64.061,78
no_change,64.266,86
no_change,64.614,55
no_change,64.729,83
no_change,64.845,79
no_change,64.961,78
no_change,65.077,81
no_change,65.193,74
no_change,65.308,79
no_change,65.424,83
no_change,65.547,74
no_change,65.677,81
no_change,66.024,50
no_change,66.139,78
no_change,66.255,74
no_change,66.373,73
no_change,66.491,74
no_change,66.611,69
no_change,66.731,72
