mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,3494,3549,2978,242,274,0,55,558,155.00,156.00,1.00
tempo,faster_tempo,3518,3487,2932,267,288,31,0,385,155.00,188.00,33.00
tempo,a_lot_faster_tempo,3739,3376,2651,412,313,363,0,403,155.00,156.00,1.00
tempo,slower_tempo,3544,3546,3081,228,235,0,2,648,155.00,234.00,79.00
tempo,a_lot_slower_tempo,3598,3191,2569,353,269,407,0,385,155.00,156.00,1.00
progressive_tempo,accelerando,4049,3349,2626,507,216,700,0,369,155.00,156.00,1.00
progressive_tempo,ritardando,3538,4099,2795,191,552,0,561,427,155.00,170.00,15.00
progressive_tempo,tempo_fluctuation,4085,3238,1913,888,437,847,0,346,155.00,156.00,1.00
timing,note_too_soon,3494,3548,2976,252,266,0,54,537,155.00,156.00,1.00
timing,note_too_late,3494,3548,2976,252,266,0,54,537,155.00,156.00,1.00
duration,note_held_too_long,3494,3549,2978,242,274,0,55,558,155.00,156.00,1.00
duration,note_cut_too_soon,3494,3549,2978,242,274,0,55,558,155.00,156.00,1.00
note,note_missing,3494,3548,2977,245,272,0,54,556,155.00,156.00,1.00
note,note_not_expected,3496,3551,2980,242,274,0,55,557,155.00,156.00,1.00
articulation,articulated_legato,3494,3547,2983,236,275,0,53,565,155.00,156.00,1.00
articulation,articulated_staccato,3524,3584,2973,258,293,0,60,538,155.00,156.00,1.00
articulation,articulated_accentuated,3494,3549,2978,242,274,0,55,558,155.00,156.00,1.00
