onset_type,onset_time,pitch
no_change,13.664,47
no_change,13.666,59
no_change,13.961,54
no_change,14.2,61
no_change,14.434,54
no_change,14.65,47
no_change,14.657,62
no_change,14.866,54
no_change,15.132,47
no_change,15.136,61
no_change,15.391,55
no_change,15.875,55
no_change,16.111,47
no_change,16.12,62
no_change,16.334,55
no_change,16.552,49
no_change,16.557,64
no_change,16.791,55
no_change,17.005,50
no_change,17.007,62
no_change,17.218,52
no_change,17.452,54
no_change,17.457,61
no_change,17.668,58
no_change,17.836,47
no_change,18.032,62
no_change,18.423,59
no_change,18.643,54
no_change,18.843,52
no_change,18.85,61
no_change,19.1,59
no_change,19.102,50
no_change,19.573,59
no_change,19.577,45
no_change,19.827,54
no_change,20.055,61
no_change,20.245,54
no_change,20.486,45
no_change,20.693,54
no_change,20.891,43
no_change,21.03,61
no_change,21.389,53
no_change,21.616,59
no_change,21.814,62
no_change,22.009,52
no_change,22.036,43
no_change,22.041,61
no_change,22.266,59
no_change,22.484,42
no_change,22.486,64
no_change,22.725,55
no_change,22.957,54
no_change,22.961,62
no_change,23.173,59
no_change,23.42,42
no_change,23.423,52
no_change,23.661,58
no_change,23.964,59
no_change,23.989,47
no_change,24.348,50
no_change,24.577,52
no_change,24.816,54
no_change,25.032,47
no_change,25.039,55
no_change,25.28,52
no_change,25.627,47
no_change,26.614,62
no_change,26.852,64
no_change,27.08,50
no_change,27.082,57
no_change,27.089,66
no_change,27.334,62
no_change,27.548,57
no_change,27.55,66
no_change,27.77,62
no_change,28.002,50
no_change,28.005,58
no_change,28.009,64
no_change,28.234,62
no_change,28.489,50
no_change,28.491,59
no_change,28.83,55
no_change,29.055,59
no_change,29.266,55
no_change,29.484,62
no_change,29.711,64
no_change,29.941,50
no_change,29.943,57
no_change,29.95,66
no_change,30.168,62
no_change,30.391,67
no_change,30.634,66
no_change,30.868,50
no_change,30.873,64
no_change,31.043,65
no_change,31.093,62
no_change,31.364,50
no_change,31.366,59
no_change,31.718,55
no_change,31.93,59
no_change,32.139,55
no_change,32.368,62
no_change,32.598,61
no_change,32.83,43
no_change,32.836,59
no_change,33.055,50
no_change,33.286,43
no_change,33.5,50
no_change,33.752,43
no_change,33.757,61
no_change,34.227,43
no_change,34.577,49
no_change,34.766,52
no_change,34.957,49
no_change,35.214,40
no_change,35.218,55
no_change,35.732,43
no_change,36.077,49
no_change,36.27,52
no_change,36.482,49
no_change,36.761,40
no_change,37.302,61
no_change,37.32,43
no_change,37.641,49
no_change,37.866,52
no_change,38.068,49
no_change,38.286,52
no_change,38.489,49
no_change,38.673,42
no_change,38.923,58
no_change,39.28,49
no_change,39.532,52
no_change,39.798,49
no_change,40.057,52
no_change,40.373,49
no_change,40.77,47
no_change,40.777,59
no_change,41.025,54
no_change,41.257,61
no_change,41.477,54
no_change,41.723,47
no_change,41.73,62
no_change,41.948,54
no_change,42.195,47
no_change,42.2,61
no_change,42.47,55
no_change,42.968,55
no_change,43.195,47
no_change,43.198,62
no_change,43.416,55
no_change,43.645,49
no_change,43.652,64
no_change,43.873,55
no_change,44.093,50
no_change,44.098,62
no_change,44.316,52
no_change,44.545,54
no_change,44.548,61
no_change,44.766,58
no_change,44.927,47
no_change,45.114,62
no_change,45.489,59
no_change,45.714,54
no_change,45.914,52
no_change,45.916,61
no_change,46.182,50
no_change,46.686,45
no_change,46.925,54
no_change,47.157,61
no_change,47.368,54
no_change,47.6,45
no_change,47.602,62
no_change,47.816,54
no_change,48.032,43
no_change,48.18,61
no_change,48.516,53
no_change,48.743,59
no_change,48.945,62
no_change,49.134,52
no_change,49.166,43
no_change,49.17,61
no_change,49.402,59
no_change,49.609,42
no_change,49.614,64
no_change,49.873,55
no_change,50.105,54
no_change,50.111,62
no_change,50.334,59
no_change,50.557,42
no_change,50.559,61
no_change,50.795,58
no_change,50.968,47
no_change,51.077,52
no_change,51.164,58
no_change,51.3,61
no_change,51.661,55
no_change,51.893,54
no_change,52.132,52
no_change,52.384,50
no_change,52.677,49
no_change,53.002,50
no_change,53.116,47
no_change,55.457,59
no_change,56.148,59
no_change,56.15,66
no_change,56.368,68
no_change,56.564,66
no_change,56.718,64
no_change,56.911,63
no_change,57.075,61
no_change,57.252,63
no_change,57.255,59
no_change,57.434,64
no_change,57.611,66
no_change,57.759,67
no_change,57.966,69
no_change,58.091,67
no_change,58.273,66
no_change,58.298,59
no_change,58.325,68
no_change,58.409,66
no_change,60.225,44
no_change,60.227,66
no_change,60.836,44
no_change,61.384,44
no_change,61.389,64
no_change,61.391,61
