onset_type,onset_time,pitch
no_change,0.07,60
no_change,0.13,64
no_change,0.525,64
no_change,0.9,64
no_change,1.298,64
articulation,1.691,62
no_change,1.861,60
no_change,2.057,62
no_change,2.427,59
no_change,2.811,60
no_change,3.252,57
no_change,3.655,57
no_change,4.068,57
no_change,4.466,57
no_change,4.468,59
no_change,4.855,55
no_change,5.05,53
no_change,5.245,55
no_change,5.248,64
no_change,5.623,52
no_change,6.027,64
no_change,6.03,53
no_change,6.466,69
no_change,6.839,69
no_change,6.841,53
no_change,7.25,69
no_change,7.616,69
no_change,7.618,52
no_change,7.62,60
no_change,8.025,67
no_change,8.182,65
no_change,8.393,52
no_change,8.398,59
no_change,8.789,64
no_change,9.177,65
no_change,9.18,57
no_change,9.566,45
no_change,9.966,50
no_change,10.2,60
no_change,10.368,59
no_change,10.584,60
no_change,10.666,62
no_change,10.766,50
no_change,10.768,56
no_change,11.191,64
no_change,11.593,57
no_change,11.595,48
no_change,12.007,64
no_change,12.33,53
no_change,12.377,64
no_change,12.38,47
no_change,12.789,62
no_change,12.939,60
no_change,13.155,62
no_change,13.157,52
no_change,13.573,59
no_change,13.916,57
no_change,13.932,45
no_change,14.33,55
no_change,14.498,53
no_change,14.752,72
no_change,14.755,64
no_change,14.759,55
no_change,15.164,52
no_change,15.564,53
no_change,15.961,71
no_change,16.15,69
no_change,16.336,71
no_change,16.511,68
no_change,16.705,69
no_change,17.08,62
no_change,17.568,65
no_change,17.748,64
no_change,17.925,62
no_change,18.123,60
no_change,18.318,69
no_change,18.525,59
no_change,18.702,57
no_change,18.886,40
no_change,19.1,59
no_change,19.302,63
no_change,19.486,66
no_change,19.675,67
no_change,19.877,71
no_change,20.052,64
no_change,20.255,62
no_change,20.457,45
no_change,20.614,64
no_change,20.845,67
no_change,21.005,70
no_change,21.232,69
no_change,21.439,67
no_change,21.6,65
no_change,21.782,64
no_change,22.0,50
no_change,22.002,65
no_change,22.193,57
no_change,22.393,62
no_change,22.586,64
no_change,22.784,65
