onset_type,onset_time,pitch
no_change,2.641,40
no_change,3.023,64
no_change,3.027,61
no_change,3.03,56
no_change,3.357,59
articulation,3.652,47
no_change,3.998,56
no_change,4.002,61
no_change,4.3,59
no_change,4.598,40
no_change,4.936,56
no_change,5.259,59
no_change,5.62,47
no_change,6.098,59
no_change,6.602,59
no_change,7.066,40
no_change,7.25,64
no_change,7.898,56
no_change,7.9,64
no_change,7.902,61
no_change,8.255,64
no_change,8.257,56
no_change,8.582,47
no_change,8.67,57
no_change,8.716,63
no_change,8.793,66
no_change,9.118,61
no_change,9.12,64
no_change,9.402,66
no_change,9.407,63
no_change,9.655,40
no_change,9.748,64
no_change,9.814,68
no_change,10.202,63
no_change,10.207,71
no_change,10.605,61
no_change,10.916,59
no_change,11.261,59
no_change,11.266,68
no_change,11.268,64
no_change,11.616,71
no_change,11.618,59
no_change,11.62,64
no_change,11.973,58
no_change,12.057,64
no_change,12.107,67
no_change,12.2,73
no_change,12.593,58
no_change,12.595,67
no_change,12.598,73
no_change,12.602,64
no_change,12.893,71
no_change,12.895,59
no_change,13.202,54
no_change,13.289,63
no_change,13.355,69
no_change,13.441,75
no_change,13.78,73
no_change,14.064,53
no_change,14.066,62
no_change,14.068,71
no_change,14.38,61
no_change,14.389,54
no_change,14.398,69
no_change,14.725,68
no_change,14.727,56
no_change,15.057,57
no_change,15.157,61
no_change,15.223,66
no_change,15.691,57
no_change,16.391,56
no_change,16.398,61
no_change,16.405,64
no_change,17.53,54
no_change,17.532,63
no_change,17.534,61
no_change,17.914,54
no_change,17.916,63
no_change,17.918,61
no_change,18.218,64
no_change,18.22,52
no_change,18.502,51
no_change,18.505,57
no_change,18.507,61
no_change,18.777,66
no_change,18.782,50
no_change,19.073,49
no_change,19.082,65
no_change,19.084,59
no_change,19.38,42
no_change,19.502,61
no_change,19.509,69
no_change,19.836,57
no_change,19.852,66
no_change,20.298,63
no_change,20.3,71
no_change,21.386,54
no_change,21.391,61
no_change,21.393,69
no_change,22.57,47
no_change,22.593,63
no_change,22.595,71
no_change,22.943,63
no_change,23.186,59
no_change,23.232,66
no_change,23.509,63
no_change,23.511,71
no_change,23.795,63
no_change,24.077,69
no_change,24.08,61
no_change,24.352,40
no_change,24.366,59
no_change,24.634,56
no_change,24.652,64
no_change,24.657,61
no_change,24.907,59
no_change,25.225,47
no_change,25.682,59
no_change,26.134,59
no_change,26.605,40
no_change,26.782,64
no_change,27.405,64
no_change,27.414,56
no_change,27.723,64
no_change,27.725,56
no_change,28.039,47
no_change,28.143,57
no_change,28.166,63
no_change,28.257,66
no_change,28.568,64
no_change,28.57,61
no_change,28.855,66
no_change,28.857,63
no_change,29.102,40
no_change,29.182,64
no_change,29.293,68
no_change,29.67,63
no_change,29.673,71
no_change,30.075,61
no_change,30.37,59
no_change,30.705,59
no_change,30.707,71
no_change,30.709,68
no_change,30.711,64
no_change,31.055,59
no_change,31.395,58
no_change,31.477,64
no_change,31.511,67
no_change,31.591,73
no_change,32.0,58
no_change,32.007,64
no_change,32.291,71
no_change,32.293,59
no_change,32.627,54
no_change,32.716,63
no_change,32.784,69
no_change,32.873,75
no_change,33.236,73
no_change,33.511,53
no_change,33.516,62
no_change,33.52,71
no_change,33.825,61
no_change,33.836,54
no_change,33.843,69
no_change,34.161,56
no_change,34.47,57
no_change,34.575,61
no_change,34.648,66
no_change,35.095,57
no_change,35.798,56
no_change,35.805,61
no_change,36.866,54
no_change,36.875,61
no_change,37.248,54
no_change,37.25,61
no_change,37.539,64
no_change,37.543,52
no_change,37.823,51
no_change,37.825,57
no_change,38.091,50
no_change,38.386,49
no_change,38.391,65
no_change,38.393,59
no_change,38.666,42
no_change,38.802,61
no_change,38.823,69
no_change,39.152,57
no_change,39.175,66
no_change,39.639,63
no_change,39.645,71
no_change,40.861,54
no_change,40.868,61
no_change,40.87,69
no_change,41.957,47
no_change,41.975,63
no_change,41.977,71
no_change,42.357,63
no_change,42.598,59
no_change,42.625,66
no_change,42.898,63
no_change,42.9,71
no_change,43.184,63
no_change,43.186,71
no_change,43.452,61
no_change,43.714,40
no_change,43.72,59
no_change,43.725,68
no_change,44.002,56
no_change,44.018,64
no_change,44.025,61
no_change,44.314,59
no_change,44.598,47
no_change,44.998,59
no_change,45.418,59
no_change,45.868,61
no_change,45.945,64
no_change,46.005,68
no_change,46.309,61
no_change,46.593,59
no_change,46.814,54
no_change,46.909,63
no_change,46.984,69
no_change,47.325,61
no_change,47.757,53
no_change,47.761,59
no_change,47.764,62
no_change,48.33,54
no_change,48.423,57
no_change,48.507,61
no_change,50.248,47
no_change,50.25,57
no_change,50.639,61
no_change,50.643,51
no_change,50.902,59
no_change,51.218,42
no_change,51.527,51
no_change,51.53,57
no_change,51.841,59
no_change,52.2,47
no_change,52.614,59
no_change,52.616,71
no_change,52.62,68
no_change,52.966,71
no_change,52.97,68
no_change,52.973,59
no_change,53.311,58
no_change,53.402,64
no_change,53.445,67
no_change,53.523,73
no_change,53.941,58
no_change,53.948,67
no_change,53.95,64
no_change,54.248,71
no_change,54.261,59
no_change,54.58,54
no_change,54.661,63
no_change,54.718,69
no_change,54.795,75
no_change,55.114,73
no_change,55.402,53
no_change,55.407,62
no_change,55.411,71
no_change,55.73,61
no_change,55.743,54
no_change,55.745,69
no_change,56.082,56
no_change,56.105,61
no_change,56.416,57
no_change,56.491,61
no_change,56.584,66
no_change,57.805,56
no_change,57.809,61
no_change,59.086,54
no_change,59.093,61
no_change,59.482,54
no_change,59.489,61
no_change,59.784,61
no_change,59.793,64
no_change,59.802,52
no_change,60.086,51
no_change,60.089,66
no_change,60.091,57
no_change,60.35,66
no_change,60.352,50
no_change,60.614,49
no_change,60.623,59
no_change,60.627,68
no_change,60.925,42
no_change,61.057,61
no_change,61.127,69
no_change,61.423,57
no_change,61.443,66
no_change,61.982,71
no_change,63.398,69
no_change,63.4,73
no_change,64.934,47
no_change,64.936,71
no_change,64.939,63
no_change,65.323,63
no_change,65.325,71
no_change,65.607,57
no_change,65.611,66
no_change,65.868,63
no_change,66.139,63
no_change,66.141,71
no_change,66.416,69
no_change,66.418,61
no_change,66.68,59
no_change,66.682,40
no_change,66.684,68
no_change,66.941,56
no_change,66.959,64
no_change,66.966,61
no_change,67.245,59
no_change,67.559,47
no_change,67.857,64
no_change,67.895,61
no_change,67.898,56
no_change,68.193,59
no_change,68.548,40
no_change,69.364,52
no_change,69.584,68
no_change,69.782,76
