mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,216,191,87,65,39,25,0,30,120.00,117.00,3.00
progressive_tempo,ritardando,190,229,83,35,72,0,39,20,120.00,156.00,36.00
progressive_tempo,tempo_fluctuation,224,402,94,17,113,0,178,25,120.00,208.00,88.00
duration,note_held_too_long,184,184,183,1,0,0,0,152,120.00,188.00,68.00
duration,note_cut_too_soon,184,184,183,1,0,0,0,154,120.00,188.00,68.00
note,note_missing,183,183,183,0,0,0,0,154,120.00,188.00,68.00
note,note_not_expected,183,184,150,10,23,0,1,68,120.00,188.00,68.00
articulation,articulated_legato,183,183,183,0,0,0,0,154,120.00,188.00,68.00
articulation,articulated_staccato,192,194,130,27,35,0,2,35,120.00,188.00,68.00
articulation,articulated_accentuated,183,183,183,0,0,0,0,155,120.00,188.00,68.00
