onset_type,onset_time,pitch
no_change,3.002,42
no_change,3.243,44
no_change,3.284,45
no_change,3.366,57
no_change,3.436,52
no_change,3.507,57
no_change,3.575,45
no_change,3.598,57
no_change,3.641,52
no_change,3.982,57
no_change,3.986,61
no_change,4.207,47
no_change,4.47,54
no_change,4.734,50
no_change,4.998,54
no_change,5.223,47
no_change,5.486,54
no_change,5.68,50
no_change,5.95,62
no_change,5.952,54
no_change,6.148,49
no_change,6.361,56
no_change,6.395,59
no_change,6.575,53
no_change,6.789,56
no_change,6.795,59
no_change,7.002,49
no_change,7.18,59
no_change,7.227,56
no_change,7.375,53
no_change,7.589,56
no_change,7.918,42
no_change,8.166,49
no_change,8.305,54
no_change,8.498,57
no_change,8.693,61
no_change,8.943,42
no_change,9.152,44
no_change,9.373,45
no_change,9.58,61
no_change,9.6,57
no_change,9.816,52
no_change,10.036,57
no_change,10.268,45
no_change,10.48,57
no_change,10.78,52
no_change,10.991,57
no_change,11.202,47
no_change,11.418,54
no_change,11.634,50
no_change,11.852,54
no_change,12.039,47
no_change,12.234,54
no_change,12.45,50
no_change,12.643,62
no_change,12.645,54
no_change,12.82,49
no_change,13.009,59
no_change,13.2,56
no_change,13.391,65
no_change,13.393,59
no_change,13.591,49
no_change,13.782,59
no_change,13.791,65
no_change,13.98,56
no_change,14.175,59
no_change,14.177,65
no_change,14.382,42
no_change,14.709,49
no_change,14.855,54
no_change,15.061,57
no_change,15.268,61
no_change,15.62,42
no_change,15.825,44
no_change,16.05,45
no_change,16.268,61
no_change,16.291,57
no_change,16.5,52
no_change,16.667,43
no_change,16.725,57
no_change,16.95,45
no_change,17.175,57
no_change,17.391,52
no_change,17.68,57
no_change,17.684,61
no_change,17.895,47
no_change,18.107,54
no_change,18.32,50
no_change,18.532,54
no_change,18.716,47
no_change,18.895,54
no_change,18.907,62
no_change,19.109,50
no_change,19.314,62
no_change,19.316,54
no_change,19.482,49
no_change,19.673,56
no_change,19.695,59
no_change,19.866,53
no_change,20.052,59
