onset_type,onset_time,pitch
no_change,5.623,64
no_change,5.848,45
no_change,6.15,66
no_change,6.264,68
no_change,6.37,69
articulation,6.448,71
no_change,6.543,73
no_change,6.764,73
no_change,7.027,68
no_change,7.277,45
no_change,7.511,69
no_change,7.627,71
no_change,7.725,73
no_change,7.823,74
no_change,7.923,76
no_change,8.207,76
no_change,8.75,76
no_change,8.759,61
no_change,8.98,76
no_change,8.984,64
no_change,8.986,61
no_change,9.405,60
no_change,9.614,63
no_change,9.616,60
no_change,9.745,60
no_change,10.039,74
no_change,10.041,59
no_change,10.255,74
no_change,10.257,59
no_change,10.28,59
no_change,10.455,73
no_change,10.459,58
no_change,10.461,61
no_change,10.636,72
no_change,10.641,57
no_change,10.843,71
no_change,10.845,56
no_change,11.316,64
no_change,11.518,45
no_change,11.782,66
no_change,11.9,68
no_change,12.009,69
no_change,12.089,71
no_change,12.157,73
no_change,12.375,73
no_change,12.616,68
no_change,12.839,45
no_change,13.093,69
no_change,13.186,71
no_change,13.291,73
no_change,13.38,74
no_change,13.473,76
no_change,13.73,76
no_change,14.195,76
no_change,14.202,64
no_change,14.423,65
no_change,14.425,69
no_change,14.639,65
no_change,14.641,69
no_change,14.843,65
no_change,14.857,69
no_change,15.066,76
no_change,15.068,64
no_change,15.07,68
no_change,15.291,64
no_change,15.293,68
no_change,15.498,64
no_change,15.711,62
no_change,15.939,62
no_change,15.941,73
no_change,16.159,66
no_change,16.161,62
no_change,16.384,61
no_change,16.605,65
no_change,16.607,61
no_change,16.816,65
no_change,16.818,61
no_change,17.016,50
no_change,17.052,62
no_change,17.055,66
no_change,17.057,71
no_change,17.3,73
no_change,17.511,74
no_change,17.741,40
no_change,17.941,64
no_change,17.943,61
no_change,18.164,61
no_change,18.4,40
no_change,18.614,68
no_change,18.616,59
no_change,18.832,59
no_change,19.066,45
no_change,19.068,64
no_change,19.695,64
no_change,19.943,45
no_change,20.234,66
no_change,20.339,68
no_change,20.457,69
no_change,20.53,71
no_change,20.627,73
no_change,20.848,73
no_change,21.105,68
no_change,21.334,45
no_change,21.564,69
no_change,21.661,71
no_change,21.768,73
no_change,21.857,74
no_change,21.966,76
no_change,22.209,76
no_change,22.709,76
no_change,22.714,61
no_change,22.939,64
no_change,22.941,61
no_change,23.141,60
no_change,23.143,63
no_change,23.148,75
no_change,23.357,60
no_change,23.568,60
no_change,23.791,62
no_change,23.807,59
no_change,24.007,74
no_change,24.011,59
no_change,24.225,74
no_change,24.227,59
no_change,24.43,58
no_change,24.432,61
no_change,24.641,57
no_change,24.643,60
no_change,24.857,71
no_change,24.859,56
no_change,24.861,59
no_change,25.33,64
no_change,25.552,45
no_change,25.791,66
no_change,25.891,68
no_change,26.002,69
no_change,26.084,71
no_change,26.198,73
no_change,26.411,73
no_change,26.641,68
no_change,26.87,45
no_change,27.102,69
no_change,27.198,71
no_change,27.307,73
no_change,27.386,74
no_change,27.498,76
no_change,27.736,76
no_change,28.034,76
no_change,28.193,64
no_change,28.432,65
no_change,28.434,69
no_change,28.655,65
no_change,28.657,69
no_change,28.877,65
no_change,28.88,69
no_change,29.095,76
