onset_type,onset_time,pitch
no_change,3.957,38
no_change,4.359,57
no_change,4.495,53
no_change,4.632,57
no_change,4.902,57
no_change,5.055,58
no_change,5.145,58
no_change,5.28,57
no_change,5.416,57
no_change,5.561,58
no_change,5.673,45
no_change,5.927,58
no_change,6.184,57
no_change,6.423,52
no_change,6.675,58
no_change,6.677,61
no_change,6.945,67
no_change,7.173,38
no_change,7.436,57
no_change,7.564,53
no_change,7.682,57
no_change,7.941,65
no_change,7.943,57
no_change,8.059,58
no_change,8.177,58
no_change,8.311,57
no_change,8.427,57
no_change,8.561,58
no_change,8.677,45
no_change,8.916,64
no_change,8.92,58
no_change,9.189,57
no_change,9.425,52
no_change,9.666,58
no_change,9.67,61
no_change,9.927,67
no_change,10.148,38
no_change,10.423,69
no_change,10.425,64
no_change,10.43,53
no_change,10.557,45
no_change,10.668,53
no_change,10.895,69
no_change,10.927,62
no_change,10.932,53
no_change,11.068,55
no_change,11.17,55
no_change,11.293,53
no_change,11.416,53
no_change,11.418,62
no_change,11.514,55
no_change,11.65,45
no_change,11.895,67
no_change,11.9,53
no_change,12.159,52
no_change,12.4,45
no_change,12.648,64
no_change,12.652,52
no_change,12.909,53
no_change,13.13,38
no_change,13.359,58
no_change,13.384,62
no_change,13.386,53
no_change,13.514,46
no_change,13.6,53
no_change,13.868,62
no_change,13.87,53
no_change,13.989,55
no_change,14.102,55
no_change,14.227,53
no_change,14.323,62
no_change,14.325,53
no_change,14.327,58
no_change,14.425,55
no_change,14.561,45
no_change,14.805,56
no_change,14.807,53
no_change,15.086,52
no_change,15.314,45
no_change,15.532,52
no_change,15.552,55
no_change,15.566,61
no_change,15.795,53
no_change,16.043,38
no_change,16.273,65
no_change,16.325,57
no_change,16.45,53
no_change,16.539,57
no_change,16.77,65
no_change,16.798,57
no_change,16.925,58
no_change,17.052,58
no_change,17.17,57
no_change,17.277,65
no_change,17.284,57
no_change,17.407,58
no_change,17.516,45
no_change,17.755,64
no_change,17.757,58
no_change,18.009,57
no_change,18.232,52
no_change,18.475,58
no_change,18.482,61
no_change,18.723,67
no_change,18.966,38
no_change,19.234,65
no_change,19.236,57
no_change,19.377,53
no_change,19.47,57
no_change,19.718,65
no_change,19.72,57
no_change,19.848,58
no_change,19.968,58
no_change,20.08,57
no_change,20.18,65
no_change,20.184,57
no_change,20.302,58
no_change,20.434,45
no_change,20.661,64
no_change,20.664,58
no_change,20.945,57
no_change,21.18,52
no_change,21.425,58
no_change,21.427,61
no_change,21.668,67
no_change,21.909,38
no_change,22.136,69
no_change,22.141,64
no_change,22.145,53
no_change,22.291,45
no_change,22.395,53
no_change,22.627,69
no_change,22.632,53
no_change,22.761,55
no_change,22.777,55
no_change,22.957,53
no_change,23.105,53
no_change,23.107,69
no_change,23.109,62
no_change,23.177,55
no_change,23.325,45
no_change,23.582,67
no_change,23.586,53
no_change,23.589,59
no_change,23.834,52
no_change,24.059,45
no_change,24.295,52
no_change,24.298,64
no_change,24.302,61
no_change,24.561,53
no_change,24.777,38
no_change,25.014,62
no_change,25.02,53
no_change,25.148,46
no_change,25.164,58
no_change,25.236,53
no_change,25.468,58
no_change,25.47,53
no_change,25.586,55
no_change,25.677,55
no_change,25.775,53
no_change,25.909,53
no_change,25.914,62
no_change,25.975,55
no_change,26.148,45
no_change,26.398,53
no_change,26.673,52
no_change,26.909,45
no_change,27.152,52
no_change,27.164,55
no_change,27.173,61
no_change,27.402,53
no_change,27.711,38
no_change,28.336,38
no_change,28.414,45
no_change,28.507,50
no_change,28.611,65
no_change,28.698,69
no_change,28.793,74
no_change,30.359,62
no_change,30.364,53
no_change,30.727,64
no_change,30.73,52
no_change,31.007,50
no_change,31.095,65
no_change,31.384,57
no_change,31.595,65
no_change,31.605,48
no_change,31.83,47
no_change,32.091,55
no_change,32.093,62
no_change,32.291,68
no_change,32.293,46
no_change,32.53,69
no_change,32.536,45
no_change,32.77,52
no_change,32.977,69
no_change,32.982,57
no_change,32.986,61
no_change,33.207,45
no_change,33.448,53
no_change,33.45,62
no_change,33.664,64
no_change,33.67,52
no_change,33.884,65
no_change,33.889,50
no_change,34.13,57
no_change,34.332,65
no_change,34.341,48
no_change,34.575,67
no_change,34.577,47
no_change,34.809,62
no_change,34.811,55
no_change,35.03,68
no_change,35.034,46
no_change,35.245,69
no_change,35.25,45
no_change,35.486,52
no_change,35.693,57
no_change,35.698,61
no_change,35.98,45
no_change,36.31,27
no_change,36.357,60
no_change,36.432,67
no_change,36.473,76
no_change,36.475,69
no_change,36.727,77
no_change,36.952,74
no_change,37.214,67
no_change,37.216,64
no_change,37.218,58
no_change,37.434,74
no_change,37.657,72
no_change,37.891,56
no_change,37.893,65
no_change,38.336,69
no_change,38.343,45
