onset_type,onset_time,pitch
no_change,5.275,62
no_change,5.277,66
no_change,6.186,66
no_change,6.189,61
no_change,7.095,59
no_change,8.025,45
no_change,8.925,50
no_change,8.927,59
no_change,9.152,61
no_change,9.525,62
no_change,9.866,62
no_change,10.161,61
no_change,10.452,62
no_change,10.814,62
no_change,10.82,67
no_change,11.768,67
no_change,11.77,61
no_change,12.659,52
no_change,12.661,64
no_change,12.664,67
no_change,13.552,62
no_change,13.555,67
no_change,14.4,61
no_change,14.402,52
no_change,14.405,67
no_change,15.293,59
no_change,15.298,67
no_change,16.195,45
no_change,16.202,57
no_change,16.527,61
no_change,17.043,52
no_change,17.527,59
no_change,17.909,59
no_change,17.916,50
no_change,18.436,58
no_change,18.784,57
no_change,19.486,47
no_change,19.627,51
no_change,19.648,60
no_change,20.164,59
no_change,20.573,42
no_change,21.03,54
no_change,21.441,40
no_change,21.545,57
no_change,22.018,56
no_change,22.393,55
no_change,23.107,49
no_change,23.202,53
no_change,23.25,62
no_change,23.755,61
no_change,24.184,44
no_change,24.63,56
no_change,25.03,42
no_change,25.152,59
no_change,25.611,58
no_change,25.991,57
no_change,26.857,52
no_change,26.864,61
no_change,27.236,64
no_change,27.252,55
no_change,27.748,52
no_change,28.027,54
no_change,28.327,64
no_change,28.33,55
no_change,28.666,38
no_change,28.673,65
no_change,28.68,56
no_change,29.225,57
no_change,29.227,66
no_change,29.564,42
no_change,29.857,65
no_change,29.859,56
no_change,30.152,57
no_change,30.486,45
no_change,30.577,69
no_change,30.58,61
no_change,31.068,59
no_change,31.08,67
no_change,31.439,52
no_change,31.716,66
no_change,31.72,57
no_change,32.023,64
no_change,32.025,55
no_change,32.345,65
no_change,32.35,38
no_change,32.373,56
no_change,32.9,57
no_change,33.277,42
no_change,33.791,54
no_change,34.191,45
no_change,34.193,54
no_change,34.198,63
no_change,34.698,64
no_change,34.702,55
no_change,35.089,52
no_change,35.395,54
no_change,35.677,64
no_change,35.68,55
no_change,36.023,38
no_change,36.034,65
no_change,36.036,56
no_change,36.568,57
no_change,36.573,66
no_change,36.905,42
no_change,37.216,65
no_change,37.218,56
no_change,37.545,57
no_change,37.548,66
no_change,37.875,45
no_change,37.973,61
no_change,37.975,69
no_change,38.541,59
no_change,38.968,49
no_change,39.291,57
no_change,39.655,64
no_change,39.657,55
no_change,40.116,50
no_change,40.243,54
no_change,40.273,62
no_change,41.85,62
no_change,41.852,50
no_change,41.855,66
no_change,42.757,66
