onset_type,onset_time,pitch
no_change,2.143,40
no_change,2.207,55
no_change,2.277,59
no_change,2.382,67
no_change,2.789,59
articulation,3.059,66
no_change,3.327,59
no_change,3.539,64
no_change,3.814,59
no_change,4.075,40
no_change,4.116,54
no_change,4.198,57
no_change,4.277,63
no_change,4.645,57
no_change,4.9,54
no_change,5.141,57
no_change,5.4,47
no_change,5.627,54
no_change,5.841,40
no_change,5.916,55
no_change,5.968,59
no_change,6.036,67
no_change,6.373,59
no_change,6.625,66
no_change,6.875,59
no_change,7.091,64
no_change,7.327,59
no_change,7.6,40
no_change,7.661,54
no_change,7.745,57
no_change,7.845,63
no_change,8.193,57
no_change,8.436,54
no_change,8.675,57
no_change,8.907,47
no_change,9.109,54
no_change,9.318,40
no_change,9.38,55
no_change,9.425,59
no_change,9.491,64
no_change,9.718,66
no_change,9.936,67
no_change,10.182,64
no_change,10.402,66
no_change,10.634,67
no_change,10.911,50
no_change,10.934,57
no_change,10.975,60
no_change,11.025,66
no_change,11.457,67
no_change,11.55,66
no_change,11.741,64
no_change,11.943,66
no_change,12.164,62
no_change,12.405,45
no_change,12.443,55
no_change,12.527,60
no_change,12.582,64
no_change,12.966,66
no_change,13.057,64
no_change,13.32,62
no_change,13.5,64
no_change,13.723,60
no_change,13.975,47
no_change,14.166,59
no_change,14.78,51
no_change,15.227,45
no_change,15.532,43
no_change,15.773,42
no_change,16.155,40
no_change,16.23,55
no_change,16.291,59
no_change,16.38,67
no_change,16.766,59
no_change,17.041,66
no_change,17.307,59
no_change,17.525,64
no_change,17.809,59
no_change,18.055,40
no_change,18.123,54
no_change,18.214,57
no_change,18.336,63
no_change,18.718,57
no_change,18.982,54
no_change,19.22,57
no_change,19.473,47
no_change,19.716,54
no_change,19.955,40
no_change,20.014,55
no_change,20.093,59
no_change,20.159,67
no_change,20.498,59
no_change,20.725,66
no_change,20.977,59
no_change,21.186,64
no_change,21.443,59
no_change,21.714,40
no_change,21.768,54
no_change,21.845,57
no_change,21.948,63
no_change,22.275,57
no_change,22.523,54
no_change,22.789,57
no_change,23.041,47
no_change,23.282,54
no_change,23.525,40
no_change,23.575,55
no_change,23.652,59
no_change,23.707,64
no_change,23.948,66
no_change,24.155,67
no_change,24.409,64
no_change,24.67,66
no_change,24.925,67
no_change,25.291,50
no_change,25.386,62
no_change,25.466,66
no_change,25.593,69
no_change,26.002,71
no_change,26.107,69
no_change,26.318,67
no_change,26.532,69
no_change,27.034,50
no_change,27.059,57
no_change,27.105,60
no_change,27.157,66
no_change,27.4,67
no_change,27.666,69
no_change,28.102,66
no_change,28.336,67
no_change,28.534,69
no_change,28.857,59
no_change,28.907,63
no_change,28.98,66
no_change,29.073,71
no_change,29.491,72
no_change,29.598,71
no_change,29.795,69
no_change,29.982,71
no_change,30.464,59
no_change,30.516,62
no_change,30.568,67
no_change,30.648,71
no_change,31.039,69
no_change,31.145,67
no_change,31.418,71
no_change,31.641,69
no_change,31.861,67
no_change,32.157,54
no_change,32.166,57
no_change,32.236,62
no_change,32.291,69
no_change,32.711,67
no_change,32.825,66
no_change,33.095,69
no_change,33.355,67
no_change,33.63,66
no_change,33.932,52
no_change,33.957,55
no_change,34.025,60
no_change,34.089,67
no_change,34.53,66
no_change,34.639,64
no_change,34.984,67
no_change,35.25,66
no_change,35.5,64
no_change,35.868,66
no_change,35.87,54
no_change,36.527,58
no_change,36.53,64
no_change,37.098,58
no_change,37.102,64
no_change,37.684,52
no_change,37.716,55
no_change,37.734,59
no_change,37.777,67
no_change,38.209,66
no_change,38.325,64
no_change,38.695,67
no_change,38.936,66
no_change,39.13,64
no_change,39.37,50
no_change,39.407,55
no_change,39.457,59
no_change,39.498,66
no_change,39.83,64
no_change,39.989,62
no_change,40.327,66
no_change,40.577,64
no_change,40.809,62
no_change,41.136,48
no_change,41.198,55
no_change,41.261,59
no_change,41.32,64
no_change,41.725,62
no_change,41.848,60
no_change,42.166,64
no_change,42.37,62
no_change,42.57,60
no_change,42.78,47
no_change,42.975,59
no_change,43.291,51
no_change,43.591,57
no_change,43.889,45
no_change,44.036,47
no_change,44.202,48
no_change,44.361,52
no_change,44.509,51
no_change,44.677,48
no_change,44.839,47
no_change,45.514,59
no_change,46.036,54
no_change,46.073,59
no_change,46.12,63
no_change,46.164,71
no_change,46.645,57
no_change,46.834,59
no_change,47.043,60
no_change,47.23,64
no_change,47.475,63
no_change,47.675,60
no_change,47.893,59
no_change,48.295,66
no_change,48.877,59
no_change,48.902,66
no_change,48.905,75
no_change,48.907,71
no_change,49.525,45
no_change,49.698,47
no_change,49.88,48
no_change,50.18,51
no_change,50.33,52
no_change,50.47,54
no_change,50.595,57
no_change,50.714,55
no_change,50.843,54
no_change,50.964,55
no_change,51.089,54
no_change,51.216,52
no_change,51.368,54
no_change,51.532,52
no_change,51.718,51
no_change,51.9,52
no_change,52.08,50
no_change,52.259,48
no_change,52.616,47
no_change,52.984,51
no_change,53.48,57
no_change,53.498,59
no_change,53.618,66
no_change,54.166,45
no_change,54.259,47
no_change,54.332,45
no_change,54.443,43
no_change,54.961,42
no_change,55.382,40
no_change,55.464,55
no_change,55.52,59
no_change,55.607,67
no_change,55.984,59
no_change,56.241,66
no_change,56.53,59
no_change,56.755,64
no_change,57.005,59
no_change,57.255,40
no_change,57.314,54
no_change,57.402,57
no_change,57.475,63
no_change,57.766,57
no_change,58.0,54
no_change,58.243,57
no_change,58.468,47
no_change,58.677,54
no_change,58.875,40
no_change,58.952,55
no_change,58.973,59
no_change,59.039,67
no_change,59.325,59
no_change,59.545,66
no_change,59.807,59
no_change,60.03,64
no_change,60.261,59
no_change,60.525,40
no_change,60.584,54
no_change,60.652,57
no_change,60.723,63
no_change,61.041,57
no_change,61.282,54
no_change,61.516,57
no_change,61.773,47
no_change,61.964,54
no_change,62.282,52
no_change,62.541,54
no_change,62.925,55
no_change,63.061,59
no_change,63.134,64
no_change,63.536,52
no_change,63.766,54
no_change,63.95,55
no_change,64.28,45
no_change,64.384,57
no_change,64.425,62
no_change,64.48,66
no_change,64.909,59
no_change,65.0,57
no_change,65.184,55
no_change,65.366,57
no_change,65.827,66
no_change,66.066,67
no_change,66.311,45
no_change,66.359,60
no_change,66.402,64
no_change,66.459,69
no_change,66.707,66
no_change,66.934,67
no_change,67.143,69
no_change,67.516,47
no_change,67.564,63
no_change,67.609,66
no_change,67.698,71
no_change,68.136,72
no_change,68.227,71
no_change,68.464,69
no_change,68.684,71
no_change,69.123,52
no_change,69.155,59
no_change,69.261,64
no_change,69.286,67
no_change,69.382,71
no_change,70.145,71
no_change,70.448,67
no_change,70.727,64
no_change,71.241,61
no_change,71.489,62
no_change,71.814,49
no_change,71.857,55
no_change,71.916,59
no_change,71.986,64
no_change,72.398,61
no_change,72.657,62
no_change,72.918,64
no_change,73.33,47
no_change,73.398,54
no_change,73.466,59
no_change,73.543,63
no_change,73.625,66
no_change,74.186,66
no_change,74.466,63
no_change,74.823,59
no_change,75.761,40
no_change,76.141,71
no_change,76.691,59
no_change,77.034,68
no_change,77.318,59
no_change,77.557,64
no_change,77.895,59
no_change,78.041,45
no_change,78.214,66
no_change,78.568,61
no_change,78.811,57
no_change,79.052,61
no_change,79.295,51
no_change,79.586,61
no_change,79.73,40
no_change,79.909,71
no_change,80.218,59
no_change,80.43,64
no_change,80.57,73
no_change,80.811,71
no_change,81.027,59
no_change,81.043,68
no_change,81.323,64
no_change,81.543,45
no_change,81.764,66
no_change,82.152,61
no_change,82.418,57
no_change,82.714,61
no_change,83.018,51
no_change,83.327,61
no_change,83.686,44
no_change,83.693,56
no_change,83.705,51
no_change,83.777,60
no_change,83.789,63
no_change,83.816,68
no_change,84.375,63
no_change,84.609,64
no_change,84.859,56
no_change,84.861,60
no_change,84.864,66
no_change,85.116,63
no_change,85.355,49
no_change,85.398,56
no_change,85.439,61
no_change,85.452,64
no_change,85.686,63
no_change,85.911,61
no_change,86.109,63
no_change,86.307,64
no_change,86.505,68
no_change,86.755,49
no_change,86.757,54
no_change,86.848,42
no_change,86.961,58
no_change,86.998,61
no_change,87.016,66
no_change,87.53,61
no_change,87.761,63
no_change,88.023,54
no_change,88.025,58
no_change,88.03,64
no_change,88.418,61
no_change,88.75,47
no_change,88.789,54
no_change,88.848,59
no_change,88.891,63
no_change,89.118,61
no_change,89.332,59
no_change,89.545,61
no_change,89.786,63
no_change,89.989,66
no_change,90.236,40
no_change,90.532,71
no_change,91.025,59
no_change,91.325,68
no_change,91.611,59
no_change,91.857,64
no_change,92.082,59
no_change,92.352,45
no_change,92.566,66
no_change,92.88,61
no_change,93.114,57
no_change,93.336,61
no_change,93.573,51
no_change,93.834,61
no_change,93.993,40
no_change,94.18,71
no_change,94.416,59
no_change,94.616,64
no_change,94.757,73
no_change,95.014,71
no_change,95.245,59
no_change,95.261,68
no_change,95.552,64
no_change,95.766,45
no_change,95.816,61
no_change,95.882,57
no_change,95.93,66
no_change,95.95,61
no_change,96.016,51
no_change,96.102,61
no_change,96.148,44
no_change,96.232,63
no_change,96.273,64
no_change,96.316,56
no_change,96.357,63
no_change,96.38,61
no_change,96.398,49
no_change,96.475,63
no_change,96.523,61
no_change,96.632,63
no_change,96.709,64
no_change,96.786,68
no_change,96.864,42
no_change,96.866,54
no_change,96.868,47
no_change,97.036,61
no_change,97.205,59
no_change,97.375,61
no_change,97.543,63
no_change,97.711,66
no_change,97.88,40
no_change,97.886,76
no_change,98.159,68
no_change,98.245,68
no_change,98.493,75
no_change,98.768,68
no_change,98.986,74
no_change,99.209,68
no_change,99.5,45
no_change,99.68,73
no_change,100.011,69
no_change,100.239,64
no_change,100.445,69
no_change,100.627,73
no_change,100.652,61
no_change,100.875,69
no_change,101.136,47
no_change,101.152,71
no_change,101.389,66
no_change,101.627,63
no_change,101.875,66
no_change,102.127,69
no_change,102.132,57
no_change,102.416,68
no_change,102.709,40
no_change,102.977,59
no_change,103.252,56
no_change,103.548,59
no_change,103.868,52
no_change,104.273,56
no_change,104.82,57
no_change,104.825,65
no_change,105.125,59
no_change,105.473,60
no_change,105.873,65
no_change,105.875,62
no_change,106.286,59
no_change,106.293,67
no_change,106.736,57
no_change,106.739,60
no_change,106.743,65
no_change,107.127,40
no_change,107.198,56
no_change,107.273,59
no_change,107.368,64
no_change,107.668,59
no_change,107.898,56
no_change,108.159,59
no_change,108.425,52
no_change,108.614,56
no_change,108.914,41
no_change,109.016,43
no_change,109.107,45
no_change,109.248,47
no_change,109.375,48
no_change,109.482,50
no_change,109.577,51
no_change,109.736,52
no_change,109.809,53
no_change,109.977,57
no_change,110.111,55
no_change,110.257,53
no_change,110.518,40
no_change,110.927,59
no_change,111.236,56
no_change,111.493,59
no_change,111.773,52
no_change,112.089,56
no_change,112.511,57
no_change,112.514,65
no_change,112.811,59
no_change,112.814,67
no_change,113.118,60
no_change,113.511,65
no_change,113.514,62
no_change,113.516,71
no_change,114.034,65
no_change,114.9,72
no_change,114.902,64
no_change,115.236,65
no_change,115.239,62
no_change,115.58,64
no_change,115.582,60
no_change,115.968,62
no_change,115.97,59
no_change,116.398,57
no_change,116.4,60
no_change,116.405,65
no_change,116.807,40
no_change,116.884,56
no_change,116.923,59
no_change,117.011,64
no_change,117.568,56
no_change,117.82,59
no_change,118.05,52
no_change,118.298,56
no_change,118.38,40
no_change,118.559,47
no_change,118.768,48
no_change,119.05,50
no_change,119.773,57
no_change,119.775,59
no_change,119.777,65
no_change,120.25,57
no_change,120.257,59
no_change,120.264,65
no_change,120.666,57
no_change,120.673,59
no_change,120.984,57
no_change,120.995,59
no_change,120.998,65
no_change,121.02,50
no_change,121.355,47
no_change,121.416,57
no_change,121.498,59
no_change,121.573,65
no_change,121.689,48
no_change,121.805,47
no_change,121.945,40
no_change,122.409,64
no_change,122.411,56
no_change,122.823,56
no_change,123.243,56
no_change,123.652,64
no_change,123.657,59
no_change,123.659,56
no_change,124.059,59
no_change,124.061,56
no_change,124.364,47
no_change,124.484,48
no_change,124.659,50
no_change,125.261,57
no_change,125.266,59
no_change,125.268,65
no_change,125.666,57
no_change,125.673,59
no_change,125.989,57
no_change,125.993,65
no_change,126.334,53
no_change,126.848,57
no_change,127.452,55
no_change,127.793,53
no_change,127.943,40
no_change,128.391,47
no_change,128.864,52
no_change,129.791,56
no_change,130.098,59
no_change,130.425,64
no_change,130.78,68
no_change,131.22,56
no_change,131.616,59
no_change,132.007,64
no_change,132.461,68
no_change,133.002,71
no_change,133.745,76
