mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,647,554,412,124,18,93,0,52,120.00,117.00,3.00
progressive_tempo,ritardando,564,687,389,19,156,0,123,57,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,730,726,431,85,210,4,0,132,120.00,170.00,50.00
duration,note_held_too_long,552,552,552,0,0,0,0,494,120.00,156.00,36.00
duration,note_cut_too_soon,552,552,552,0,0,0,0,494,120.00,156.00,36.00
note,note_missing,552,551,531,12,8,1,0,361,120.00,156.00,36.00
note,note_not_expected,552,552,552,0,0,0,0,494,120.00,156.00,36.00
articulation,articulated_legato,552,551,538,9,4,1,0,432,120.00,156.00,36.00
articulation,articulated_staccato,574,574,546,14,14,0,0,418,120.00,156.00,36.00
articulation,articulated_accentuated,552,552,552,0,0,0,0,494,120.00,156.00,36.00
