mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,518,434,346,62,26,84,0,85,120.00,99.00,21.00
progressive_tempo,ritardando,459,516,363,32,64,0,57,96,120.00,144.00,24.00
progressive_tempo,tempo_fluctuation,558,494,339,94,61,64,0,58,120.00,134.00,14.00
duration,note_held_too_long,455,447,412,19,16,8,0,187,120.00,125.00,5.00
duration,note_cut_too_soon,455,447,412,19,16,8,0,187,120.00,125.00,5.00
note,note_missing,456,447,397,29,21,9,0,139,120.00,125.00,5.00
note,note_not_expected,455,448,413,20,15,7,0,186,120.00,125.00,5.00
articulation,articulated_legato,455,446,410,19,17,9,0,183,120.00,125.00,5.00
articulation,articulated_staccato,489,482,426,30,26,7,0,125,120.00,125.00,5.00
articulation,articulated_accentuated,455,447,412,19,16,8,0,187,120.00,125.00,5.00
