onset_type,onset_time,pitch
no_change,2.943,50
no_change,2.945,54
no_change,3.368,49
articulation,3.484,50
no_change,3.616,53
no_change,3.764,54
no_change,3.884,56
no_change,3.989,57
no_change,4.143,58
no_change,4.239,59
no_change,4.398,61
no_change,4.498,62
no_change,4.7,50
no_change,4.702,54
no_change,5.025,49
no_change,5.125,50
no_change,5.28,53
no_change,5.409,54
no_change,5.552,56
no_change,5.641,57
no_change,5.78,58
no_change,5.916,59
no_change,6.045,61
no_change,6.177,62
no_change,6.434,50
no_change,6.436,55
no_change,6.593,66
no_change,6.73,65
no_change,6.85,66
no_change,6.989,67
no_change,7.118,66
no_change,7.252,62
no_change,7.361,59
no_change,7.493,62
no_change,7.602,59
no_change,7.759,55
no_change,7.855,50
no_change,8.016,50
no_change,8.02,55
no_change,8.023,65
no_change,8.15,66
no_change,8.289,65
no_change,8.393,66
no_change,8.532,67
no_change,8.661,66
no_change,8.8,62
no_change,8.918,59
no_change,9.059,62
no_change,9.177,59
no_change,9.341,55
no_change,9.48,50
no_change,9.686,64
no_change,9.689,59
no_change,9.691,55
no_change,9.693,49
no_change,9.82,66
no_change,9.959,64
no_change,10.052,66
no_change,10.207,69
no_change,10.32,67
no_change,10.475,71
no_change,10.62,69
no_change,10.757,67
no_change,10.764,40
no_change,10.893,66
no_change,11.034,69
no_change,11.152,64
no_change,11.377,64
no_change,11.384,55
no_change,11.386,49
no_change,11.507,66
no_change,11.648,64
no_change,11.761,66
no_change,11.909,69
no_change,12.009,67
no_change,12.173,71
no_change,12.318,69
no_change,12.441,67
no_change,12.443,40
no_change,12.555,66
no_change,12.723,69
no_change,12.82,64
no_change,13.064,64
no_change,13.066,60
no_change,13.068,48
no_change,13.073,55
no_change,13.2,66
no_change,13.32,64
no_change,13.405,66
no_change,13.598,47
no_change,13.718,67
no_change,13.875,64
no_change,13.964,59
no_change,14.143,45
no_change,14.145,67
no_change,14.252,66
no_change,14.445,47
no_change,14.448,63
no_change,14.575,59
no_change,14.843,60
no_change,14.845,48
no_change,14.966,66
no_change,15.118,64
no_change,15.202,66
no_change,15.393,69
no_change,15.395,47
no_change,15.507,67
no_change,15.67,64
no_change,15.77,59
no_change,15.925,67
no_change,15.927,45
no_change,16.039,66
no_change,16.214,47
no_change,16.218,63
no_change,16.343,59
no_change,16.593,64
no_change,16.595,43
no_change,16.598,59
no_change,16.75,66
no_change,16.886,64
no_change,16.986,66
no_change,17.168,69
no_change,17.173,42
no_change,17.257,67
no_change,17.43,40
no_change,17.432,71
no_change,17.557,69
no_change,17.716,50
no_change,17.72,67
no_change,17.836,66
no_change,18.009,48
no_change,18.125,64
no_change,18.314,64
no_change,18.316,43
no_change,18.459,66
no_change,18.582,64
no_change,18.668,66
no_change,18.852,69
no_change,18.857,42
no_change,18.957,67
no_change,19.127,71
no_change,19.13,40
no_change,19.252,69
no_change,19.418,50
no_change,19.42,67
no_change,19.543,66
no_change,19.714,48
no_change,19.716,69
no_change,19.832,64
no_change,20.134,47
no_change,20.189,56
no_change,20.273,62
no_change,20.295,66
no_change,20.757,75
no_change,20.85,76
no_change,21.011,70
no_change,21.127,71
no_change,21.266,65
no_change,21.386,66
no_change,21.53,61
no_change,21.636,62
no_change,21.759,58
no_change,21.925,59
no_change,22.214,62
no_change,22.216,56
no_change,22.218,47
no_change,22.627,75
no_change,22.725,76
no_change,22.898,70
no_change,23.005,71
no_change,23.15,65
no_change,23.255,66
no_change,23.405,61
no_change,23.527,62
no_change,23.659,58
no_change,23.809,59
no_change,24.032,55
no_change,24.157,56
no_change,24.314,53
no_change,24.423,54
no_change,24.607,52
no_change,24.725,53
no_change,24.857,51
no_change,24.943,52
no_change,25.132,49
no_change,25.266,50
no_change,25.4,46
no_change,25.491,47
no_change,25.675,55
no_change,25.827,56
no_change,25.95,53
no_change,26.057,54
no_change,26.236,52
no_change,26.35,53
no_change,26.491,51
no_change,26.564,52
no_change,26.761,49
no_change,26.898,50
no_change,27.068,46
no_change,27.214,47
no_change,27.477,66
no_change,27.482,55
no_change,27.491,45
no_change,27.648,64
no_change,27.793,61
no_change,27.934,55
no_change,28.05,52
no_change,28.184,55
no_change,28.323,61
no_change,28.452,64
no_change,28.609,46
no_change,28.614,61
no_change,28.75,64
no_change,28.886,61
no_change,29.027,55
no_change,29.302,54
no_change,29.307,47
no_change,29.309,62
no_change,29.736,41
no_change,29.87,42
no_change,30.02,46
no_change,30.1,47
no_change,30.307,49
no_change,30.398,50
no_change,30.584,53
no_change,30.666,54
no_change,30.832,58
no_change,30.943,59
no_change,31.061,61
no_change,31.205,62
no_change,31.33,61
no_change,31.443,62
no_change,31.591,65
no_change,31.718,66
no_change,31.843,65
no_change,31.95,66
no_change,32.125,70
no_change,32.241,71
no_change,32.411,72
no_change,32.55,71
no_change,32.793,52
no_change,32.795,73
no_change,32.798,68
no_change,32.941,71
no_change,33.089,68
no_change,33.223,62
no_change,33.368,58
no_change,33.505,59
no_change,33.602,62
no_change,33.75,66
no_change,33.911,73
no_change,34.034,71
no_change,34.161,74
no_change,34.291,71
no_change,34.457,52
no_change,34.459,62
no_change,34.461,73
no_change,34.464,68
no_change,34.586,71
no_change,34.714,68
no_change,34.839,62
no_change,34.968,58
no_change,35.093,59
no_change,35.22,62
no_change,35.37,66
no_change,35.525,73
no_change,35.657,71
no_change,35.795,74
no_change,35.923,71
no_change,36.166,70
no_change,36.17,64
no_change,36.173,54
no_change,36.305,74
no_change,36.452,73
no_change,36.568,74
no_change,36.711,50
no_change,36.714,66
no_change,36.85,71
no_change,36.989,74
no_change,37.095,73
no_change,37.252,76
no_change,37.366,74
no_change,37.518,73
no_change,37.632,74
no_change,37.882,64
no_change,37.884,54
no_change,38.043,74
no_change,38.191,73
no_change,38.268,74
no_change,38.464,73
no_change,38.468,50
no_change,38.591,71
no_change,38.734,74
no_change,38.82,73
no_change,39.0,76
no_change,39.116,74
no_change,39.273,73
no_change,39.382,74
no_change,39.664,50
no_change,39.666,60
no_change,39.791,69
no_change,39.93,72
no_change,40.066,69
no_change,40.202,45
no_change,40.205,60
no_change,40.323,69
no_change,40.486,64
no_change,40.618,60
no_change,40.748,56
no_change,40.907,57
no_change,41.002,60
no_change,41.152,64
no_change,41.323,50
no_change,41.325,60
no_change,41.457,69
no_change,41.582,72
no_change,41.714,69
no_change,41.841,45
no_change,41.843,60
no_change,41.966,69
no_change,42.118,64
no_change,42.252,60
no_change,42.402,56
no_change,42.566,57
no_change,42.668,60
no_change,42.825,64
no_change,43.152,58
no_change,43.155,49
no_change,43.157,69
no_change,43.273,67
no_change,43.423,65
no_change,43.539,64
no_change,43.693,61
no_change,43.82,58
no_change,43.952,55
no_change,44.095,53
no_change,44.236,50
no_change,44.409,49
no_change,44.532,46
no_change,44.659,45
no_change,44.95,43
no_change,45.007,49
no_change,45.084,52
no_change,45.102,59
no_change,45.473,42
no_change,45.593,43
no_change,45.748,47
no_change,45.873,49
no_change,45.993,52
no_change,46.102,55
no_change,46.234,58
no_change,46.327,59
no_change,46.509,60
no_change,46.611,61
no_change,46.752,63
no_change,46.868,64
no_change,47.009,66
no_change,47.141,67
no_change,47.282,70
no_change,47.382,71
no_change,47.545,72
no_change,47.652,73
no_change,47.83,74
no_change,47.966,75
no_change,48.116,76
no_change,48.261,77
no_change,48.441,50
no_change,48.532,66
no_change,48.593,71
no_change,48.598,78
no_change,48.889,73
no_change,48.98,74
no_change,49.155,70
no_change,49.264,71
no_change,49.414,65
no_change,49.5,66
no_change,49.666,61
no_change,49.786,62
no_change,49.927,58
no_change,50.093,59
no_change,50.398,50
no_change,50.4,78
no_change,50.402,66
no_change,50.73,73
no_change,50.809,74
no_change,50.989,70
no_change,51.098,71
no_change,51.239,65
no_change,51.339,66
no_change,51.493,61
no_change,51.598,62
no_change,51.745,58
no_change,51.88,59
no_change,52.073,53
no_change,52.193,54
no_change,52.348,49
no_change,52.432,50
