mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,743,624,297,217,110,119,0,55,120.00,117.00,3.00
progressive_tempo,ritardando,640,791,296,85,259,0,151,59,120.00,188.00,68.00
progressive_tempo,tempo_fluctuation,772,1135,371,122,279,0,363,54,120.00,144.00,24.00
duration,note_held_too_long,629,629,629,0,0,0,0,455,120.00,144.00,24.00
duration,note_cut_too_soon,629,629,629,0,0,0,0,456,120.00,144.00,24.00
note,note_missing,629,628,580,27,21,1,0,383,120.00,144.00,24.00
note,note_not_expected,629,629,629,0,0,0,0,456,120.00,144.00,24.00
articulation,articulated_legato,629,629,629,0,0,0,0,455,120.00,144.00,24.00
articulation,articulated_staccato,634,634,624,4,6,0,0,294,120.00,144.00,24.00
articulation,articulated_accentuated,629,629,629,0,0,0,0,456,120.00,144.00,24.00
