mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,610,524,306,141,77,86,0,54,120.00,110.00,10.00
progressive_tempo,ritardando,522,623,290,75,157,0,101,54,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,584,749,313,79,192,0,165,48,120.00,144.00,24.00
duration,note_held_too_long,514,519,367,72,75,0,5,106,120.00,156.00,36.00
duration,note_cut_too_soon,515,520,368,72,75,0,5,105,120.00,156.00,36.00
note,note_missing,514,519,367,72,75,0,5,106,120.00,156.00,36.00
note,note_not_expected,514,520,367,71,76,0,6,108,120.00,156.00,36.00
articulation,articulated_legato,514,519,367,72,75,0,5,106,120.00,156.00,36.00
articulation,articulated_staccato,565,570,365,93,107,0,5,85,120.00,170.00,50.00
articulation,articulated_accentuated,514,519,367,72,75,0,5,106,120.00,156.00,36.00
