mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,342,289,145,93,51,53,0,38,120.00,170.00,50.00
progressive_tempo,ritardando,293,361,139,36,118,0,68,28,120.00,89.00,31.00
progressive_tempo,tempo_fluctuation,309,541,135,19,155,0,232,23,120.00,170.00,50.00
duration,note_held_too_long,292,293,292,0,0,0,1,235,120.00,110.00,10.00
duration,note_cut_too_soon,292,293,292,0,0,0,1,234,120.00,110.00,10.00
note,note_missing,292,293,292,0,0,0,1,236,120.00,110.00,10.00
note,note_not_expected,292,294,232,23,37,0,2,178,120.00,110.00,10.00
articulation,articulated_legato,292,293,292,0,0,0,1,235,120.00,104.00,16.00
articulation,articulated_staccato,302,301,203,51,47,1,0,98,120.00,110.00,10.00
articulation,articulated_accentuated,292,293,292,0,0,0,1,235,120.00,110.00,10.00
