mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,298,252,167,71,14,46,0,53,120.00,156.00,36.00
progressive_tempo,ritardando,260,320,154,19,87,0,60,35,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,307,320,141,76,90,0,13,35,120.00,117.00,3.00
duration,note_held_too_long,257,257,253,0,4,0,0,237,120.00,208.00,88.00
duration,note_cut_too_soon,258,258,253,0,5,0,0,232,120.00,208.00,88.00
note,note_missing,257,256,239,10,7,1,0,163,120.00,208.00,88.00
note,note_not_expected,257,258,251,0,6,0,1,230,120.00,208.00,88.00
articulation,articulated_legato,257,255,224,16,15,2,0,116,120.00,208.00,88.00
articulation,articulated_staccato,265,266,235,9,21,0,1,144,120.00,208.00,88.00
articulation,articulated_accentuated,257,257,253,0,4,0,0,237,120.00,208.00,88.00
