onset_type,onset_time,pitch
no_change,3.3,50
no_change,3.841,61
no_change,4.341,62
no_change,4.83,53
no_change,5.309,69
articulation,5.793,70
no_change,6.295,52
no_change,6.78,62
no_change,7.305,61
no_change,7.795,55
no_change,8.307,72
no_change,8.818,70
no_change,9.327,53
no_change,9.818,69
no_change,10.305,74
no_change,10.818,55
no_change,11.318,70
no_change,11.823,67
no_change,12.348,57
no_change,12.809,64
no_change,13.289,65
no_change,13.836,45
no_change,14.361,69
no_change,14.982,61
no_change,15.873,38
no_change,16.211,69
no_change,16.407,69
no_change,16.6,69
no_change,16.75,61
no_change,16.861,69
no_change,16.959,69
no_change,16.991,69
no_change,17.161,62
no_change,17.289,69
no_change,17.411,69
no_change,17.432,69
no_change,17.564,53
no_change,17.732,69
no_change,17.748,69
no_change,17.864,69
no_change,18.016,69
no_change,18.118,77
no_change,18.255,77
no_change,18.286,77
no_change,18.43,70
no_change,18.564,74
no_change,18.602,74
no_change,18.723,74
no_change,18.85,55
no_change,19.014,74
no_change,19.03,74
no_change,19.159,74
no_change,19.268,62
no_change,19.402,74
no_change,19.548,74
no_change,19.561,74
no_change,19.67,61
no_change,19.818,74
no_change,19.9,74
no_change,19.918,74
no_change,20.034,45
no_change,20.202,73
no_change,20.289,73
no_change,20.311,73
no_change,20.441,58
no_change,20.561,73
no_change,20.598,73
no_change,20.732,73
no_change,20.848,57
no_change,21.039,73
no_change,21.2,73
no_change,21.252,73
no_change,21.443,38
no_change,21.63,69
no_change,21.702,69
no_change,21.841,69
no_change,21.943,61
no_change,22.084,69
no_change,22.1,69
no_change,22.241,69
no_change,22.35,62
no_change,22.491,69
no_change,22.509,69
no_change,22.641,69
no_change,22.761,53
no_change,22.889,69
no_change,23.014,69
no_change,23.164,69
no_change,23.175,69
no_change,23.284,77
no_change,23.323,77
no_change,23.436,77
no_change,23.564,70
no_change,23.698,74
no_change,23.72,74
no_change,23.848,74
no_change,23.952,55
no_change,24.08,74
no_change,24.107,74
no_change,24.223,74
no_change,24.35,62
no_change,24.493,74
no_change,24.523,74
no_change,24.632,74
no_change,24.743,61
no_change,24.87,74
no_change,24.909,74
no_change,25.002,74
no_change,25.143,45
no_change,25.255,73
no_change,25.295,73
no_change,25.411,73
no_change,25.55,70
no_change,25.682,73
no_change,25.723,73
no_change,25.834,73
no_change,25.98,69
no_change,26.145,73
no_change,26.3,73
no_change,26.461,73
no_change,26.518,38
no_change,26.664,62
no_change,27.077,50
no_change,27.58,45
no_change,28.011,64
no_change,28.457,52
no_change,28.891,45
no_change,29.341,38
no_change,29.343,65
no_change,29.82,53
no_change,30.25,50
no_change,30.743,67
no_change,31.232,55
no_change,31.702,48
no_change,32.195,69
no_change,32.202,41
no_change,32.691,57
no_change,33.155,53
no_change,33.657,44
no_change,34.132,59
no_change,34.616,52
no_change,35.1,45
no_change,35.102,72
no_change,35.586,60
no_change,36.08,57
no_change,36.573,47
no_change,36.575,74
no_change,37.059,62
no_change,37.575,55
no_change,38.139,48
no_change,38.32,75
no_change,38.457,75
no_change,38.543,75
no_change,38.689,63
no_change,38.793,75
no_change,38.825,75
no_change,38.952,75
no_change,39.07,60
no_change,39.193,75
no_change,39.223,75
no_change,39.325,75
no_change,39.455,46
no_change,39.6,76
no_change,39.62,76
no_change,39.752,76
no_change,39.877,64
no_change,39.995,76
no_change,40.109,76
no_change,40.143,76
no_change,40.286,60
no_change,40.4,76
no_change,40.468,76
no_change,40.555,76
no_change,40.686,45
no_change,40.795,77
no_change,40.882,77
no_change,40.975,77
no_change,41.1,65
no_change,41.22,77
no_change,41.348,77
no_change,41.375,77
no_change,41.486,60
no_change,41.595,77
no_change,41.725,77
no_change,41.745,77
no_change,41.909,48
no_change,42.03,78
no_change,42.064,78
no_change,42.175,78
no_change,42.309,66
no_change,42.448,78
no_change,42.473,78
no_change,42.582,78
no_change,42.682,57
no_change,42.802,78
no_change,42.852,78
no_change,42.943,78
no_change,43.1,47
no_change,43.216,79
no_change,43.332,79
no_change,43.35,79
no_change,43.489,67
no_change,43.605,79
no_change,43.72,79
no_change,43.741,79
no_change,43.884,59
no_change,44.007,79
no_change,44.134,79
no_change,44.17,79
no_change,44.316,50
no_change,44.439,80
no_change,44.609,80
no_change,44.661,80
no_change,44.759,68
no_change,44.866,80
no_change,44.989,80
no_change,45.002,80
no_change,45.136,58
no_change,45.245,80
no_change,45.361,80
no_change,45.407,80
no_change,45.534,45
no_change,45.641,81
no_change,45.684,81
no_change,45.798,81
no_change,45.934,69
no_change,46.041,81
no_change,46.157,81
no_change,46.193,81
no_change,46.332,64
no_change,46.432,81
no_change,46.57,81
no_change,46.668,81
no_change,46.811,45
no_change,46.932,69
no_change,47.068,69
no_change,47.145,69
no_change,47.289,61
no_change,47.393,69
no_change,47.416,69
no_change,47.552,69
no_change,47.68,52
no_change,47.773,69
no_change,47.982,69
no_change,48.195,69
no_change,48.302,45
no_change,48.37,55
no_change,48.673,69
no_change,48.832,69
no_change,48.952,69
no_change,49.093,64
no_change,49.198,69
no_change,49.289,69
no_change,49.386,69
no_change,49.534,57
no_change,49.632,69
no_change,49.698,69
no_change,49.818,69
no_change,49.941,49
no_change,50.061,69
no_change,50.111,69
no_change,50.259,69
no_change,50.384,62
no_change,50.516,70
no_change,50.545,70
no_change,50.664,70
no_change,50.795,61
no_change,50.92,69
no_change,51.023,69
no_change,51.039,69
no_change,51.186,38
no_change,51.307,69
no_change,51.341,69
no_change,51.473,69
no_change,51.602,53
no_change,51.736,69
no_change,51.886,69
no_change,51.905,69
no_change,52.002,45
no_change,52.134,69
no_change,52.275,69
no_change,52.364,69
no_change,52.468,53
no_change,52.536,69
no_change,52.7,69
no_change,52.793,69
no_change,52.902,62
no_change,53.036,77
no_change,53.08,77
no_change,53.211,77
no_change,53.345,58
no_change,53.475,74
no_change,53.58,74
no_change,53.602,74
no_change,53.757,52
no_change,53.886,73
no_change,53.998,73
no_change,54.034,73
no_change,54.164,55
no_change,54.284,73
no_change,54.352,73
no_change,54.457,73
no_change,54.561,46
no_change,54.68,73
no_change,54.761,73
no_change,54.864,73
no_change,54.957,45
no_change,55.077,73
no_change,55.245,73
no_change,55.259,73
no_change,55.368,62
no_change,55.484,74
no_change,55.507,74
no_change,55.62,74
no_change,55.759,64
no_change,55.893,76
no_change,55.916,76
no_change,56.045,76
no_change,56.173,38
no_change,56.295,76
no_change,56.4,76
no_change,56.498,76
no_change,56.602,53
no_change,56.745,76
no_change,56.773,76
no_change,56.905,76
no_change,57.02,45
no_change,57.141,76
no_change,57.236,76
no_change,57.28,76
no_change,57.443,53
no_change,57.584,74
no_change,57.677,74
no_change,57.718,74
no_change,57.875,61
no_change,57.995,74
no_change,58.075,74
no_change,58.166,74
no_change,58.309,62
no_change,58.425,74
no_change,58.643,74
no_change,58.768,74
no_change,58.868,55
no_change,59.03,75
no_change,59.082,75
no_change,59.202,75
no_change,59.345,63
no_change,59.47,75
no_change,59.509,75
no_change,59.623,75
no_change,59.743,58
no_change,59.868,75
no_change,59.895,75
no_change,60.025,75
no_change,60.152,55
no_change,60.282,75
no_change,60.375,75
no_change,60.418,75
no_change,60.632,67
no_change,60.784,79
no_change,60.82,79
no_change,60.932,79
no_change,61.059,55
no_change,61.177,75
no_change,61.291,75
no_change,61.32,75
no_change,61.473,44
no_change,61.6,75
no_change,61.632,75
no_change,61.761,75
no_change,61.891,63
no_change,62.011,75
no_change,62.132,75
no_change,62.264,75
no_change,62.289,53
no_change,62.411,75
no_change,62.53,75
no_change,62.57,75
no_change,62.675,44
no_change,62.8,74
no_change,62.92,74
no_change,62.936,74
no_change,63.07,62
no_change,63.182,74
no_change,63.311,74
no_change,63.334,74
no_change,63.489,58
no_change,63.602,74
no_change,63.777,74
no_change,63.864,74
no_change,63.986,45
no_change,64.111,74
no_change,64.18,74
no_change,64.286,74
no_change,64.423,62
no_change,64.548,74
no_change,64.566,74
no_change,64.698,74
no_change,64.814,53
no_change,64.952,74
no_change,65.102,74
no_change,65.145,74
no_change,65.28,57
no_change,65.286,53
no_change,65.461,74
no_change,65.582,74
no_change,65.716,74
no_change,65.734,55
no_change,65.845,77
no_change,65.97,77
no_change,66.007,77
no_change,66.168,53
no_change,66.27,76
no_change,66.348,76
no_change,66.461,76
no_change,66.559,46
no_change,66.695,76
no_change,66.725,76
no_change,66.839,76
no_change,66.964,64
no_change,67.107,76
no_change,67.207,76
no_change,67.239,76
no_change,67.355,53
no_change,67.441,76
no_change,67.534,76
no_change,67.58,76
no_change,67.743,46
no_change,67.891,74
no_change,67.909,74
no_change,68.03,74
no_change,68.159,62
no_change,68.298,74
no_change,68.32,74
no_change,68.457,74
no_change,68.543,69
no_change,68.686,74
no_change,68.768,74
no_change,68.893,74
no_change,69.02,47
no_change,69.148,74
no_change,69.261,74
no_change,69.293,74
no_change,69.439,68
no_change,69.57,74
no_change,69.591,74
no_change,69.716,74
no_change,69.843,53
no_change,69.968,74
no_change,70.091,74
no_change,70.125,74
no_change,70.264,47
no_change,70.468,74
no_change,70.589,74
no_change,70.739,74
no_change,70.884,67
no_change,71.018,79
no_change,71.116,79
no_change,71.209,79
no_change,71.343,65
no_change,71.461,77
no_change,71.545,77
no_change,71.657,77
no_change,71.791,48
no_change,71.884,77
no_change,71.902,77
no_change,72.036,77
no_change,72.159,65
no_change,72.28,77
no_change,72.418,77
no_change,72.532,77
no_change,72.552,55
no_change,72.65,77
no_change,72.793,77
no_change,72.884,77
no_change,72.973,48
no_change,73.111,76
no_change,73.216,76
no_change,73.241,76
no_change,73.37,64
no_change,73.509,76
no_change,73.534,76
no_change,73.636,76
no_change,73.759,70
no_change,73.898,76
no_change,73.934,76
no_change,74.016,76
no_change,74.159,49
no_change,74.284,76
no_change,74.323,76
no_change,74.448,76
no_change,74.58,70
no_change,74.707,76
no_change,74.743,76
no_change,74.88,76
no_change,75.014,55
no_change,75.107,76
no_change,75.252,76
no_change,75.275,76
no_change,75.418,61
