onset_type,onset_time,pitch
no_change,2.568,57
no_change,3.077,38
no_change,3.13,62
no_change,3.686,54
no_change,4.125,59
no_change,4.527,61
no_change,4.53,40
no_change,5.0,55
no_change,5.225,62
no_change,5.411,64
no_change,5.795,62
no_change,5.8,42
no_change,6.232,50
no_change,6.643,57
no_change,7.059,43
no_change,7.555,54
no_change,8.057,64
no_change,8.493,42
no_change,8.498,57
no_change,8.995,52
no_change,9.411,62
no_change,9.82,40
no_change,9.823,55
no_change,10.307,50
no_change,10.743,49
no_change,10.745,64
no_change,11.134,38
no_change,11.234,54
no_change,11.836,45
no_change,12.309,50
no_change,12.805,38
no_change,13.266,45
no_change,13.677,50
no_change,13.682,57
no_change,14.116,38
no_change,14.541,54
no_change,14.961,59
no_change,15.389,61
no_change,15.391,40
no_change,15.82,55
no_change,16.05,62
no_change,16.232,64
no_change,16.605,62
no_change,16.614,42
no_change,17.08,50
no_change,17.511,57
no_change,17.957,43
no_change,18.42,59
no_change,18.623,66
no_change,18.832,67
no_change,19.152,45
no_change,19.236,66
no_change,19.757,61
no_change,20.195,57
no_change,20.65,49
no_change,21.139,54
no_change,21.141,59
no_change,21.784,53
no_change,22.605,42
no_change,23.0,54
no_change,23.411,57
no_change,23.864,42
no_change,24.343,61
no_change,24.889,66
no_change,25.534,40
no_change,25.645,67
no_change,26.13,55
no_change,26.314,64
no_change,26.477,62
no_change,26.836,45
no_change,26.852,61
no_change,27.286,55
no_change,27.495,62
no_change,27.677,64
no_change,28.043,38
no_change,28.066,66
no_change,28.48,54
no_change,28.68,62
no_change,28.868,61
no_change,29.289,43
no_change,29.291,59
no_change,29.755,50
no_change,30.28,55
no_change,30.843,49
no_change,30.85,64
no_change,31.293,55
no_change,31.498,61
no_change,31.675,59
no_change,32.055,42
no_change,32.057,58
no_change,32.507,52
no_change,32.757,59
no_change,32.966,61
no_change,33.375,47
no_change,33.827,54
no_change,34.282,59
no_change,34.755,47
no_change,35.266,54
no_change,35.9,59
no_change,36.375,43
no_change,36.52,71
no_change,37.161,55
no_change,37.37,64
no_change,37.566,59
no_change,37.959,45
no_change,37.968,61
no_change,38.373,62
