onset_type,onset_time,pitch
no_change,4.941,48
no_change,5.468,52
no_change,6.02,55
no_change,6.586,55
no_change,7.161,59
no_change,7.68,62
no_change,7.682,43
no_change,8.13,48
no_change,8.311,64
no_change,8.575,62
no_change,8.8,50
no_change,8.805,65
no_change,9.057,64
no_change,9.307,62
no_change,9.541,60
no_change,9.805,59
no_change,9.807,53
no_change,10.07,60
no_change,10.277,62
no_change,10.282,50
no_change,10.518,64
no_change,10.752,65
no_change,10.755,47
no_change,10.982,67
no_change,11.245,48
no_change,11.455,64
no_change,11.907,50
no_change,12.145,62
no_change,12.361,52
no_change,12.364,60
no_change,12.805,40
no_change,12.966,62
no_change,13.245,60
no_change,13.45,59
no_change,13.684,57
no_change,13.909,56
no_change,14.209,64
no_change,14.502,45
no_change,14.659,60
missing,15.295,62
no_change,15.582,48
no_change,15.584,57
no_change,16.084,49
no_change,16.343,64
no_change,16.641,45
no_change,16.83,69
no_change,17.105,67
no_change,17.266,49
no_change,17.268,65
no_change,17.459,64
no_change,17.718,50
no_change,17.923,65
no_change,18.252,57
no_change,18.507,62
no_change,18.695,60
no_change,18.891,59
no_change,19.073,57
no_change,19.35,59
no_change,19.355,55
no_change,19.62,62
no_change,19.836,67
no_change,20.043,65
no_change,20.266,64
no_change,20.268,43
no_change,20.484,62
no_change,20.707,48
no_change,20.902,64
no_change,21.168,55
no_change,21.402,60
no_change,21.584,58
no_change,21.78,57
no_change,21.964,55
no_change,22.245,57
no_change,22.516,60
no_change,22.714,65
no_change,22.902,64
no_change,23.109,62
no_change,23.316,60
no_change,23.534,59
no_change,23.795,62
no_change,23.986,67
no_change,24.198,65
no_change,24.425,64
no_change,24.427,44
no_change,24.634,62
no_change,24.895,61
no_change,24.898,45
no_change,25.161,64
no_change,25.391,47
no_change,25.395,62
no_change,25.611,61
no_change,25.816,49
no_change,25.82,59
no_change,26.064,57
no_change,26.295,59
no_change,26.3,50
no_change,26.589,62
no_change,26.795,52
no_change,26.8,61
no_change,27.005,59
no_change,27.239,57
no_change,27.525,56
no_change,27.864,45
no_change,28.093,57
no_change,28.691,49
no_change,29.186,52
no_change,29.718,52
no_change,30.261,56
no_change,30.755,40
no_change,30.757,59
no_change,31.198,45
no_change,31.402,61
no_change,31.648,59
no_change,31.88,47
no_change,31.882,62
no_change,32.109,61
no_change,32.341,49
no_change,32.343,59
no_change,32.62,57
no_change,32.891,56
no_change,32.895,50
no_change,33.209,57
no_change,33.439,59
no_change,33.441,47
no_change,33.664,61
no_change,33.911,62
no_change,33.916,44
no_change,34.157,64
no_change,34.377,45
no_change,34.614,61
no_change,35.066,47
no_change,35.289,59
no_change,35.557,57
no_change,36.02,45
no_change,36.216,61
no_change,36.532,62
no_change,36.741,47
no_change,36.743,64
no_change,36.973,66
no_change,37.193,49
no_change,37.202,67
no_change,37.464,69
no_change,37.795,50
no_change,38.007,66
no_change,38.482,52
no_change,38.684,64
no_change,38.986,54
no_change,38.989,62
no_change,39.482,55
no_change,39.698,71
no_change,40.025,64
no_change,40.352,57
no_change,40.598,66
no_change,40.818,59
no_change,41.066,67
no_change,41.327,54
no_change,41.63,62
no_change,41.911,55
no_change,42.155,64
no_change,42.411,57
no_change,42.636,66
no_change,42.925,59
no_change,43.214,64
no_change,43.473,66
no_change,43.477,57
no_change,43.723,67
no_change,43.975,45
no_change,44.123,64
no_change,44.157,66
no_change,44.198,64
no_change,44.807,62
no_change,45.2,50
no_change,45.466,62
no_change,46.014,54
no_change,46.58,57
no_change,47.111,57
no_change,47.114,49
no_change,47.675,61
no_change,48.161,64
no_change,48.166,45
no_change,48.616,50
no_change,48.816,66
no_change,49.093,64
no_change,49.318,52
no_change,49.323,67
no_change,49.541,66
no_change,49.766,64
no_change,49.768,54
no_change,49.98,62
no_change,50.232,55
no_change,50.484,62
no_change,50.739,64
no_change,50.741,52
no_change,50.959,66
no_change,51.225,67
no_change,51.484,69
no_change,51.832,50
no_change,51.984,66
no_change,52.448,52
no_change,52.673,64
no_change,52.905,54
no_change,52.907,62
no_change,53.4,42
no_change,53.607,61
no_change,53.877,59
no_change,54.111,61
no_change,54.114,44
no_change,54.355,62
no_change,54.589,64
no_change,54.593,46
no_change,54.82,66
no_change,55.13,47
no_change,55.336,62
no_change,55.775,49
no_change,56.014,61
no_change,56.245,50
no_change,56.248,59
no_change,56.873,51
no_change,57.248,66
no_change,57.55,71
no_change,57.552,47
no_change,58.016,51
no_change,58.239,66
no_change,58.568,52
no_change,58.761,67
no_change,59.218,59
no_change,59.786,64
no_change,60.257,49
no_change,60.552,64
no_change,60.793,45
no_change,61.241,49
no_change,61.464,64
no_change,61.777,50
no_change,61.955,66
no_change,62.441,57
no_change,62.95,62
no_change,63.432,47
no_change,63.689,62
no_change,63.918,43
no_change,64.359,47
no_change,64.575,62
no_change,64.836,48
no_change,65.009,64
no_change,65.498,52
no_change,66.007,47
no_change,66.514,46
no_change,66.941,61
no_change,67.264,42
no_change,67.727,46
no_change,67.973,61
no_change,68.214,47
no_change,68.409,62
no_change,68.795,49
no_change,69.011,61
no_change,69.239,50
no_change,69.789,51
no_change,70.134,66
no_change,70.407,71
no_change,70.409,47
no_change,70.868,66
no_change,70.873,51
no_change,71.08,71
no_change,71.35,52
no_change,71.536,67
no_change,71.927,54
no_change,72.136,66
no_change,72.355,64
no_change,72.357,55
no_change,72.852,49
no_change,73.125,64
no_change,73.395,45
no_change,73.836,64
no_change,74.041,69
no_change,74.286,50
no_change,74.436,66
no_change,74.827,52
no_change,75.034,64
no_change,75.264,62
no_change,75.266,54
no_change,75.777,47
no_change,76.075,62
no_change,76.323,67
no_change,76.33,43
no_change,76.659,62
