mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,967,821,388,284,149,146,0,96,120.00,125.00,5.00
progressive_tempo,ritardando,840,1029,380,124,336,0,189,85,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,1064,1019,316,314,389,45,0,111,120.00,188.00,68.00
duration,note_held_too_long,814,813,779,18,16,1,0,565,120.00,110.00,10.00
duration,note_cut_too_soon,814,813,779,18,16,1,0,565,120.00,110.00,10.00
note,note_missing,821,819,620,100,99,2,0,359,120.00,110.00,10.00
note,note_not_expected,814,814,774,20,20,0,0,555,120.00,110.00,10.00
articulation,articulated_legato,814,812,700,54,58,2,0,480,120.00,110.00,10.00
articulation,articulated_staccato,869,866,650,112,104,3,0,317,120.00,110.00,10.00
articulation,articulated_accentuated,814,813,779,18,16,1,0,565,120.00,110.00,10.00
