mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,664,573,455,73,45,91,0,93,120.00,110.00,10.00
progressive_tempo,ritardando,584,655,455,46,83,0,71,104,120.00,144.00,24.00
progressive_tempo,tempo_fluctuation,651,482,315,115,52,169,0,56,120.00,94.00,26.00
duration,note_held_too_long,579,575,486,52,37,4,0,188,120.00,170.00,50.00
duration,note_cut_too_soon,579,575,486,52,37,4,0,187,120.00,170.00,50.00
note,note_missing,579,575,486,52,37,4,0,188,120.00,170.00,50.00
note,note_not_expected,579,575,486,52,37,4,0,187,120.00,170.00,50.00
articulation,articulated_legato,580,575,477,54,44,5,0,155,120.00,170.00,50.00
articulation,articulated_staccato,632,627,537,48,42,5,0,224,120.00,170.00,50.00
articulation,articulated_accentuated,579,575,486,52,37,4,0,188,120.00,170.00,50.00
