mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,592,508,229,174,105,84,0,61,120.00,104.00,16.00
progressive_tempo,ritardando,506,623,207,85,214,0,117,46,120.00,94.00,26.00
progressive_tempo,tempo_fluctuation,610,808,271,119,220,0,198,58,120.00,144.00,24.00
duration,note_held_too_long,499,503,300,95,104,0,4,102,120.00,134.00,14.00
duration,note_cut_too_soon,500,504,299,95,106,0,4,100,120.00,134.00,14.00
note,note_missing,499,503,300,95,104,0,4,102,120.00,134.00,14.00
note,note_not_expected,499,504,287,102,110,0,5,103,120.00,134.00,14.00
articulation,articulated_legato,499,503,300,95,104,0,4,101,120.00,134.00,14.00
articulation,articulated_staccato,525,527,394,59,72,0,2,201,120.00,134.00,14.00
articulation,articulated_accentuated,499,503,300,95,104,0,4,102,120.00,134.00,14.00
