mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,594,507,389,104,14,87,0,81,120.00,117.00,3.00
progressive_tempo,ritardando,509,620,364,18,127,0,111,85,120.00,156.00,36.00
progressive_tempo,tempo_fluctuation,602,670,314,82,206,0,68,78,120.00,144.00,24.00
duration,note_held_too_long,505,505,505,0,0,0,0,484,120.00,134.00,14.00
duration,note_cut_too_soon,506,506,505,0,1,0,0,484,120.00,134.00,14.00
note,note_missing,505,504,491,12,1,1,0,381,120.00,134.00,14.00
note,note_not_expected,505,506,501,1,3,0,1,462,120.00,134.00,14.00
articulation,articulated_legato,505,502,492,9,1,3,0,315,120.00,134.00,14.00
articulation,articulated_staccato,539,539,500,23,16,0,0,380,120.00,134.00,14.00
articulation,articulated_accentuated,505,505,505,0,0,0,0,484,120.00,134.00,14.00
