mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,1384,1167,797,229,141,217,0,170,120.00,134.00,14.00
progressive_tempo,ritardando,1182,1464,713,131,338,0,282,136,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,1441,1056,338,457,261,385,0,128,120.00,144.00,24.00
duration,note_held_too_long,1162,1163,1096,26,40,0,1,680,120.00,125.00,5.00
duration,note_cut_too_soon,1163,1164,1092,29,42,0,1,680,120.00,125.00,5.00
note,note_missing,1162,1162,1112,17,33,0,0,755,120.00,125.00,5.00
note,note_not_expected,1162,1163,1096,26,40,0,1,680,120.00,125.00,5.00
articulation,articulated_legato,1162,1162,1108,22,32,0,0,708,120.00,125.00,5.00
articulation,articulated_staccato,1169,1170,1003,68,98,0,1,375,120.00,125.00,5.00
articulation,articulated_accentuated,1162,1163,1096,26,40,0,1,680,120.00,125.00,5.00
