mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,432,367,178,122,67,65,0,48,120.00,125.00,5.00
progressive_tempo,ritardando,369,457,181,40,148,0,88,46,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,403,576,179,54,170,0,173,38,120.00,170.00,50.00
duration,note_held_too_long,367,369,281,41,45,0,2,215,120.00,156.00,36.00
duration,note_cut_too_soon,369,371,278,43,48,0,2,216,120.00,156.00,36.00
note,note_missing,367,369,281,41,45,0,2,216,120.00,156.00,36.00
note,note_not_expected,367,370,289,35,43,0,3,216,120.00,156.00,36.00
articulation,articulated_legato,367,369,281,41,45,0,2,215,120.00,156.00,36.00
articulation,articulated_staccato,384,386,273,50,61,0,2,165,120.00,156.00,36.00
articulation,articulated_accentuated,367,369,281,41,45,0,2,216,120.00,156.00,36.00
