mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,286,240,156,66,18,46,0,34,120.00,94.00,26.00
progressive_tempo,ritardando,248,306,138,23,87,0,58,38,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,340,334,100,126,108,6,0,46,120.00,170.00,50.00
duration,note_held_too_long,241,240,229,7,4,1,0,142,120.00,156.00,36.00
duration,note_cut_too_soon,242,241,229,7,5,1,0,142,120.00,156.00,36.00
note,note_missing,241,240,229,7,4,1,0,140,120.00,156.00,36.00
note,note_not_expected,241,241,238,2,1,0,0,186,120.00,156.00,36.00
articulation,articulated_legato,241,240,229,7,4,1,0,140,120.00,156.00,36.00
articulation,articulated_staccato,254,253,220,18,15,1,0,119,120.00,156.00,36.00
articulation,articulated_accentuated,241,240,229,7,4,1,0,142,120.00,156.00,36.00
