mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,470,398,296,89,13,72,0,64,120.00,110.00,10.00
progressive_tempo,ritardando,406,501,273,14,119,0,95,54,120.00,144.00,24.00
progressive_tempo,tempo_fluctuation,545,610,187,112,246,0,65,93,120.00,117.00,3.00
duration,note_held_too_long,397,397,395,2,0,0,0,339,120.00,104.00,16.00
duration,note_cut_too_soon,398,398,394,1,3,0,0,340,120.00,104.00,16.00
note,note_missing,396,395,370,13,12,1,0,208,120.00,104.00,16.00
note,note_not_expected,396,397,392,1,3,0,1,325,120.00,104.00,16.00
articulation,articulated_legato,396,395,368,15,12,1,0,196,120.00,104.00,16.00
articulation,articulated_staccato,426,426,380,23,23,0,0,258,120.00,104.00,16.00
articulation,articulated_accentuated,396,396,396,0,0,0,0,341,120.00,104.00,16.00
