onset_type,onset_time,pitch
no_change,3.091,40
no_change,3.202,52
no_change,3.33,47
no_change,3.445,55
no_change,3.568,52
no_change,3.645,59
no_change,3.78,55
no_change,3.905,64
no_change,4.016,59
no_change,4.125,64
no_change,4.243,55
no_change,4.339,59
no_change,4.475,52
no_change,4.573,55
no_change,4.702,47
no_change,4.805,52
no_change,4.927,40
no_change,5.018,52
no_change,5.127,47
no_change,5.236,55
no_change,5.334,52
no_change,5.43,59
no_change,5.545,55
no_change,5.655,64
no_change,5.798,59
no_change,5.902,64
no_change,6.011,55
no_change,6.116,59
no_change,6.239,52
no_change,6.355,55
no_change,6.461,47
no_change,6.557,52
no_change,6.718,40
no_change,6.891,54
no_change,7.018,48
no_change,7.13,57
no_change,7.232,54
no_change,7.323,60
no_change,7.443,57
no_change,7.555,64
no_change,7.67,60
no_change,7.775,64
no_change,7.9,57
no_change,8.007,60
no_change,8.127,54
no_change,8.234,57
no_change,8.348,48
no_change,8.439,54
no_change,8.586,40
no_change,8.652,54
no_change,8.766,48
no_change,8.889,57
no_change,8.998,54
no_change,9.082,60
no_change,9.193,57
no_change,9.295,64
no_change,9.42,60
no_change,9.502,64
no_change,9.643,57
no_change,9.757,60
no_change,9.864,54
no_change,9.973,57
no_change,10.089,48
no_change,10.175,54
no_change,10.336,40
no_change,10.532,52
no_change,10.655,47
no_change,10.764,55
no_change,10.861,52
no_change,10.968,59
no_change,11.084,55
no_change,11.186,64
no_change,11.32,59
no_change,11.409,64
no_change,11.534,55
no_change,11.63,59
no_change,11.739,52
no_change,11.845,55
no_change,11.959,47
no_change,12.059,52
no_change,12.205,40
no_change,12.286,52
no_change,12.398,47
no_change,12.523,55
no_change,12.63,52
no_change,12.718,59
no_change,12.832,55
no_change,12.948,64
no_change,13.068,59
no_change,13.175,64
no_change,13.293,55
no_change,13.373,59
no_change,13.475,52
no_change,13.575,55
no_change,13.695,47
no_change,13.773,52
no_change,13.959,42
no_change,14.125,51
no_change,14.23,45
no_change,14.32,57
no_change,14.432,51
no_change,14.527,59
no_change,14.641,57
no_change,14.75,66
no_change,14.873,59
no_change,14.977,66
no_change,15.093,57
no_change,15.189,59
no_change,15.314,51
no_change,15.405,57
no_change,15.518,45
no_change,15.611,51
no_change,15.745,42
no_change,15.827,51
no_change,15.925,45
no_change,16.03,57
no_change,16.148,51
no_change,16.232,59
no_change,16.357,57
no_change,16.461,66
no_change,16.586,59
no_change,16.686,66
no_change,16.805,57
no_change,16.882,59
no_change,16.989,51
no_change,17.084,57
no_change,17.202,45
no_change,17.3,51
no_change,17.459,43
no_change,17.648,52
no_change,17.78,47
no_change,17.873,55
no_change,17.991,52
no_change,18.075,59
no_change,18.202,55
no_change,18.316,64
no_change,18.43,59
no_change,18.539,64
no_change,18.657,55
no_change,18.745,59
no_change,18.864,52
no_change,18.955,55
no_change,19.068,47
no_change,19.164,52
no_change,19.284,43
no_change,19.393,52
no_change,19.484,47
no_change,19.598,55
no_change,19.714,52
no_change,19.805,59
no_change,19.934,55
no_change,20.032,64
no_change,20.134,59
no_change,20.243,64
no_change,20.364,55
no_change,20.45,59
no_change,20.555,52
no_change,20.668,55
no_change,20.766,47
no_change,20.87,52
no_change,20.986,44
no_change,21.166,52
no_change,21.307,47
no_change,21.405,56
no_change,21.48,52
no_change,21.555,59
no_change,21.691,56
no_change,21.795,64
no_change,21.914,59
no_change,22.009,64
no_change,22.143,56
no_change,22.232,59
no_change,22.336,52
no_change,22.441,56
no_change,22.559,47
no_change,22.661,52
no_change,22.782,44
no_change,22.884,52
no_change,22.991,47
no_change,23.084,56
no_change,23.207,52
no_change,23.286,59
no_change,23.418,56
no_change,23.505,64
no_change,23.639,59
no_change,23.714,64
no_change,23.841,56
no_change,23.932,59
no_change,24.05,52
no_change,24.136,56
no_change,24.257,47
no_change,24.345,52
no_change,24.534,45
no_change,24.78,57
no_change,24.875,52
no_change,24.995,60
no_change,25.089,57
no_change,25.168,64
no_change,25.291,60
no_change,25.384,69
no_change,25.516,64
no_change,25.591,69
no_change,25.725,60
no_change,25.82,64
no_change,25.957,57
no_change,26.048,60
no_change,26.164,52
no_change,26.255,57
no_change,26.37,45
no_change,26.473,57
no_change,26.582,52
no_change,26.673,60
no_change,26.784,57
no_change,26.87,64
no_change,26.982,60
no_change,27.091,69
no_change,27.216,64
no_change,27.298,69
no_change,27.43,60
no_change,27.518,64
no_change,27.634,57
no_change,27.734,60
no_change,27.845,52
no_change,27.936,57
no_change,28.075,46
no_change,28.227,55
no_change,28.33,52
no_change,28.427,62
no_change,28.536,55
no_change,28.62,64
no_change,28.73,62
no_change,28.85,69
no_change,28.968,64
no_change,29.057,69
no_change,29.186,62
no_change,29.277,64
no_change,29.398,55
no_change,29.48,62
no_change,29.598,52
no_change,29.693,55
no_change,29.82,46
no_change,29.911,55
no_change,30.02,52
no_change,30.111,62
no_change,30.223,55
no_change,30.311,64
no_change,30.427,62
no_change,30.532,69
no_change,30.639,64
no_change,30.743,69
no_change,30.855,62
no_change,30.941,64
no_change,31.048,55
no_change,31.141,62
no_change,31.259,52
no_change,31.341,55
no_change,31.5,47
no_change,31.698,59
no_change,31.816,52
no_change,31.907,64
no_change,32.014,59
no_change,32.091,67
no_change,32.207,64
no_change,32.327,71
no_change,32.434,67
no_change,32.53,71
no_change,32.648,64
no_change,32.732,67
no_change,32.855,59
no_change,32.948,64
no_change,33.055,52
no_change,33.111,57
no_change,33.286,47
no_change,33.38,59
no_change,33.491,52
no_change,33.577,64
no_change,33.693,59
no_change,33.775,67
no_change,33.889,64
no_change,33.989,71
no_change,34.105,67
no_change,34.209,71
no_change,34.311,64
no_change,34.409,67
no_change,34.527,59
no_change,34.609,64
no_change,34.743,52
no_change,34.857,57
no_change,34.957,47
no_change,35.055,59
no_change,35.173,52
no_change,35.25,64
no_change,35.368,59
no_change,35.466,66
no_change,35.573,64
no_change,35.652,71
no_change,35.777,66
no_change,35.852,71
no_change,35.975,64
no_change,36.073,66
no_change,36.198,59
no_change,36.284,64
no_change,36.407,52
no_change,36.505,59
no_change,36.614,47
no_change,36.709,59
no_change,36.832,52
no_change,36.907,64
no_change,37.039,59
no_change,37.125,66
no_change,37.218,64
no_change,37.307,71
no_change,37.432,66
no_change,37.541,71
no_change,37.657,64
no_change,37.739,66
no_change,37.859,59
no_change,37.955,64
no_change,38.057,52
no_change,38.145,59
no_change,38.275,47
no_change,38.389,57
no_change,38.507,54
no_change,38.584,63
no_change,38.702,57
no_change,38.786,66
no_change,38.925,63
no_change,39.009,71
no_change,39.041,66
no_change,39.182,71
no_change,39.314,63
no_change,39.393,66
