mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,501,433,344,66,23,68,0,64,120.00,134.00,14.00
progressive_tempo,ritardando,443,531,315,30,98,0,88,75,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,509,329,145,123,61,180,0,46,120.00,134.00,14.00
duration,note_held_too_long,419,423,408,5,6,0,4,193,120.00,144.00,24.00
duration,note_cut_too_soon,419,423,408,5,6,0,4,194,120.00,144.00,24.00
note,note_missing,419,422,407,5,7,0,3,196,120.00,144.00,24.00
note,note_not_expected,419,423,408,5,6,0,4,193,120.00,144.00,24.00
articulation,articulated_legato,418,421,398,9,11,0,3,188,120.00,144.00,24.00
articulation,articulated_staccato,429,433,409,8,12,0,4,150,120.00,144.00,24.00
articulation,articulated_accentuated,419,423,408,5,6,0,4,194,120.00,144.00,24.00
