mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,1412,1146,768,241,137,266,0,151,120.00,134.00,14.00
progressive_tempo,ritardando,1246,1543,839,142,265,0,297,170,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,1553,1218,603,387,228,335,0,144,120.00,134.00,14.00
duration,note_held_too_long,1212,1221,1146,28,38,0,9,567,120.00,125.00,5.00
duration,note_cut_too_soon,1215,1224,1144,30,41,0,9,566,120.00,125.00,5.00
note,note_missing,1212,1220,1146,28,38,0,8,567,120.00,125.00,5.00
note,note_not_expected,1212,1222,1138,30,44,0,10,557,120.00,125.00,5.00
articulation,articulated_legato,1212,1218,1137,34,41,0,6,574,120.00,125.00,5.00
articulation,articulated_staccato,1281,1289,1180,50,51,0,8,469,120.00,125.00,5.00
articulation,articulated_accentuated,1212,1221,1146,28,38,0,9,567,120.00,125.00,5.00
