mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
progressive_tempo,accelerando,869,762,713,47,2,107,0,86,120.00,117.00,3.00
progressive_tempo,ritardando,826,935,782,10,34,0,109,83,120.00,144.00,24.00
progressive_tempo,tempo_fluctuation,987,785,643,108,34,202,0,68,120.00,134.00,14.00
duration,note_held_too_long,756,761,752,1,3,0,5,203,120.00,117.00,3.00
duration,note_cut_too_soon,756,761,752,1,3,0,5,203,120.00,117.00,3.00
note,note_missing,756,760,752,1,3,0,4,212,120.00,117.00,3.00
note,note_not_expected,756,762,752,1,3,0,6,203,120.00,117.00,3.00
articulation,articulated_legato,756,759,752,1,3,0,3,203,120.00,117.00,3.00
articulation,articulated_staccato,827,832,808,11,8,0,5,179,120.00,117.00,3.00
articulation,articulated_accentuated,756,761,752,1,3,0,5,203,120.00,117.00,3.00
